Lars Guide


#introduction
Section
"Lars Alexanderson is a versatile high-risk, high-reward character who can utilize his various stances to catch the opponent off guard and to make mistakes when challenging them. His Silent Entry (SEN), Dynamic Entry (DEN), and Limited Entry (LEN) are very simple yet effective mixups that can be utilized in various scenarios. He also excels in punishment, offering one of if not the best punishment tools in the game, having strong punishment at every major punish frame from 10 to 16+, with (""2,1"" at 10f) (""f+2,4"" or ""f+2,1"") ""F+2,4"" for damage ""f+2,1"" for a SEN mix and his most iconic punish in ""f,N,b+2,1"" at 14f  making it the best launch punisher in the game and at 15f his ""F1+2"".  He also boasts the best combos in the game, easily able to get opponents to the wall for big damage opportunities. "
"His game plan is a revolving door of keep your opponent on edge with stance mix-ups and annoying pokes in ""DB4"", ""F,F+4,2"", ""DB+1,3"", ""1,4"", ""DF+2"", and ""B+1"", along with staying on top of your punishment, which can lead back into his combo game, netting you high damage. While Lars may have a low entry to pick up and play, being one of the easier characters to play, winning with him at higher levels can be difficult due to his risky pokes and stances. But once mastered, he is a very fun and rewarding character to play!"


#strengths
Strength
Mixups: Has the simplest yet effective mixups in the game.
Combos: Lars' combos are the farthest carrying while dealing good damage, and can be the most versatile to use, making him more interesting to experiment with.
"Strong mids: His ""FF1+2"",  ""B1"",  ""DF2"",  ""B4,1+2"", ""SS2"", ""DB+2,1"", ""DEN 3"" are very useful mids in his kit"
The best punishment in the game.


#weaknesses
Weakness
He has a very bad sidestep, making it hard to move around.
The majority of his lows are launch but are vital to his mixups and plus frames
He is very linear, so characters with strong steps can get around his kit easily


#heat_system
Mechanic
"Lars' heat systems unleash his true stance potential. It gives him access to and all new move in Rebellion (""F3+4""), which gives him plus 5 into his SEN stance. Along with enhanced versions of ""H SS2"" and ""H DEN 3+4"", giving him a second hit in a lightning strike for a free follow-up. In addition, his ""LEN 1"" and ""LEN 2"" are also enhanced. ""H LEN 1"" gives an attack throw, and ""H LEN 2"" gives an instant tornado for a combo. He is also capable of regenerating heat by using his stance, making stance transitioning imperative if you want to prolong your heat. Lastly, his heat smash allows you to stance afterwards, or you can cancel it by holding B for plus frames for a non-stance mix. "



#key_moves
Command;Description
1 (and extensions);"Lars' jab is a fairly long-reaching jab that is very good at controlling space. The extension ""1,4"" is a very simple low extension that leaves you at plus 1 for small frame traps or to be used for movement,  but generally used as a round ender. It can also transition into LEN for plus 3 on hit for a better mix, albeit not super advantageous. Lastly, Lars ""1,1,1"" is his best 10f move, being a wall splatting heat engager and a great counter hit tool at the wall."
DF+1 (and extensions);"Lars df+1 is a useful 13f generic tool, although -3 on block, it can set up movement after to create openings. It is also very good at challenging high armor moves, with its fast recovery, he can easily duck and punish after checking an opponent's power crush. ""df1,1"" is a natural mid high that can be used as a psuedo mix up with ""df1,3"" (mid mid)  to catch an opponent trying to duck and punish, but ""df1,1"" as a punish is very powerful as it can transition into DEN by holding D, giving you +10 for a very solid mix up. Finally, his ""df1,1,3 string isn't as useful unless you have the opponent trained to swing after the first hit, because if the 2nd hit lands on counter hit, the 3 follow-up is guaranteed. The best use is at the wall. "
DF+2;This move is a 14f mid that automatically transitions into SEN. By holding B, you can stop the transition. DF2 has multiple uses on hit. It's plus 9 with the transition, allowing for an uninterruptable mix-up without the transition. it's plus 1, but gives very good space and can be used as a simple 14f punisher as well.
2,1;2, 1 is a simple but effective 10f punish. It auto transitions into LEN, giving you a +8 mix-up, and can be cancelled for more creative follow-ups.
B1;His best homing move at 15f startup and safe at -9. You can use the move against strong steppers to keep them in check, and on ch gives a knock down and wallsplats for a combo
f,f,f+1;A new addition in season 2. This long-range running move has excellent tracking and transitions into SEN. It can be used for a simple mix-up when pressuring opponents or as a tool to force opponents back. While only plus 4 on block into SEN and plus 2 when cancelled, it's a great tool to instill pressure in your favor, and on hit gives a free SEN 2 follow-up. This move also doubles as a strong aerial tailspin, making this a mandatory staple in your combos.
B4,1+2;A safe knee attack throw at 15 frames. Great against most parries
3+4;Linear but long-reaching heat engager kick at 17f startup. This move, while not used often by Lars players, is good against moves that are highly negative but safe due to push back (ex: Deathfist), and because it is a heat engager, this makes it imperative to catch those punishes to get the highest amount of damage against these types of moves
SEN 2;A strong stance low, easily his best at only -12. This low gives you plus 6 on hit and is crucial to his stance pressure, leaving you in crouch and giving you access to numerous while-standing moves to mix your opponent. On counter hit, it gives an instant tornado for a combo. 
