Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Alisa-2+3;Heat Burst;r30;;
H.d+1+2;;;;;;;"* Cancel to r30 with db
* Consumes 60F of remaining Heat time
* Power crush 6~36";pc6~36;DES;Alisa-H.d+1+2;Emergency Destructive Form;r47 DES;;
H.f+1+4;;;;;;;"* Consumes 150F of remaining Heat time
* Low crush 18~40
* Floating state 41~43";js18~40 fs41~43;DBT;Alisa-H.f+1+4;Emergency Dual Boot;r17 DBT;;
H.2+3;m;50 (28);i20~21;+8;-15d;;"* Heat Smash
* Transition to SBT with 3_4
* Transition to DBT with f+3_f+4
* 8 chip damage on block";hs;SBT,DBT;Alisa-H.2+3;Quick-fix Protocol;r45;;
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";rbr pc8~;;Alisa-R.df+1+2;Radiant Pegasus Bomb;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Alisa-1;Jab;r19;;
1,1;h, h;5, 18;i10, i21;-3;+5;+14a;"* Combo from 1st hit with 4f delay
* Input can be delayed 8f
* Enter DES with 1+2";;DES;Alisa-1,1;Stop Bit;r26;;File:t8-p2-alisa-1,1.mp4
1,2;h, h;5, 10;i10, i12;-3;+8;;Jail from 1st attack with 4f delay;;;Alisa-1,2;Typing Combo;r22;;File:t8-p2-alisa-1,2.mp4
1,2,2;h, h, h;5, 10, 20;i10, ,i20~35;-9~+6;+21a (+6);;"* Tornado
* Balcony Break
** on airborne hit
* Weapon
* Combo from 2nd CH with 1f delay
* 6 chip damage on block";trn bbr wpn;;Alisa-1,2,2;Liftoff Combo;r29;;File:t8-p2-alisa-1,2,2.mp4
1,2,d+2;h, h, l;5, 10, 17;i10, ,i27~28;-11;+2;+33a;"* Combo from 2nd CH
* Input can be delayed 8f
* Move can be delayed 7f";;;Alisa-1,2,d+2;Coil Punch Combo;r29;;File:t8-p2-alisa-1,2,d+2.mp4
1,2,d+2*;h, h, l;5, 10, 22;i10, ,i36~37;-10;+34a;;"* Input can be delayed 8f
* Move can be delayed 7f";;;Alisa-1,2,d+2*;Coil Punch Combo (Hold);r28;;
2;h;10;i12;-6;+5;;;;;Alisa-2;;r25;;
2,2;h, h;10, 22;i12, i20~35;-13~+2;+15a (+5);;"* Balcony Break
* Combo from 1st hit
* 2nd hit available on hit or block only";bbr;;Alisa-2,2;Troubleshooting;r25;;File:t8-p2-alisa-2,2.mp4
2,3;h, m;10, 8;i12, i22~23;-10;+1;;"* Knee
* Combo from 1st CH with 2f delay";kne;;Alisa-2,3;;r28;;
2,3,3;h, m, m;10, 8, 25;i12, ,i20~22;-11;+16a (-7);+61a (+41);"* Strong Aerial Tailspin
* Balcony Break
* Combo from 2nd hit with 9f delay
* Input can be delayed 12f
* Move can be delayed 11f
* Low crush 13~41
* Floating state 42~44";bbr js13~41 fs42~44;;Alisa-2,3,3;Down Time;r32;;File:t8-p2-alisa-2,3,3.mp4
2,3,4;h, m, L;10, 8, 20;i12, ,i42~45;-13;+13;;"* Low crush 24~39
* Floating state 40~42";js24~39 fs40~42;;Alisa-2,3,4;Down Link;r32;;File:t8-p2-alisa-2,3,4.mp4
3;m;10;i13~14;-12;-1;;;;;Alisa-3;Accelerator;r30;;
3,2;m, h;10, 20;i13~14, i26~27;-2;+20a (+11);;"* Heat Engager

* Heat Dash +5, +34a (+27)

* Homing
* Balcony Break
* Weapon
* Combo from 1st hit
* 6 chip damage on block
* 10 chip damage on block in heat
* Does not transition to DES when using Heat Dash";he hom bbr wpn;DES,DES;Alisa-3,2;Quick Trim;r29 DES;;File:t8-p2-alisa-3,2.mp4
3,f+2;m, m;10, 20;i13~14, i24~28 i1~4 i1~4 i1~4 i1;-12;+5;;"* Weapon
* Combo from 1st hit
* 2 chip damage on block
* 6 chip damage on block in heat";wpn;DES;Alisa-3,f+2;Quick Access;r31 DES;;File:t8-p2-alisa-3,f+2.mp4
4;h;24;i13~14;-5;+14g;+38a;"* Homing
* Balcony Break";hom bbr;;Alisa-4;Magic 4;r28;;File:t8-p2-alisa-3.mp4
1+2;m;22;i19~20;-4;+15a;;"* Heat Engager

* Heat Dash +5, +67a (+50)

* Balcony Break
* Spike
* Head
* 6 chip damage on block";he bbr spk;;Alisa-1+2;Uninstall;r34;;File:t8-p2-alisa-1+2.mp4
1+2;m;22;i19~20;-4;+15a;;"* Heat Engager

* Heat Dash +67a (+50) on hit, +5 on block

* Balcony Break
* Spike
* Head
* 6 chip damage on block";he bbr spk;;Alisa-1+2;Uninstall;r34;;
1+2+3;;;;;;;Can transition to DES with held input 1+2;;DES;Alisa-1+2+3;Taunt 1;r60;;File:t8-p2-alisa-1+2+3.mp4
1+2+4;;;;;;;;;;Alisa-1+2+4;Taunt 2;r80;;File:t8-p2-alisa-1+2+4.mp4
f+2;m;12;i17~18;-4;+7;;* Enter DES with 1+2;;DES;Alisa-f+2;;r22;;
f+2,1;m, m;12, 20;i17~18, i24~25;-12;+14c;;"* Heat Engager

* Heat Dash +5, +62a (+42)

* Balcony Break
* Weapon
* Combo from 1st hit
* 6 chip damage on block
* 10 chip damage on block in heat
* Does not transition to DES when using Heat Dash";he bbr wpn;DES,DES;Alisa-f+2,1;Dual Session;r36 DES;;File:t8-p2-alisa-f+2,1.mp4
f+2,3;m, h;12, 8;i17~18, i22;-8;+4;;"* Balcony Break
** on airborne hit
* Combo from 1st CH with 1f delay
* Transition to r40 DES with 1+2
* Low crush 17~38
* Floating state 39~41";bbr js17~38 fs39~41;DES;Alisa-f+2,3;;r36;;
f+2,3,3;m, h, m;12, 8, 22;i17~18, ,i35~36;-10;+12a (-3);;"* Balcony Break
* Combo from 2nd hit";bbr;;Alisa-f+2,3,3;Triple Session;r31;;File:t8-p2-alisa-f+2,3,3.mp4
f+3;h;10;i14~15;-14;-3;;;;;Alisa-f+3;;r32;;
f+3,2;h, h;10, 20;i14~15, i25;-4;+38d (+30);;"* Balcony Break
* Weapon
* Combo from 1st hit
* 6 chip damage on block
* 10 chip damage on block in heat";bbr wpn;DES;Alisa-f+3,2;Lost Access;r25 DES;;File:t8-p2-alisa-f+3,2.mp4
f+3,1+2;h, m;10, 25;i14~15, i24~25;-13;+8;;"* Balcony Break
* Weapon
* Combo from 1st hit
* 7 chip damage on block
* 12 chip damage on block in heat";bbr wpn;DES;Alisa-f+3,1+2;Automatic Transmission;r34 DES;;File:t8-p2-alisa-f+3,1+2.mp4
f+4;m;14;i16;-9;+1;;"* Homing
* Enter DES with 1+2";hom;DES;Alisa-f+4;;r31;;
f+4,1;m, h;14, 14;i16, i25~26;-9;+15d (+7);;"* Balcony Break
* Head
* Combo from 1st hit";bbr;;Alisa-f+4,1;;r49;;
f+4,1,4;m, h, m;14, 14, 19 (13);i16, ,i27~65;-12~+26g;+1a;;"* Combo from 2nd hit
* i25-26 bounce, i25-26 travel, 
(---)/i35(27-65) travel then explosion , 
-3(-11) and -1(-9) for explosion then hit, respectively";;;Alisa-f+4,1,4;Logic Bomb;r1;;File:t8-p2-alisa-f+4,1,4.mp4
f+1+2;m;25;i14~15;-12;+14g;;"* Balcony Break
* Enter SBT -16 +10g r25 with 3_4
* Enter DBT -16 +10g r25 with f+3_f+4
* Opponent recovers crouching";bbr;SBT,DBT;Alisa-f+1+2;Overflow;r35;;File:t8-p2-alisa-f+1+2.mp4
f+3+4;;;;;;;"* Low crush 26~54
* Floating state 55~57";js26~54 fs55~57;SBT;Alisa-f+3+4;Boot;r25 SBT;;
df+1;m;10;i13;-6;+5;+8;* +5c on hit against crouching opponents;;;Alisa-df+1;;r25;;
df+1,1;m, h;10, 20;i13, i30~31;+1;+8;;"* Balcony Break
** on airborne hit
* Combo from 1st CH with 2f delay";bbr;;Alisa-df+1,1;;r19;;
df+1,1,2;m, h, h;10, 20, 28;i13, ,i22~25;+6;+8;;"* Weapon
* Combo from 2nd hit
* 2 chip damage on block
* 8 chip damage on block in heat";wpn;DES;Alisa-df+1,1,2;Cyclone Mixer;r22 DES;;File:t8-p2-alisa-df+1,1,2.mp4
df+1,4;m, m;10, 17;i13, i26~27;-11;+3c;+13c;"* Spike
* Combo from 1st CH
* Transition to DES with 1+2";spk;DES;Alisa-df+1,4;Cyclone Hacker;r30;;File:t8-p2-alisa-df+1,4.mp4
df+2;m;16;i16~17;-9;+32a (+22);;"* +7 on hit against crouching opponent
* Does not launch crouching opponent except on CH";;;Alisa-df+2;Pickup;r27;;File:t8-p2-alisa-df+2.mp4
df+3;m;14;i16;-9;+1;;;;;Alisa-df+3;;r31;;
df+3,3;m, L;14, 17;i16, i23~24;-12;+1;+14a;"* Spike
* Combo from 1st hit with 9f delay
* Input can be delayed 16f
* Move can be delayed 12f";spk;;Alisa-df+3,3;Double Socket;r30;;File:t8-p2-alisa-df+3,3.mp4
df+4;m;13;i12;-7;+4;;;;;Alisa-df+4;;r26;;
d+2;M;8;i24~26;-12;+2c;;Spike;spk;;Alisa-d+2;;r31;;
d+2,4;M, M;8, 20;i24~26, i18~21;-9;+28a (+13a);;"* Combo from 1st hit
* Enter DES with 1+2
* Low crush 21~43
* Floating state 44~46";js21~43 fs44~46;DES;Alisa-d+2,4;Deadlock;r34;;File:t8-p2-alisa-d+2,4.mp4
d+3;L;17;i23~32;-10~-1;+8c~+17c;+32a;"BKP transition is -18~-10
* Low crush 9~23
* Floating state 24~26";js9~23 fs24~26;BKP;Alisa-d+3;Quick Slider;r21 BKP;;File:t8-p2-alisa-d+3.mp4
d+4;L;12;i17~18;-12;-1;+8g;;;;Alisa-d+4;;r30;;
d+4,1+2;L, h;12, 20;i17~18, i20~21;+0;+11a (+2);;"* Balcony Break
* Head
* Jail from 1st normal hit
* Combo from 1st CH";bbr;;Alisa-d+4,1+2;Optimizer;r38;;File:t8-p2-alisa-d+4,1+2.mp4
d+1+2;;;;;;;"* Transition to r30 with db or d+1+2
* Transition to DBT with DES.f+3_f+4";;DBT,DES;Alisa-d+1+2;Destructive Form;r47 DES;;
d+3+4;L;20;i27~i28;-37;+67a (+51);;"* Homing
* Enter DES with 1+2
* High crush 20~40
* Floating state 5~55";hom cs20~40 fs5~55;DES;Alisa-d+3+4;Harpoon Sweep;r36;;File:t8-p2-alisa-d+3+4.mp4
db+1;;;;;;;"* Transition to FC with D
* Can perform WS moves after 24 frames
* High crush 4~15";cs4~15;FC,BKP;Alisa-db+1;Backup;r15 BKP;;
db+2;m;10;i18~19;-18;-5;;;;;Alisa-db+2;;r36;;
db+2,2;m, m;10, 10;i18~19, i19~20;-9;+5;;"* Combo from 1st hit with 12f delay
* Input can be delayed 15f
* Move can be delayed 14f
* Enter DES with 1+2";;DES;Alisa-db+2,2;Daisy Chain;r36;;File:t8-p2-alisa-db+2,2.mp4
db+3;L;11;i16;-13;-2;+3;* High crush 4~;cs4~;FC;Alisa-db+3;Deep Link;r32 FC;;File:t8-p2-alisa-db+3.mp4
db+4;L;17;i20~21;-14;+2c;+12g;* High crush 6~;cs6~;FC;Alisa-db+4;Deep Web;r32 FC;;File:t8-p2-alisa-db+4.mp4
b+1;m;15;i15~16;-5;+8;;* High crush 12~;cs12~;FC;Alisa-b+1;;r28 FC;;
b+1,1+2;m, SL,m;15, 1,30;i15~16, i25~40 i26~28;-16;+71a;;"* Tornado
* Head
* Input can be delayed 13f
* 2nd hit combos into 3rd on CH only";trn;;Alisa-b+1,1+2;Gadget Found;r42;;File:t8-p2-alisa-b+1,1+2.mp4
b+1+3;;;;;;;"* Parries all highs
* Parry state 3~15";ps3~15;;Alisa-b+1+3;Model Change;r45;;
b+1+3,P;m!;25;i20~21;;-5a (-14);;"* Balcony Break
* Interrupt with i11 after parry
* High crush 1~39";bbr cs1~39;;Alisa-b+1+3,P;;r49;;
b+2;m;12;i18;-9;+1;;;;;Alisa-b+2;;r31;;
b+2,1;m, m;12, 17;i18, i25~26;-13;+3c;+17a;"* Spike
* Combo from 1st hit with 7f delay
* Input can be delayed 12f";spk;;Alisa-b+2,1;Trance Hammer;r31;;File:t8-p2-alisa-b+2,1.mp4
b+2,3;m, m;12, 22;i18, i23~24;-15;+9a (-8);;"* Tornado
* Balcony Break
* Combo from 1st hit with 9f delay
* Input can be delayed 12f
* Low crush 21~60
* Floating state 61~63";trn bbr js21~60 fs61~63;;Alisa-b+2,3;Trance Generator;r40;;File:t8-p2-alisa-b+2,3.mp4
b+2,4;m, h;12, 20;i18, i16~17;-7;+12g;+36a;"* Balcony Break
* Combo from 1st hit with 12f delay";bbr;;Alisa-b+2,4;Trance Accelerator Kick;r30;;File:t8-p2-alisa-b+2,4.mp4
b+3;m;22;i20~22;-8;+5a (-4);;"* Homing
* Balcony Break";hom bbr;;Alisa-b+3;Spinning Top;r38;;File:t8-p2-alisa-b+3.mp4
b+4;m;17;i15~16;-13;-4;+54a;Knee;kne;;Alisa-b+4;;r35;;
b+4,3;m, m;17, 20;i15~16, i29~30;-11;+6c;+10a;"* Spike
* Combo from 1st hit
* Enter DES with 1+2
* Low crush 17~24
* Floating state 25~27";spk js17~24 fs25~27;DES;Alisa-b+4,3;Double Threading;r29;;File:t8-p2-alisa-b+4,3.mp4
b+4,4;m, M;17, 17;i15~16, i25~27;-37;+9a (-1);;"* Tornado
* Combo from 1st hit
* Transition to SBT with input 3_4
* Transition to DBT with input f+3_f+4
* Low crush 25~62
* Floating state 63~65";trn js25~62 fs63~65;SBT,DBT;Alisa-b+4,4;Double Override;r63;;File:t8-p2-alisa-b+4,4.mp4
b+1+2;m;25;i19~20;-13;+8;;"* Balcony Break
* Weapon
* 7 chip damage on block
* 12 chip damage on block in heat
* 10 chip damage and -9 block advantage on attack absorption
** 12 chip damage in heat
* Power crush 7~18";bbr wpn pc7~18;DES;Alisa-b+1+2;Transmission;r34 DES;;File:t8-p2-alisa-b+1+2.mp4
b+3+4;m;22;i18~19;-17;+32a (+22);;"* Tornado
* Actually a js5 low crush (framedata display bug?)
* Low crush 6~35
* Floating state 36~53";trn js6~35 fs36~53;;Alisa-b+3+4;;r41;;
b+3+4,3+4;m, M;22, 25;i18~19, i56~61;+5c~+10c;+59a;;"* Spike
* Combo from 1st hit
* Low crush 6~78
* Floating state 79~81";spk js6~78 fs79~81;;Alisa-b+3+4,3+4;Dynamic Range;r23;;File:t8-p2-alisa-b+3+4,3+4.mp4
ub+2;h;23;i16~20;-9;+38a (-20);;"* Balcony Break
* 9 chip damage on block, +0 block advantage on attack absorption
* Power crush 7~15
* Floating state 20~30";bbr pc7~15 fs20~30;;Alisa-ub+2;Overload;r32;;File:t8-p2-alisa-ub+2.mp4
ub+2;h;23;i16~20;-9;+38a (-20);;"* Balcony Break
* 9 chip damage on block, +0 block advantage on attack absorption
* Power crush 7~15
* Floating state 20~30";bbr pc7~15 fs20~30;;Alisa-ub+2;Overload;r32;;
ub+4;m;10;i18;-9;+7;;"* Low crush 9~31
* Floating state 32~34";js9~31 fs32~34;;Alisa-ub+4;1st Hit;r27;;
ub+4,1;m, m;10, 12;i18, i25~27;-21;-8;;"Combo from 1st CH
* High crush 24~";cs24~;FC;Alisa-ub+4,1;2nd Hit;r38 FC;;
ub+4,1,1;m, m, m;10, 12, 9;i18, ,i21;-20;-9;;"* Elbow
* Combo from 2nd hit
* Combo from 1st CH";elb;;Alisa-ub+4,1,1;3rd Hit;r39;;
ub+4,1,1,2;m, m, m, h;10, 12, 9, 5;i18, ,i24~25;-10;+1;;"* Combo from 3rd hit
* Combo from 1st CH";;;Alisa-ub+4,1,1,2;4th Hit;r28;;
ub+4,1,1,2,1;m, m, m, h, h;10, 12, 9, 5, 5;i18, ,i35~36;-9;+7;;"* Balcony Break
** on airborne hit";bbr;;Alisa-ub+4,1,1,2,1;5th Hit;r27;;
ub+4,1,1,2,1,1;m, m, m, h, h, m,M,M;10, 12, 9, 5, 5, 3,3,3;i18, ,i32~33 i1~2 i1~2;-14;-3;;"* Spike
* Weapon
* Combo from 5th hit
* 1 chip damage on block
* 3 chip damage on block in heat";spk wpn;DES;Alisa-ub+4,1,1,2,1,1;6th Hit;r32 DES;;
ub+4,1,1,2,1,1,3+4;m, m, m, h, h, m,M,M, L;10, 12, 9, 5, 5, 3,3,3, 7;i18, ,i27~28;-29;+15a;;"*
* Floating state 5~50";fs5~50;;Alisa-ub+4,1,1,2,1,1,3+4;7th Hit;r47;;
ub+4,1,1,2,1,1,3+4,3;m, m, m, h, h, m,M,M, L, m;10, 12, 9, 5, 5, 3,3,3, 7, 15;i18, ,i20~21;-65;-40;;"* Combo from 7th hit
* Low crush 9~";js9~;;Alisa-ub+4,1,1,2,1,1,3+4,3;8th Hit;r42;;
ub+4,1,1,2,1,1,3+4,3,2;m, m, m, h, h, m,M,M, L, m, M;10, 12, 9, 5, 5, 3,3,3, 7, 15, 20;i18, ,i17~22;-30;-38a (-45);;"* Combo from 8th hit
* Available only as combo from previous hit
* Low crush 1~";js1~;;Alisa-ub+4,1,1,2,1,1,3+4,3,2;9th Hit;r44;;
