Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
H.2+3;m;50;i13~14;-5;+0d;;"* Heat Smash
* Reversal Break
* Balcony Break
* Fragile debuff on hit or block, opponent receives chip damage from any attack, removed when land a hit on you
* Transition to attack throw on hit
* Jails
High crush 6~27";hs bbr cs6~27;;Anna-H.2+3;From Éire with Love;r32;;
R.df+1+2;m,t;55+;i20;-15;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
Power crush 8~";pc8~;;Anna-R.df+1+2;Some Like It Rough!;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Anna-1;Jab;r19;;
1,2;h, h;5, 8;i10, i10;-3;+8;;"* Jail from 1st attack with 4f delay
* Enter HAM +0 +11 r19 with F";;HAM;Anna-1,2;Left Right Slap;r22;;
1,2,1;h, h, h;5, 8, 4;i10, ,i16;-4;+0;;"* Jail from 1st attack with 3f delay
* Combo from 1st hit with 4f delay
* Input can be delayed 10f";;;Anna-1,2,1;Left Right Left;r25;;
1,2,1,2;h, h, h, m;5, 8, 4, 24;i10, ,i23~72;-14~+35;+21a (+11);;"* Weapon
* Combo from 3rd CH
* Chip damage on block";wpn chp;;Anna-1,2,1,2;Roasted with Love;r13;;
1,2,1,4;h, h, h, m;5, 8, 4, 18;i10, ,i20~21;+4;+32a (+22);;"* Tornado
* Chip damage on block
,fs20~39";trn chp fs20~39;;Anna-1,2,1,4;Frost Combination;r37;;
H.1,2,1,2;h, h, h, m,m,m;5, 8, 4;i10, ,i23~72 i36~85 i54~103;-2~+47g;+23a (-3);;"* Weapon
* Combo from 3rd CH
* Jails from 4th hit
* Partially uses remaining Heat time";wpn;;Anna-1,2,1,H.2;Roasted with Eternal Love;r24;;
1,2,2;h, h, M;5, 8, 20;i10, ,i26~27;-8;+12;+76a (+60);* Transition to HAM on hit automatically;;HAM;Anna-1,2,2;Left Right Stinger;r31;;
1,2,4;h, h, h;5, 8, 22;i10, ,i22;-6;+20a (+11);+49a;"* Balcony Break
* Combo from 2nd CH";bbr;;Anna-1,2,4;Bermuda Triangle;r30;;
1,4;h, L;5, 12;i10, i22~23;-13;-2;;"* Balcony Break
* Combo from 1st hit
,High crush 10~";bbr cs10~;FC;Anna-1,4;Reverse PDK Combo;r32 FC;;
2;h;10;i10;-3;+3;+9;* Enter HAM +1 +7 +13 with F;;HAM;Anna-2;;r22;;
2,2;h, M;10, 20;i10, i26~27;-8;+12;+76a (+60);"* Combo from 1st CH
* High evasion
* Interrupt with i11 from 1st block
* Input can be delayed 5f
* Transition to HAM on hit automatically";;HAM;Anna-2,2;Quick Stinger;r31;;
2,3;h, m;10, 14;i10, i19~20;-3;+8;+12;"* Jail from 1st attack
* Combo from 1st hit with ?f delay
* Input can be delayed 2f";;CJM;Anna-2,3;Straight Face Wash;r20 CJM;;
2,4;h, h;10, 22;i10, i22;-6;+20a (+11);+49a;"* Balcony Break
* Combo from 1st CH with 9f delay
* Input can be delayed 10f";bbr;;Anna-2,4;Jab Roundhouse;;;
3;m;17;i14~16;-6;+3;;* Knee;kne;CJM;Anna-3;;r25 CJM;;
3,2;m, m;17, 20;i14~16, i20;-11c;+4c;;"* Spike
* Combo from 1st hit";spk;FC;Anna-3,2;Serval Cleaver;r38 FC;;
4;h;15;i11;-9;+7;+7s;;;;Anna-4;Right High Kick;r23;;
4,2;h, h;15, 2;i11, i25~26;-8;-4;;* Combo from 1st CH;;;Anna-4,2;;r33;;
