Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Armor King-2+3;Heat Burst;r30;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Armor King-1;Jab;r19;;
2;h;;i10;;;;* ???;;;Armor King-2;;;;
2,1;h, m;;i10, i23;;+7;;* ???;;;Armor King-2,1;;;;
4;h;;i13;;;;* ???;;;Armor King-4;;;;
4,3;h, h;;i13, i25~26;;+9;;* ???;;;Armor King-4,3;;;;
f+2;m;;i15;;;;* ???;;;Armor King-f+2;;;;
f+2,1;m, h;;i15, i18;;;;"* ???
* Heat Engager";he;;Armor King-f+2,1;;;;
f+1+4;m;;i13~15;;+17(+12);;* ???;;;Armor King-f+1+4;;;;
db+2;m;;i14;;;;* ???;;;Armor King-db+2;;;;
db+2,3;m, m;;i14, i26~27;;+11(+2);;* ???;;;Armor King-db+2,3;;;;
db+2,4;m;;i14, i26~27;;;;* ???;;;Armor King-db+2,4;;;;
db+2,4,2;m;;i14, ,i30~31;;+32(+6);;* ???;;;Armor King-db+2,4,2;;;;
b+1;h;;i12;;;;* ???;;;Armor King-b+1;;;;
b+1,2;h, m;;i12, i20;;+8;;"* ???
* Go into BAJ with F";;;Armor King-b+1,2;;;;
b+3;h;;i16~18;;+66(+50);;"* ???
* Tornado";trn;;Armor King-b+3;;;;
b+4;m;;i15~16;;;;* ???;;;Armor King-b+4;;;;
b+4:1+2;m, th;;i15~16, ;;+0;;* ???;;;Armor King-b+4:1+2;;;;
uf+2;m;;i15;;;;* ???;;;Armor King-uf+2;Death Sandwich;;;
uf+2,1;m, m;;i15, i25~26;;+45(+37);;"* ???
* Bound";;;Armor King-uf+2,1;Death Sandwich;;;
uf+4;m;;i15;;+33(+23);;* ???;;;Armor King-uf+4;;;;
f,F+4;m;;i14;;;;"* ???
* Heat Engager";he;;Armor King-f,F+4;;;;
f,f,n,2;L?;20;i19;-13;+5;;"* Enter stance +8 with F
* Bufferable?";;stance;Armor King-f,f,n,2;Underhanded;;;
ws1;m;;i15;;+31(+21);;* ???;;;Armor King-ws1;;;;
ws2;m;;i12~13;;+3;;* ???;;;Armor King-ws2;;;;
ws3;m;;i13~14;;;;* ???;;;Armor King-ws3;;;;
ws3,1;m, h;;i13~14, i24~25;;;;"* ???
* Heat Engager";he;;Armor King-ws3,1;;;;
ws4;m;;i11;;+5;;* ???;;;Armor King-ws4;;;;
FC.df+2;m;;i24;;+52;;* ???;;;Armor King-FC.df+2;;;;
