Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Wavu id;Name;Recovery;Image;Video
2+3;m;37;i16;+1;+2;;"* Heat Burst
Power crush 8~";hb pc8~;Asuka-2+3;Heat Burst;;;
H.2+3;m,th;12,3;i16;+10;-6;;"* Heat Smash
* Throw on hit";hs;Asuka-H.2+3;Triple Ascension Kicks;;;
R.df+1+2;m,th;10,49;i20;-15;KND;;"* Rage Art
* Damage increases with lower health
* Removes recoverable health on hit
* Input can be held
Power crush 8~";pc8~;Asuka-R.df+1+2;Naniwa Peacemaker Knuckle;;;
1;h;6;i10;-2;+9;;;;Asuka-1;Jab;;;
1,1;h,m;6,15;,;-7;+4;;"* Combo from 1st CH
* Links to f+1";;Asuka-1,1;Whiplash;;;
1,1,3;h,m,m;6,15,17;,;-5;+6;+14c;;;Asuka-1,1,3;;;;
1,2;h,m;6,9;,;-8;+6;;*Combo from 1st CH;;Asuka-1,2;Jab Uppercut;;;
1,2,3;h,m,m;6,9,24;,;-2;KND;;"* Chip on block
* Link to f+4
* Can interrupt with up to i15 if previous hit is blocked
* Cancel with input 1,2,3,B
* Last input can be held to power up";chp;Asuka-1,2,3;"Jab Uppercut &gt; Spinning Heel Drop";;;
1,2,4;h,m,m;6,9,20;,;-12;KND;;Combo from 2nd hit;;Asuka-1,2,4;"Jab Uppercut &gt; Front Kick";;;
1,3;h,l;6,10;,;-11;+0;;* Combo from 1st hit;;Asuka-1,3;Jab Low Kick;;;
2;h;9;i12;-11;+0;;;;Asuka-2;;;;
2,1;h,h;9,10;;-3;+8;;"* Combo from 1st hit
* Jails";;Asuka-2,1;;;;
2,1,2;h,h,m;9,10,16;;-10;KND;;Tornado;trn;Asuka-2,1,2;Basho Cutter;;;
2,1,d+1+2;h,h,m;9,10,23;;-9;+3c;JG;"* Combo from 2nd CH
* Cancel to standing with input 2,1,d+1+2,B
* Cancel to FC with input 2,1,d+1+2,D";;Asuka-2,1,d+1+2;Basho Oroshi;;;
2,3;h,m;9,16;,;-19;KND;;Combo from 1st hit;;Asuka-2,3;Mizu Basho;;;
3;m;17;i14;-7;+9;;;;Asuka-3;;;;
3,1;m,m;17,17;;-11;+8;KND;"* Combo from 1st hit
* Can be delayed 14f
* Combo can be delayed 14f from hit";;Asuka-3,1;Hyakujitsuko;;;
4;h;18;i11;-7;+7;JG;;;Asuka-4;High Kick;r26;;
1+2;m;21;i16~17;-9;KND;KND;;;Asuka-1+2;Inner Strength;r29;;
1+4;sl,h;5,8;i14;-19;-8;;"* Jails
* Combo from 1st CH
* 2nd hit when blocked is -3, on hit is +9";;Asuka-1+4;;;;
1+4,2;sl,h,h;5,8,10;;-2;+9;;* Combo from 2nd CH;;Asuka-1+4,2;;;;
1+4,2,4;sl,h,h,m;5,8,10,26;;-9;+4;KND;* Combo from 3rd CH;;Asuka-1+4,2,4;White Heron Dance;;;
1+4,2,d+4;sl,h,h,l;5,8,10,15;;-23;KND;;* Combo from 3rd CH;;Asuka-1+4,2,d+4;White Heron Lower Dance;;;
1+4,3;sl,h,m;5,8,25;;-2;KND;;"* Chip on block
* Link to attack from Spinning Heel Drop (f+3)
* Can be cancelled with input B
* Last input can be held to power up";chp;Asuka-1+4,3;White Heron Spinning Heel Drop;;;
3+4;mm;10,21;i23;-6;KND;;"* Special effect when hitting grounded opponents
* Cancel to FC with input 3+4,D
Low crush 5~";js5~;Asuka-3+4;Ryuuntsui;;;
f+1;m;17;i20;-7;+4;;;;Asuka-f+1;Whiplash;;;
f+1,3;m,m;17,17;,i21~22;-5;+6;;;;Asuka-f+1,3;"Whiplash &gt; Toe Kick";;;
f+1,4;m,l;17,26;i25~27;-26;+24;;"* Homing
* Combo from 1st CH
* Can be delayed 15F
* Combo can be delayed 5F from CH
* Interruption 11F after 1st block
High crush";hom cs;Asuka-f+1,4;Whiplash Sacred Blade;;;
f+2;m;20;i17;-18;JG;;"* Can be cancelled with input f+2,D
* Gain NWG on hit with input f+2,1";;Asuka-f+2;Demon Slayer;;;
f+3;m;24;i31~i33;-2~+0;KND;KND;"* Chip damage when guarded
* Can be cancelled with input B";chp;Asuka-f+3;Spinning Heel Drop (One Spin);;;
f+3*;ub(m);28;i70;KND;KND;KND;"* Balcony Break
* Can be cancelled with input B";bbr;Asuka-f+3*;Spinning Heel Drop (Three Spins);;;
f+3*n;m;26;i52~i53;+6~+7;KND;KND;"* Chip damage when guarded
* Can be cancelled with input B";chp;Asuka-f+3*n;Spinning Heel Drop (Two Spins);;;
f+4;h;21;i19;+3;+28;KND;* Homing;hom;Asuka-f+4;Back Spin Kick;25;;
f+1+2;h;26;i15;-9;+19a (+9)/HE;;"* Heat Engager

* Balcony Break
* Absorb an attack to power up
* chip damage on block
* Gain Naniwa Gusto on Heat activation
Power crush 8~";he bbr chp pc8~;Asuka-f+1+2;Exorcisor;;;
f+2+3;h;21;i23;+0;KND;KND;"* Balcony Break
* Sabaki
* Absorbs Punch (H/M) during 4 to 15F
* Stun on success punch parry
Parry state 4~15";bbr ps4~15;Asuka-f+2+3;Wheel Kick;;;
f+3+4;m;27;i29~30;-1;-2(-11);;"* Balcony Break
* Chip damage when guarded (8)
* On hit, gain Naniwa Gusto
* If you already have Naniwa Gusto it's 18a(+9) on hit";bbr chp;Asuka-f+3+4;"Spinning Heel Chop &gt; Naniwa Gusto";;;
df+1;m;10;i13;-3;+8;;;;Asuka-df+1;;;;
df+1,2;m,h(,th);10,13(,25);;-1;Th;Th;"* Spike
* Combo from 1st CH
* Can be delayed 7F
* Damage () is Throw bonus";spk;Asuka-df+1,2;Falling Tower;;;
df+1,4;m,m;10,22;;-12;KND;KND*;"* Balcony Break
* Combo from 1st CH
* Can be delayed 7F";bbr;Asuka-df+1,4;Kyara Boku;;;
df+2;m;14;i15;-6;LNC;LNC;+5 upon crouch hit;;Asuka-df+2;Rising Palm;25;;
df+3;m;23;i20;-8;KND;KND;Balcony Break;bbr;Asuka-df+3;Kagamino;;;
df+4;m;16;i12;-9;+2;;;;Asuka-df+4;Front Kick;;;
df+3+4;l;22;i28;-26;KND;KND*;"* Homing
* Alternate input: 3~4
* Cancel to FC with input df+3+4,DB
High crush 6~";hom cs6~;Asuka-df+3+4;Sacred Blade;32 FC;;
d+2;m;18;i18;-4c;+9c;KND;"* Heat Engager

* Gain Naniwa Gusto on Heat activation";he;Asuka-d+2;"Heaven&#039;s Hammer";;;
d+1+2;l;20;i20;-18;KND;KND;"Same move as FC.1+2
High crush 10~";cs10~;Asuka-d+1+2;Sashiro;;;
