Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
H.2+3;m,m,t;20,20,35;i16;+9;-1d;;"* Heat Smash
* Reversal Break
* Spike
* Transition to attack throw on hit
* Low crush 9~";hs rbr spk js9~;;Notorious Monster;r34;;;Bryan-H.2+3;bryan
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Total Vandalization;r39;;;Bryan-R.df+1+2;bryan
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-bryan-1,2.mp4;Bryan-1;bryan
1,2;h, h;5, 8;i10, i12;-3;+8;+9;Jail from 1st attack;;;Left Right Combo;r21;;File:t8-p2-bryan-1,2.mp4;Bryan-1,2;bryan
1,2,1;h, h, m;5, 8, 18;i10, ,i19;-6;+6;+65a;"* Combo from 2nd CH with 10F delay
* Move can be delayed by 10F";;;One Two Body Blow;r25;;File:t8-p2-bryan-1,2,1.mp4;Bryan-1,2,1;bryan
1,2,3;h, h, L;5, 8, 15;i10, ,i24;-12;+2;+14a;"* Combo from 1st CH or 2nd CH with 3F delay
* Move cannot be delayed
* Input can be delayed by 3F";;;One Two Low Kick;r31;;File:t8-p2-bryan-1,2,3.mp4;Bryan-1,2,3;bryan
1,2,4;h, h, h;5, 8, 24;i10, ,i20;-5;+20a (+11);;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Combo from 1st CH or 2nd CH with 3f delay
* Move can be delayed 2F
* Input can be delayed by 3F";he bbr;;One Two Neck Breaker;r30;;File:t8-p2-bryan-1,2,4.mp4;Bryan-1,2,4;bryan
1,4;h, h;5, 14;i10, i15;-7;+4;;Jail from 1st attack;;;;r26;;File:t8-p2-bryan-1,4,2,1,2.mp4;Bryan-1,4;bryan
1,4,2;h, h, h;5, 14, 18;i10, ,i24;-7;+4;+53a;"* Combo from 2nd CH with 10f delay
* Input can be delayed 18f
* Move can be delayed 16f
* Cancel into 1,4,2,1 with f+1
* Cancel into 1,4,2,4 with f+4
* Interrupt with i8 from 3rd block";;;;r26;;File:t8-p2-bryan-1,4,2,1,2.mp4;Bryan-1,4,2;bryan
1,4,2,1;h, h, h, h;5, 14, 18, 16;i10, ,i19;+0;+55a;;"* Enter SLS +7 +62a r13 with f
* Cancel to r9 SS with u_d
* Input can be delayed 8f
* Move can be delayed 6f";;SLS,SS;;r25;;File:t8-p2-bryan-1,4,2,1,2.mp4;Bryan-1,4,2,1;bryan
1,4,2,1,2;h, h, h, h, h;5, 14, 18, 16, 22;i10, ,i24;-9;+41d (-17);;"* Balcony Break
* Input can be delayed 1f";bbr;;Lair's Dance;r33;;File:t8-p2-bryan-1,4,2,1,2.mp4;Bryan-1,4,2,1,2;bryan
1,4,2,1,4;h, h, h, h, m;5, 14, 18, 16, 21;i10, ,i25~26;-10;+37a;;"* Tornado
* Strong Aerial Tailspin
* Can hit grounded while off-axis";trn;;Cremation;r30;;File:t8-p2-bryan-1,4,2,1,4.mp4;Bryan-1,4,2,1,4;bryan
1,4,2,4;h, h, h, m;5, 14, 18, 21;i10, ,i30~31;-5;+40a (+14);;"* Strong Aerial Tailspin
* Balcony Break
* Low crush 16~31
* Floating state 32~34";bbr js16~31 fs32~34;;Whipping Fury;r25;;File:t8-p2-bryan-1,4,2,4.mp4;Bryan-1,4,2,4;bryan
1,4,3;h, h, m;5, 14, 15;i10, ,i21;-10;+1;;Combo from 2nd CH with 5f delay;;;Jab > Double Spin Kick;r26;;File:t8-p2-bryan-1,4,3.mp4;Bryan-1,4,3;bryan
1,4,3,3;h, h, m, h;5, 14, 15, 18;i10, ,i23;-7;+7;+14a;Combo from 3rd CH;;;Running Blind;r26;;File:t8-p2-bryan-1,4,3,3.mp4;Bryan-1,4,3,3;bryan
1+3+4;m!;0;i28~31;;+16;;"* Cancellable with any input on frames 1~31
* Gain SNE
* -34 if not cancelled";;SNE;Taunt;r78 SNE;;;Bryan-1+3+4;bryan
2;h;10;i10;+1;+7;;;;;;r18;;File:t8-p2-bryan-2,3.mp4;Bryan-2;bryan
2,3;h, m;10, 14;i10, i16;-10;+6;+16a (+7);"Balcony Break (CH)
* Combo from 1st hit with 1f delay
* CH frames also apply to combo from 1st CH";;;PK Combination;r29;;File:t8-p2-bryan-2,3.mp4;Bryan-2,3;bryan
3;m;14;i16;-4;+7;;;;;Mid Kick;r23;;File:t8-p2-bryan-3,2,1,2.mp4;Bryan-3;bryan
3,2;m, m;14, 11;i16, i22;-10;+1;;Combo from 1st CH;;;;r29;;File:t8-p2-bryan-3,2,1,2.mp4;Bryan-3,2;bryan
3,2,1;m, m, m;14, 11, 10;i16, ,i20;-9;+2;;"* Combo from 2nd hit
* Combo from 1st CH";;;;r28;;File:t8-p2-bryan-3,2,1,2.mp4;Bryan-3,2,1;bryan
3,2,1,2;m, m, m, m;14, 11, 10, 14;i16, ,i19;-10;+19a (+10);;"* Balcony Break
* Combo from 3rd CH with 2f delay";bbr;;Mid Kick > Rush;r31;;File:t8-p2-bryan-3,2,1,2.mp4;Bryan-3,2,1,2;bryan
3,2,1,4;m, m, m, L;14, 11, 10, 12;i16, ,i22;-11;+0;;Combo from 3rd CH with 3f delay;;;Gatling Combination;r30;;File:t8-p2-bryan-3,2,1,4.mp4;Bryan-3,2,1,4;bryan
3,3;m, h;14, 13;i16, i23;-6;+6;;Combo from 1st CH;;;;r24;;File:t8-p2-bryan-3,3,2.mp4;Bryan-3,3;bryan
3,3,2;m, h, h;14, 13, 20;i16, ,i22~23;-7;+43a (+33);;"* Tornado
* Combo from 2nd CH";trn;;Anaconda Bite;r30;;File:t8-p2-bryan-3,3,2.mp4;Bryan-3,3,2;bryan
3,3,4;m, h, m;14, 13, 25;i16, ,i28;-12;+37d (-21);;"* Balcony Break
* Combo from 2nd CH";bbr;;Anaconda Rage;r37;;File:t8-p2-bryan-3,3,4.mp4;Bryan-3,3,4;bryan
4;h;15;i12;-7;+6;;;;;;r26;;File:t8-p2-bryan-4,1.mp4;Bryan-4;bryan
4,1;h, h;15, 15;i12, i23~24;-1;+7;;"* Combo from 1st hit
* Transition to +8 +0  r15 SWA with B";;SWA;Viper Bite;r22;;File:t8-p2-bryan-4,1.mp4;Bryan-4,1;bryan
4,3;h, m;15, 12;i12, i24~25;-10;+2;;Combo from 1st hit;;;;r27;;File:t8-p2-bryan-4,3,4.mp4;Bryan-4,3;bryan
4,3,4;h, m, m;15, 12, 16;i12, ,i24~25;-12;+14a (+5);+33d (+25);"* Balcony Break
* Hold to power up and deal more chip damage on block";bbr;;Double Spin Tomahawk;r30;;File:t8-p2-bryan-4,3,4.mp4;Bryan-4,3,4;bryan
4,3,4*;h, m, m;15, 12, 25;i12, ,i40~41;-6;+35a (+9);;"* Balcony Break
* Chip damage on block";bbr chp;;Double Spin Tomahawk (Hold);r30;;;Bryan-4,3,4*;bryan
4,3,f+4;h, m, h;15, 12, 18;i12, ,i24~25;-5;+6;+31a (+21);Combo from 2nd CH;;;Triple Spin Kick;r30;;File:t8-p2-bryan-4,3,f+4.mp4;Bryan-4,3,f+4;bryan
1+2;m;15;i17~18;-7;+6;;Homing;hom;;;r27;;File:t8-p2-bryan-1+2,1.mp4;Bryan-1+2;bryan
1+2,1;m, h;15, 15;i17~18, i23~24;-1;+6;;"* Combo from 1st hit
* Enter SWA +0 +7 r15 with b";;SWA;Snake Bite;r22;;File:t8-p2-bryan-1+2,1.mp4;Bryan-1+2,1;bryan
1+2,2;m, m;15, 20;i17~18, i26~27;-14;+51d (+20);;* Combo from 1st hit with delay;;;Snake Pit;r34;;File:t8-p2-bryan-1+2,2.mp4;Bryan-1+2,2;bryan
3+4;m;20;i18;-13;+8;+59a;Balcony Break (airborne);;;Middle Side Kick;r32;;File:t8-p2-bryan-3+4.mp4;Bryan-3+4;bryan
SNE.3+4,2;m, m;20, 20;i18, i14~15;-9;+25a (+20);;"* Balcony Break
* Combo from 1st hit
* Consumes SNE
* Chip damage on block (8)
* Interrupt with i5 from 1st block
* Unparryable by traditional parries, Asuka, Nina, etc";bbr chp;;Neo Soul Eraser;r30;;File:t8-p2-bryan-3+4,sne.2.mp4;Bryan-3+4,SNE.2;bryan
SNE.3+4,2*;m, M;20, 30;i18, i55~56;+9g~+10g;+66a (+50);;"* Tornado
* Reversal Break
* Balcony Break
* Consumes SNE
* Chip damage on block (12)
* Wall splat on block";trn rbr bbr chp;;Neo Soul Eraser Exceed;r34;;File:t8-p2-bryan-3+4,sne.2s.mp4;Bryan-3+4,SNE.2*;bryan
f+2;m;10;i15;-10;+1;;;;;;r29;;File:t8-p2-bryan-f+2,1,4.mp4;Bryan-f+2;bryan
f+2,1;m, m;10, 12;i15, i10;-10;+1;;Jail from 1st attack;;;;r29;;File:t8-p2-bryan-f+2,1,4.mp4;Bryan-f+2,1;bryan
f+2,1,4;m, m, m;10, 12, 20;i15, ,i18~19;-13;+3a;;"* Balcony Break (airborne)
* Combo from 1st or 2nd hit
* Gain SNE on hit with 1+2
* SNE gain is r25";;;Right Left > Spin Kick > Snake Eyes;r36;;File:t8-p2-bryan-f+2,1,4.mp4;Bryan-f+2,1,4;bryan
SNE.f+2,1,2;m, m, m;10, 12, 5;i15, ,i14~15;-7;+9c;;"* Floor Break
* Elbow
* Combo from 1st hit
* Consumes SNE
* Consumes 240f of Heat Time
* Chip damage on block (1)";fbr elb chp;;;r29;;File:t8-p2-bryan-f+2,1,sne.2,3,2.mp4;Bryan-f+2,1,SNE.2;bryan
