Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b
* 3 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
Power crush 7~16";hb pc7~16;;Devil Jin-2+3;Heat Burst;r30;;
H.MCR.2+3;h!,t;23,16;i20;;+0d;;"* Heat Smash
* Transition to attack throw on standing or airborne hit
Low crush 1~12";hs js1~12;;Devil Jin-H.MCR.2+3;Inner Purgatory;r35;;
H.2+3;m,h,t;20,22,10;i18;+11;+5d;;"* Heat Smash
* Jail from 1st attack
* Transition to attack throw on hit
* Transition to MCR on block only
* Can cancel transition to MCR on block with B at +2~+12
* 8 Chip Damage on block
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 15~52
* fs53~55&lt;/div&gt;";"hs &lt;div class=&quot;plainlist&quot;&gt;
* js15~52
* fs53~55&lt;/div&gt;";MCR,MCR;Devil Jin-H.2+3;Vindictive Helix;r37;;
R.df+1+2;m,t;10-15,3-5,42-60;i20;-15;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Opponent recovers FDFA on hit
Power crush 8~";pc8~;;Devil Jin-R.df+1+2;Devil Dimension: Tainted Chains;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Devil Jin-1;Jab;r19;;
1,1;h, h;5, 6;i10, i15;-1;+8;;* Jail from 1st attack with 3f delay;;;Devil Jin-1,1;Double Jab;r19;;
1,1,2;h, h, m;5, 6, 14;i10, ,i13~14;-17;+18a (+13);;"* Balcony Break on airborne hit
* Combo from 1st hit with 11f delay";;;Devil Jin-1,1,2;Flash Claw Combo;r37;;File:t8-p2-devil jin-1,1,2.mp4
1,2;h, h;5, 8;i10, i10;-3;+8;;* Jail from 1st attack with 4f delay;;;Devil Jin-1,2;One Two Strike;r22;;File:t8-p2-devil jin-1,2.mp4
1,2,2;h, h, h;5, 8, 12;i10, ,i17;-12;+4;;"* Combo from 1st hit with 11f delay
* Jail from 2nd attack with 2f delay
* Move can be delayed 9f";;;Devil Jin-1,2,2;Back Fist Combo;r31;;File:t8-p2-devil jin-1,2,2.mp4
1,2,3;h, h, m;5, 8, 25;i10, ,i29~31;+4;+24a;;"* Spike
* Move can be delayed 1f
* Interrupt with i10 from 2nd block";spk;;Devil Jin-1,2,3;;r24;;
1,2,3,4;h, h, m, m;5, 8, 25, 30;i10, ,i36~38;+0~+2;+11c~+13c;;"* Spike
* Interrupt with i7 from 3rd block";spk;;Devil Jin-1,2,3,4;Shoot the Works;r17;;File:t8-p2-devil jin-1,2,3,4.mp4
