Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Feng-2+3;feng
H.3+4;M;23;i30~31;+7c;+22d;;"* Spike
* Consumes 300F of remaining Heat time
* 4 chip damage on block
* +38d on aerial hit
* Creates an unblockable low shockwave along the ground that deals 5 recoverable damage and +7g on hit and forces the opponent to crouch. The shockwave comes out even if the kick itself whiffs, or is parried by certain parries like Jin's or Reina's. It does not come out when the first hit is blocked or absorbed by a Power Crush.
* Recovers 3F faster on hit (t67 r35 BT)";spk;BT;Jiaolong Sea Splitter;r38? BT;;;Feng-H.3+4;feng
H.b+1;h;20;i10~11;-8;+36a (+28);;"* Balcony Break
* Consumes 210F of remaining Heat time";bbr;;Essence of Iron Palm;r28;;;Feng-H.b+1;feng
H.f,F+1+2*;m;30;i39~40;+11;+22a (+12);;"* Balcony Break
* Guard Break
* Consumes 270F of remaining Heat time
* 12 chip damage on block";bbr;;Essence of Nian Zhang Mie Ba;r33;;;Feng-H.f,F+1+2*;feng
H.2+3;m,t;20,35;i20~21, i24~25;+12;+0;;"* Heat Smash
* Balcony Break
* 7 chip damage on block
* 2nd hit 26dmg +30a (-6) on 1st whiff
* Transition to STC on block
* Transition to standing with B (+7)";hs bbr;STC;Yinglong Mountain Crusher;r34;;;Feng-H.2+3;feng
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Enlighted Yellow Dragon Palm;r39;;;Feng-R.df+1+2;feng
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-feng-1,1.mp4;Feng-1;feng
1,1;h, m;5, 21;i10, i25~26;-11;+2;+61a;"* Move can be delayed by 3F
* Input can be delayed by 4F";;;Jab Spear Fist;r29;;File:t8-p2-feng-1,1.mp4;Feng-1,1;feng
1,2;h, h;5, 9;i10, i10;-3;+8;;"* Jail from 1st block with 4F delay
* Combo from 1st hit with 4F delay
* Move can be delayed with 4F delay";;;Shun Lian Quan;r22;;File:t8-p2-feng-1,2.mp4;Feng-1,2;feng
1,2,2;h, h, h;5, 9, 12;i10, ,i17;-13;+3;;"* Combo from 1st hit with 3F delay
* Transition to BT with B (-11/+5)";;BT;Firestorm;r32;;File:t8-p2-feng-1,2,2.mp4;Feng-1,2,2;feng
1,3;h, h;5, 19;i10, i16~17;-5;+8~+9;;"* Combo from 1st hit with 4F delay
* Move can be delayed by 1F
* Input can be delayed by 4F";;;Jab Roundhouse Combo;r23;;File:t8-p2-feng-1,3.mp4;Feng-1,3;feng
1+3+4;;;;;;;;;;Taunt;;;File:t8-p2-feng-1+3+4.mp4;Feng-1+3+4;feng
2;h;8;i10;-3;+5;;;;;Right Jab;r22;;File:t8-p2-feng-2,4,1.mp4;Feng-2;feng
2,4;h, m;8, 15;i10, i17;-12;-1;;"* Jail from 1st attack with 2F delay
* Combo from 1st hit with 8F delay";;;;r31;;File:t8-p2-feng-2,4,1.mp4;Feng-2,4;feng
2,4,1;h, m, m;8, 15, 25;i10, ,i24;-12;+24a (+14);;"Balcony Break
* Combo from 2nd CH with 6F delay
* Move can be delayed by 10F
* Input can be delayed by 12F
* Cancel to BT with B (-13/-2)
* Low crush 12~19";bbr js12~19;BT;San Lian Heng;r32;;File:t8-p2-feng-2,4,1.mp4;Feng-2,4,1;feng
3;m;15;i16;-11;+0;;;;;;r30;;File:t8-p2-feng-3,3,4.mp4;Feng-3;feng
3,3;m, h;15, 10;i16, i17;-9;+2;;"* Jail from 1st block with 2F delay
* Combo from 1st hit with 10F delay";;;;r28;;File:t8-p2-feng-3,3,4.mp4;Feng-3,3;feng
