Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b
* 3 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
Power crush 7~16";hb pc7~16;;Heihachi-2+3;Heat Burst;r30;;
H.b,b,n,3+4;;;;;;;"* Consumes all of the remaining Heat time
* Tremendous backwards travel";;;Heihachi-H.b,b,n,3+4;Shadow Step;r30;;
H.db+1+2;M;25;i30;+0;+0a (-17);;"* Tornado
* Reversal Break
* Balcony Break
* 11 chip damage on block
* 12 chip damage on block after absorbing an attack in power crush state
* Consumes remaining Heat time
Power crush 7~29";trn bbr pc7~29;;Heihachi-H.db+1+2;Thunderous Battering Ram;r50;;
H.2+3;m,m;50;i15;+10;+0d;;"* Heat Smash
* Reversal Break
* Floor Break
* 15 chip damage on block
* Transition to attack throw on hit
* Transition to RAI on block only
* Cancel RAI transition with B, +6 on block instead";hs fbr;RAI;Heihachi-H.2+3;Enraged Tettsui Otoshi;r36;;
H.2+3,F;m;50;i15;+10;-2d;;"* Heat Smash
* Reversal Break
* Balcony Break
* 15 chip damage on block
* Transition to attack throw on hit
* Transition to RAI on block only
* Cancel RAI transition with B, +6 on block instead";hs bbr;RAI;Heihachi-H.2+3,F;Eight Thunder Kami Slayer;r36;;
R.df+1+2;m,t;55+;i20;-15;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
Power crush 8~";pc8~;;Heihachi-R.df+1+2;Mishima Style Ultimate Technique - Tempest Dragon God Fist;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Heihachi-1;Jab;r19;;
1,1;h, h;5, 6;i10, i10;-5;+6;;* Jail from 1st attack with 3f delay;;;Heihachi-1,1;;r24;;
1,1,2;h, h, m;5, 6, 16;i10, ,i18;-17;+19a (+9);;"* Balcony Break
* Combo from 1st hit with 12f delay";bbr;;Heihachi-1,1,2;Flash Punch Combo;r37;;File:t8-p2-heihachi-1,1,2.mp4
WAR.1,1,2;h, h, m;5, 6, 20;i10, ,i18;-17;+28a (+2);;"* Balcony Break
* Combo from 1st hit with 12f delay
* Chip damage on block";bbr chp;;Heihachi-1,1,WAR.2;Ultimate Flash Punch Combo;r37;;File:t8-p2-heihachi-1,1,war.2.mp4
