Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Hwoarang-2+3;hwoarang
H.RFS.d+4;L;15;i20~21;-23;+7c;;"* Transition to RFF
* Partially uses remaining Heat time
** RFS.d+4,3,4 airborne combo guaranteed on normal hit
* Increased chip damage scaling on block during heat
** 4 chip damage on block in heat";;RFF,RFF;;r32 RFF;;File:t8-p2-hwoarang-rfs.d+4,3,4.mp4;Hwoarang-H.RFS.d+4;hwoarang
H.RFS.d+4,3;L, h;15, 12 (8);i20~21, i25;-9;-1 / +20a (+13);;"* Combo from 1st hit
* Airborne combo from 1st hit in heat
** 8 dmg, +20a (+13) on hit 
** 23 total dmg from 1st hit
* Increased chip damage scaling on block during heat
** 3 chip damage on block in heat";;;;r31;;File:t8-p2-hwoarang-rfs.d+4,3,4.mp4;Hwoarang-H.RFS.d+4,3;hwoarang
H.RFS.d+4,3,4;L, h, h;15, 12 (8), 30 (15);i20~21, ,i27~28;-9;+28a (+2) / +10a (+9);;"* Balcony Break
* Combo from 2nd hit
* Airborne combo from 1st hit
** +10a (+9) on hit
** 15 dmg, 38 total dmg from 1st hit 
* Increased chip damage scaling on block during heat
** 9 chip damage on block in heat
* Low crush 22~";bbr js22~;;Predator Bardiche;r36;;File:t8-p2-hwoarang-rfs.d+4,3,4.mp4;Hwoarang-H.RFS.d+4,3,4;hwoarang
H.RFS.f+4;h,h;8,10;i8, i10;+0;+5;;"* Jail from 1st block
* Remains in RFS
* 2 chip damage on block";;RFS;;r19? RFS;;;Hwoarang-H.RFS.f+4;hwoarang
H.RFS.f+4,4;h,h, h;8,10, 9;i8, i10, i23;-6;+75a (+59);;"* Tornado
* Combo from 1st or 2nd hit
* Transition to RFF
* Partially uses remaining Heat time
* Increased chip damage scaling on block during heat
** 2 chip damage on block";trn;RFF,RFF;Right Viper Combo > Right Sword;r29? RFF;;;Hwoarang-H.RFS.f+4,4;hwoarang
H.2+3;m,(t),m,h;13,(14,24), 12,25;i17~18, i18~19, i29;+11;+13d / +35d (+14);;"* Heat Smash
* Balcony Break
* Jails
* Transition to +13d attack throw on hit
* 5 chip damage on block
* Also possible during RFF and LFS
* Transition to RFS
* Low crush 55";hs bbr js55;RFS,RFS;Trinity Claymore;r35? RFS;;;Hwoarang-H.2+3;hwoarang
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Possible during RFF, LFS and RFS
* Power crush 8~";ra rbr pc8~;;Sky Burial;r39;;;Hwoarang-R.df+1+2;hwoarang
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-hwoarang-1,1,3,3.mp4;Hwoarang-1;hwoarang
1,1;h, h;5, 8;i10, i12;-3;+8;;"* Jail from 1st block
* Combo from 1st hit";;;;r22;;File:t8-p2-hwoarang-1,1,3,3.mp4;Hwoarang-1,1;hwoarang
1,1,3;h, h, L;5, 8, 10;i10, ,i21;-12;-1;;* Combo from 2nd CH;;;;;;File:t8-p2-hwoarang-1,1,3,3.mp4;Hwoarang-1,1,3;hwoarang
1,1,3,3;h, h, L, h;5, 8, 10, 14;i10, ,i20;-14;+4;;"* Combo from 3rd hit with 1F delay
* Move can be delayed by 10F";;;Home Surgery;r33;;File:t8-p2-hwoarang-1,1,3,3.mp4;Hwoarang-1,1,3,3;hwoarang
1,2;h, h;5, 10;i10, i10;-3;+6;;"* Jail from 1st block with 4F delay
* Combo from 1st hit with 4F delay
* Transition to LFS with 3 (+3/+12g?/+12)
* Transition to RFS with 4 (+3/+12g?/+12)";;LFS,RFS;Left Right Combo;r22;;File:t8-p2-hwoarang-1,2,f+3.mp4;Hwoarang-1,2;hwoarang
1,2,f+3;h, h, m;5, 10, 14;i10, ,i21;-8;+9;;"* Wall Crush +21g on hit


* Combo from 2nd CH with 4F delay";wc;;Rejector;;;File:t8-p2-hwoarang-1,2,f+3.mp4;Hwoarang-1,2,f+3;hwoarang
1,2,f+4;h, h, h;5, 10, 20;i10, ,i24~25;-2;+35d (+27);;"* Balcony Break
* Combo from 2nd CH with 3F delay
* Move can be delayed by 4F
* Low crush 14~";bbr js14~;;Rejection;r29;;File:t8-p2-hwoarang-1,2,f+4.mp4;Hwoarang-1,2,f+4;hwoarang
2;h;9;i10;+0;+8;+9;"* Transition to LFS with 3 (+3/+11g/+12)
* Transition to RFS with 4 (+3/+11g/+12)
* +19, +27, +28 in framedata display (bug?) 
* 70% scaling on next hit";;LFS,RFS;Right Jab;r19;;File:t8-p2-hwoarang-2.mp4;Hwoarang-2;hwoarang
2,f+3;h, m;9, 14;i10, i21;-8;+9;;"* Wall Crush +21g on hit


* Combo from 1st hit with 1F delay
* Combo from 1st CH with 4F delay";wc;;Right Jab Side Kick;;;File:t8-p2-hwoarang-2,f+3.mp4;Hwoarang-2,f+3;hwoarang
2,f+4;h, h;9, 20;i10, i24~25;-2;+35d (+27);;"* Balcony Break
* Combo from 1st CH with 3F delay
* Low crush 14~";bbr js14~;;Right Jab > Spinning Back Kick;r29;;File:t8-p2-hwoarang-2,f+4.mp4;Hwoarang-2,f+4;hwoarang
3;h;15;i14;-7;+4;;;;;;r26;;File:t8-p2-hwoarang-3,3,2.mp4;Hwoarang-3;hwoarang
3,3;h, m;15, 12;i14, i18;-13;-7;-2;"* Jail from 1st block
* Combo from 1st CH
* -7c on crouching hit
* Transition to r17 LFS with F (+2/+8/+13)";;LFS;;r32;;File:t8-p2-hwoarang-3,3,2.mp4;Hwoarang-3,3;hwoarang
3,3,2;h, m, M;15, 12, 20;i14, ,i21~22;-11;+1c;;"* Combo from 2nd CH with 8F delay
* Move can be delayed by 10F";;;Siege Mortar Combo;;;File:t8-p2-hwoarang-3,3,2.mp4;Hwoarang-3,3,2;hwoarang
3,3,3;h, m, m;15, 12, 15;i14, ,i21;-14;+32d (+24);;"* Balcony Break
* Combo from 2nd CH with 8F delay
* Move can be delayed by 10F";bbr;;Left Kicks;;;File:t8-p2-hwoarang-3,3,3.mp4;Hwoarang-3,3,3;hwoarang
3,3,4;h, m, h;15, 12, 15;i14, ,i21~23;+8;+19g;+19;"* Transition to RFS
* Combo from 2nd CH with 8F delay
* Move can be delayed by 10F";;RFS,RFS;Left Kicks > Right Hook Kick;r9? RFS;;File:t8-p2-hwoarang-3,3,4.mp4;Hwoarang-3,3,4;hwoarang
3,3,f+4;h, m, h;15, 12, 20;i14, ,i21~27;-1;+40a (+14);;"* Balcony Break
* -1 on block on average. Frame advantage may range from -4~+2 on block
* Combo from 2nd CH with 5F delay
* Move can be delayed by 10F";bbr;;Left Kicks > Backlash;r23;;File:t8-p2-hwoarang-3,3,f+4.mp4;Hwoarang-3,3,f+4;hwoarang
3~4;m,m;11,21;i22,i7;-3;+26a (+16);;"* Balcony Break
* Input 4 the following frame after 3 to power up
** 37dmg, +1 oB, +42a (+16) oH
* Low crush 16~";bbr js16~;;Flying Eagle;;;;Hwoarang-3~4;hwoarang
4;h;14;i11~12;-6;+5;;;;;;r24;;File:t8-p2-hwoarang-4,3.mp4;Hwoarang-4;hwoarang
4,3;h, m;14, 16;i11~12, i22;-6;+5;+20a (+11);"* Balcony Break on CH
* Combo from 1st hit
* +5c on crouching hit
* Cancel the second hit and transition to r8 LFS with F (-6/+5)";;LFS;Right Left Kick Combo;r25;;File:t8-p2-hwoarang-4,3.mp4;Hwoarang-4,3;hwoarang
4,4;h, h;14, 13;i11~12, i16;-1;+10g;+10;"* Jail from 1st block
* Combo from 1st hit
* Transition to RFS";;RFS,RFS;;r20? RFS;;File:t8-p2-hwoarang-4,4,3.mp4;Hwoarang-4,4;hwoarang
4,4,3;h, h, M;14, 13, 20;i11~12, ,i25~31;-14c;+14d;;"* Transition to RFF
* Combo from 2nd CH";;RFF,RFF;Right Kicks > Chainsaw Heel;RFF;;File:t8-p2-hwoarang-4,4,3.mp4;Hwoarang-4,4,3;hwoarang
4,4,4;h, h, h;14, 13, 17;i11~12, ,i25~26;-2;+8;;"* Transition to RFF
* Combo from 2nd CH with 1F delay
* Cancel and transition to r15 RFS with F (-17/-6)
* Input can be delayed by 1F
* Move cannot be delayed
* Low crush 19~";js19~;RFF,RFS,RFF;;r27? RFF;;File:t8-p2-hwoarang-4,4,4,4.mp4;Hwoarang-4,4,4;hwoarang
4,4,4,4;h, h, h, h;14, 13, 17, 20;i11~12, ,i31~32;+0;+10c;;"* Balcony Break
* Tornado
* Combo from 3rd hit with 4F delay
* Input can be delayed by 4F
* Move cannot be delayed
* 6 chip damage on block
* Forces backroll on hit (opponent recovers crouching)
* Alternate input:(RFS.u+4),4
* Low crush 20~";bbr trn js20~;;Right Kicks > Raptor Combo;r37;;File:t8-p2-hwoarang-4,4,4,4.mp4;Hwoarang-4,4,4,4;hwoarang
1+2;;;;;;;* Transition to BT;;BT,BT;Disrespect;r7 BT;;;Hwoarang-1+2;hwoarang
3+4;;;;;;;"* Transition to RFF
* Transition to r13? standing block with B";;RFF,RFF;Motion Switch;r10 RFF;;;Hwoarang-3+4;hwoarang
f+2;m;15;i16;-2;+9;;* Transition to RFF;;RFF,RFF;Rusty Knife;r21? RFF;;File:t8-p2-hwoarang-f+2.mp4;Hwoarang-f+2;hwoarang
f+3;;;;;;;"* Transition to LFS
* Sidesteps to the right
* Can move forwards and backwards with F and B
* Can sidestep with U and D
* Cannot block or crouch in stance";;LFS,LFS;Left Flamingo Feint;r13 LFS;;;Hwoarang-f+3;hwoarang
