Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;(12);i16;+1;+2c;;"Heat Burst
Power crush";hb pc;;Jack-8-2+3;Heat Burst;;;
H.2+3;h,m,t;50;i10;-9;-2d (-12);;"* Heat Smash
* Balcony Break
* Chip damage on block (19)";hs bbr chp;;Jack-8-H.2+3;Meteor Raid;;;
R.df+1+2;m,t;55+;i20;-15;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
Power crush 8~";pc8~;;Jack-8-R.df+1+2;Terraforming Cannon;r39;;
1;h;10;i12;-2;+6;+9;;;;Jack-8-1;Jab;r21;File:Jack-8-1.jpg;File:Jack-8-1.mp4
1,1;h, m;10, 22;i12, i15;-14c;+4c;+12d;"* Elbow
* Combos from 1st hit
* Transition to GMH with D
* (+4 oB, +8c oH, +16d cH)";elb;GMH;Jack-8-1,1;Jab > Jackhammer;;File:Jack-8-11.jpg;File:t8-p2-jack-8-1,1.mp4
1,2;h, h;10, 24;i12, i19;-2;+30a;;Combos from 1st hit CH;;;Jack-8-1,2;Jab > Stunning Hook;;File:Jack-8-12.jpg;File:t8-p2-jack-8-1,2.mp4
2;h;10;i11;+1;+9;;"* Recovers 2f faster on hit or block (t29 r18)
* Tracking notes:
* May be sidewalked left only at +4. Pseudo-homing right tracking.
* May be sidestepped right at -7.";;;Jack-8-2;;r20;File:Jack-8-2.jpg;File:Jack-8-2.mp4
2,1;h, m;10, 12;i11, i16;-3;+2;;"* Elbow
* Combos from 1st hit";elb;;Jack-8-2,1;;;File:Jack-8-21.jpg;File:Jack-8-21.mp4
2,1,2;h, m, m;10, 12, 20;i11, ,i33;-12;+29a (+19);;;;FC;Jack-8-2,1,2;Jab Elbow Smash;r FC;File:Jack-8-212.jpg;File:t8-p2-jack-8-2,1,2.mp4
2,1,1+2;h, m, h,h,h,h,h;10, 12, 10,6,6,6,20;i11, ,i33;-4;+13d;;Jails;;;Jack-8-2,1,1+2;Piston Gun Fusillade;;File:Jack-8-211+2.jpg;File:t8-p2-jack-8-2,1,1+2.mp4
2,3;h, m;10, 18;i11, i19;-13;+5;+30d (+22);"* Knee
* Combo from 1st hit
* 2nd hit Balcony Break on CH";kne;;Jack-8-2,3;Mimesis Savage Knee;;File:Jack-8-23.jpg;File:t8-p2-jack-8-2,3.mp4
3;h;30;i18;-14;+18d (+8);;Balcony Break;bbr;;Jack-8-3;Left Kick;;File:Jack-8-3.jpg;File:Jack-8-3.mp4
4;h;18;i16;-4;+7;+32d (+22);Balcony Break on CH;;;Jack-8-4;Right Kick;;File:Jack-8-4.jpg;File:Jack-8-4.mp4
1+2;m,m;8,14;i15;-13;+67a (+51);;"* Tornado
* Instant Tornado
* Homing";trn hom;;Jack-8-1+2;Tornado Punch;;File:Jack-8-1+2both.jpg;File:t8-p2-jack-8-1+2.mp4
1+4;;;i22~;;;;"* Alternate input hcf
* Can be held for up to 5 spins";;;Jack-8-1+4;;;File:Jack-8-hcf.jpg;File:Jack-8-hcf.mp4
1+4*,1;m;35/45/55/199;i17(68/93/118~);!;+70d;;"* Balcony Break
* Unblockable";bbr;;Jack-8-1+4*,1;Gigaton Punch (2/3/4/5 spins);;File:Jack-8-five.jpg;File:Jack-8-five.mp4
1+4,1;m;25;i22~, i17(43~);+21g;+7a (-2);+39d (-8);"* Balcony Break
* Alternate input hcf,1 to power up
* Chip damage on block (7)";bbr chp;;Jack-8-1+4,1;Gigaton Punch;;File:Jack-8-hcf1.jpg;File:Jack-8-hcf1.mp4
1+4,df+1;m;21;i22~, i20~23;-17;+52a (+42);;"* Tornado
* Non just frame version of 1+4:df+1
* Alternate input hcf,df+1 to power up";trn;;Jack-8-1+4,df+1;Windup Uppercut;;File:Jack-8-hcfdf1.jpg;File:t8-p2-jack-8-1+4,df+1.mp4
1+4:df+1;m;30;i20~23;-17;+66a (+50);;"* Tornado
* Instant Tornado
* Just frame version of 1+4,df+1 
* Alternate input hcf:df+1 to power up";trn;;Jack-8-1+4:df+1;Prime Windup Uppercut;;File:Jack-8-hcfdf1p.jpg;File:Jack-8-hcfdf1p.mp4
3+4;;;pc7;;;;"* When timed with opponent attack, or absorbing an attack, shift to Gamma Charge
* Powercrush active from 7f to 22f
* Recover Heat and recoverable health when absorbing an attack
* Gamma Charge is always in effect during Heat
* Alternate input: ws3+4";;;Jack-8-3+4;Gamma Howl (Gamma Charge);;File:Jack-8-3+4.jpg;File:t8-p2-jack-8-3+4.mp4
f+1;m;13;i14;-6;+5;;"* Tracking Notes:
* Might be sidewalked left at +8 only?
* Might be sidestepped left at -4 only? 
* Effectively homing?";;;Jack-8-f+1;;;File:Jack-8-f1.jpg;File:Jack-8-f1.mp4
f+1,1;m, h;13, 25;i14, i25;-7;+8d (-1);+40d (-7);Combos from 1st hit;;;Jack-8-f+1,1;Impact Driver;;File:Jack-8-f11.jpg;File:t8-p2-jack-8-f+1,1.mp4
f+1,2;m, h;13, 12;i14, i22;-6;+5;;Combos from 1st hit;;;Jack-8-f+1,2;;;File:Jack-8-f12.jpg;File:Jack-8-f12.mp4
f+1,2,1;m, h, m;13, 12, 12;i14, ,i26;-12;+65a (+49);;"* Tornado
* Instant Tornado";trn;;Jack-8-f+1,2,1;Drilling Engine;;File:Jack-8-f121.jpg;File:t8-p2-jack-8-f+1,2,1.mp4
f+1,2,2;m, h, m;13, 12, 12;i14, ,i33;+6;+3d;;* Can be charged to power up;;;Jack-8-f+1,2,2;Piston Gun Blaster;;File:Jack-8-f122.jpg;File:t8-p2-jack-8-f+1,2,2.mp4
f+1,2,2*;m, h, m;13, 12, 12;i14, ,i61;-12 (0 wall crush);+11d (-15);;"* Balcony Break
* Wall crush
* Chip damage on block (16)";bbr wc chp;;Jack-8-f+1,2,2*;Piston Gun Blaster (charged);;;
f+2;h;22;i10;-12;+5;+32a (+24);"* Tracking notes:
* Can be sidewalked left at -2 or -1
* Can be sidestepped right at -4";;;Jack-8-f+2;Pinpoint Assault;r33;File:Jack-8-f2.jpg;File:t8-p2-jack-8-f+2.mp4
f+3;m;18;i15;-9;+5;;"* Knee
* Transition to GMH with D
** (+2 oB, +16g oH, +16 ch)
* Alternate input ws3";kne;GMH;Jack-8-f+3;;;File:Jack-8-f3.jpg;File:Jack-8-f3.mp4
f+3,2;m, h;18, 20;i15, i23;-9;+44d (-14);;"* Balcony Break
* Combos from 1st hit
* Alternate input ws3,2";bbr;;Jack-8-f+3,2;Two-Step Die;;;File:t8-p2-jack-8-f+3,2.mp4
f+3,1+2;m, m;18, 20;i15, i25;-11c;+2d;+48a;"* Combos from 1st hit CH
* Alternate input ws3,1+2";;;Jack-8-f+3,1+2;Machine Press;;File:Jack-8-f31+2.jpg;File:t8-p2-jack-8-f+3,1+2.mp4
f+4;m;20;i17;-4;+7;+32d (+22);Balcony Break on CH;;;Jack-8-f+4;;;File:Jack-8-4.jpg;File:Jack-8-4.mp4
f+4~1;h;80;i65;!;+5;;Unblockable;;;Jack-8-f+4~1;Dark Greeting;;File:Jack-8-f4-1.jpg;File:t8-p2-jack-8-f+4~1.mp4
f+4~1,2;m;30;i15 (66~);+8;+0d;;Elbow;elb;;Jack-8-f+4~1,2;Sudden Elbow;;File:Jack-8-f4-12.jpg;File:t8-p2-jack-8-f+4~1,2.mp4
f+1+2;m,m;12,20;i27 pc7;-12;+32d (+6);;"* Balcony Break
* Chip damage on block when absorbing an attack (12)
* Tracking notes:
* Can sidewalked left at -7
* Can sidestepped at -6
*
Power crush 7";bbr chp pc7;;Jack-8-f+1+2;Rolling Death Crusher;;File:Jack-8-f1+2.jpg;File:t8-p2-jack-8-f+1+2.mp4
f+3+4;m;24;i22;-11;+9c;;"* Headbutt
* Transition to GMH with D
** (-3 oB, +15c oH)";;GMH;Jack-8-f+3+4;Merkabah Headbutt;;File:Jack-8-f3+4.jpg;File:t8-p2-jack-8-f+3+4.mp4
df+1;m;12;i14;-4;+3;+5;;;;Jack-8-df+1;;;;
df+1,1;m, m;12;i14, i29;-11;+21cg;+72a (+56);"* Tornado
* Balcony Break
* Combos from 1st hit CH
* Delayable";trn bbr;;Jack-8-df+1,1;Overheat;;;File:t8-p2-jack-8-df+1,1.mp4
df+1,2;m, h;12, 10;i14, i29;-12;-1;;"*Jails
* Combos from 1st hit CH
* Delayable";;;Jack-8-df+1,2;;;;
df+1,2,1;m, h, h;12, 10, 2;i14, ,i15;-10;-2;;"* Jails
* On air hit +22a (+15)
* Combos from 2nd hit
* Combos from 1st hit CH";;;Jack-8-df+1,2,1;;;;
df+1,2,1,2;m, h, h, h;12, 10, 2, 20;i14, ,i9;-18;+35d (-23);;"* Balcony Break
* On air hit +12 (+5) 
* Combos from 2nd hit
* Combos from 1st hit CH";bbr;;Jack-8-df+1,2,1,2;Overdrive;;;File:t8-p2-jack-8-df+1,2,1,2.mp4
df+1+3;sm;20;i30~49;-11;+0d~+19d;;{{}};;;Jack-8-df+1+3;Body Press;;;File:t8-p2-jack-8-df+1+3.mp4
df+2;m;13;i15;-14;+31a (+21);;;;;Jack-8-df+2;Programmed Uppercut;;;File:t8-p2-jack-8-df+2.mp4
df+2,1;m, h;13, 16;i15, i21;-32;+40a (+22);;"* Transition to GMH with D
** (+45a (+27) oH)
* Can be charged to power up";;GMH;Jack-8-df+2,1;Cosmic Sweeper;;;
df+2,1*;m, h;13, 16;i15, i35;-46;+69a (+53);;"* Tornado
* Transition to GMH with D
** (+70a (+54) oH))";trn;GMH;Jack-8-df+2,1*;Cosmic Sweeper (charged);;;
df+3;m;16;i16;-9;+2;;;;;Jack-8-df+3;;;;
df+3,2;m, h;16, 20;i16, i20;-9;+25d;;Balcony Break;bbr;;Jack-8-df+3,2;Combine Harvester;;;File:t8-p2-jack-8-df+3,2.mp4
df+4;m;17;i15;-9;+5;+14c;;;;Jack-8-df+4;Mimesis Wrench Kick;;;File:t8-p2-jack-8-df+4.mp4
df+1+4;l;23;i34;-37;+18d;;"* Homing
* Alternate input b,db,d,df+1 to power up";hom;;Jack-8-df+1+4;Debugger;;;File:t8-p2-jack-8-df+1+4.mp4
df+2+3;m;26;i22;-9;+31d (-5);;"* Balcony Break
* Alternate input b,db,d,df+2 to power up";bbr;;Jack-8-df+2+3;Megaton Blast;;;File:t8-p2-jack-8-df+2+3.mp4
df+3+4;m;28;i13;-23;+10a (+1);;Balcony Break;bbr;;Jack-8-df+3+4;Dump Truck;;;File:t8-p2-jack-8-df+3+4.mp4
d+1;s;5;i10;-5;+6;;"*
High crush 4";cs4;FC;Jack-8-d+1;;rFC;;
d+2;s;8;i11;-4;+7;;"* Alternate input FC.2
High crush 4";cs4;FC;Jack-8-d+2;;rFC;;
d+2,1;s, l;8, 6;i11, i24;-14;-3;;"* Alternate input FC.2,1
Combos from 1st hit
First two hits of 10 hit combo";;FC;Jack-8-d+2,1;;rFC;;
d+3;l;12;i20;-17;-6;;"* Alternate input FC.d+3
High crush 4";cs4;FC;Jack-8-d+3;;rFC;;
d+4;l;10;i16;-15;-4;;"* Alternate input FC.d+4
High crush 4";cs4;FC;Jack-8-d+4;;rFC;;
d+1+2;m;28;i27;-18;+42a (+32);;"*
High crush 6";cs6;;Jack-8-d+1+2;Double Axe;;;File:t8-p2-jack-8-d+1+2.mp4
d+1+2;m;18;i28;+18g;+39d;;* Recovers in SIT, then stands up;;SIT;Jack-8-Grounded face up d+1+2;Get Up Punch;SIT;;
d+3+4;;;;;;;* Transitions to SIT (Sit Down);;SIT;Jack-8-d+3+4;Sit Down;SIT;;
db+1;l;13;i12;-12;+1;;*;;FC;Jack-8-db+1;;rFC;;
db+1,1;l, l;13, 5;i12, i16;-12;-1;;* Combos from 1st hit;;FC;Jack-8-db+1,1;;rFC;;
db+1,1,1;l, l, l;13, 5, 5;i12, ,i16;-12;-1;;*;;FC;Jack-8-db+1,1,1;;rFC;;
db+1,1,1,2;l, l, l, m;13, 5, 5, 21;i12, ,i19;-11;+43a (-4);;* Balcony Break;bbr;;Jack-8-db+1,1,1,2;Machinegun Blast;;;File:t8-p2-jack-8-db+1,1,1,2.mp4
db+2;l;24;i22;-18;+3c;+33d;"* Can be charged to power up
High crush 6";cs6;;Jack-8-db+2;Power Shovel;;;File:t8-p2-jack-8-db+2.mp4
db+2*;l;30;i36;-33;+17d;;* Chip damage on block (9);chp;;Jack-8-db+2*;Power Shovel (charged);;;
db+3;l;15;i21;-20;-9;;*;;;Jack-8-db+3;Cossack Kick;;;
db+3, ... 1+2;l, h;15, 21;i21, i34;+14g;+43a (-15);;* Balcony Break;bbr;;Jack-8-db+3,1+2;Cossack Smash;;;File:t8-p2-jack-8-db+3,1+2.mp4
db+3, ... d+1+2;l, m (th);15, 4,5,5,5,5,21;i21, i34;;0;;"* Crouch throw (Unbreakable)
* Can be executed after any hit of Cossack Kicks (DB+3,4,3...)";;;Jack-8-db+3,d+1+2;Cossack Compactor;;;File:t8-p2-jack-8-db+3,d+1+2.mp4
db+3,4;l, l;15, 12;i21, i27;-16;-9;;*;;;Jack-8-db+3,4;;;;
db+3,4,3;l, l, l;15, 12, 12;i21, ,i27;-19;-8;;*;;;Jack-8-db+3,4,3;;;;
db+3,4,3,4;l, l, l, l;15, 12, 12, 12;i21, ,i27;-16;-5;;*;;;Jack-8-db+3,4,3,4;;;;
db+3,4,3,4,3;l, l, l, l, l;15, 12, 12, 12, 12;i21, ,i27;-19;-8;;*;;;Jack-8-db+3,4,3,4,3;;;;
db+3,4,3,4,3,4;l, l, l, l, l, l;15, 12, 12, 12, 12, 12;i21, ,i27;-16;-5;;*;;;Jack-8-db+3,4,3,4,3,4;Cossack Kicks;;;File:t8-p2-jack-8-db+3,4,3,4,3,4.mp4
db+4;l;14;i16;-13;-2;;"*
High crush 6";cs6;FC;Jack-8-db+4;Big Boot;rFC;;File:t8-p2-jack-8-db+4.mp4
db+1+2;l,l;8,21;i18;-70;-5d;;*;;;Jack-8-db1+2;Megaton Earthquake;;;File:t8-p2-jack-8-db1+2.mp4
b+1;m;17;i20;-11;+8;;*;;;Jack-8-b+1;;;;
b+1,2;m, m;17, 17;i20, i26;-14c;+15d;+47a;"* Spike
* Combos from 1st hit";spk;;Jack-8-b+1,2;Double Biceps;;;File:t8-p2-jack-8-b+1,2.mp4
b+2;m;27;i19;+5;+2d;;"* Heat Engager

* Heat Dash +5, +36a(+26)

* Balcony Break";he bbr;;Jack-8-b+2;Piston Gun Assault;;;File:t8-p2-jack-8-b+2.mp4
b+2*;m;40;i35;-2 (+5 WC);+17a (+9);;"* Heat Engager

* Heat Dash +5, +36a(+26)

* Balcony Break
* Wall crush
* Chip damage on block (16)";he bbr wc chp;;Jack-8-b+2*;Piston Gun Assault (charged);;;
b+3;m;14;i16;-9;+2;;*;;;Jack-8-b+3;;;;
b+3,2;m, h;14, 13;i16, i22;-4;+1;;"* Transition to GMH with D
** (+0 oB, +5 oH)";;GMH;Jack-8-b+3,2;;;;
b+3,2,2;m, h, h;14, 13, 20;i16, ,i25;-9;+44d (-14);;"* Balcony Break
* Can be charged to power up";bbr;;Jack-8-b+3,2,2;Mad Dozer;;;File:t8-p2-jack-8-b+3,2,2.mp4
b+3,2,2*;m, h, m;14, 13, 40;i16, ,i67;-9;+13d (+5);;"* Balcony Break
* Wall Crush +3 on block


* Chip damage on block (16)";bbr wc chp;;Jack-8-b+3,2,2*;Mad Dozer (charged);;;
b+4;m;16;i13;-13;-2;-2a;*;;;Jack-8-b+4;;;;
