Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Jin-2+3;jin
H.db+1+2;M;0;i19~34;+4;+23g~+38g;;"* Strong Aerial Tailspin
* Balcony Break
* Weapon?
* Transition to DVS r34 on hit or block
** Stance moves can be delayed by 9F
** Transition to r44 FC with no input
* Unparryable by traditional parries, Asuka, Nina, etc
* Consumes 300F of remaining Heat time
* Opponent recovers crouching
* Power crush 6~18";bbr pc6~18;DVS,FC;Awakened Power Stance;r26;;;Jin-H.db+1+2;jin
H.f,F+1+2;m;20;i21~23;+5;+24cg;;"* Balcony Break
* Strong Aerial Tailspin
* Transition to DVS r32 on hit or block
** Stance moves can be delayed by 9F
** Transition to r42 FC with no input
* Consumes 240f of Heat time
* Cancel transition and recover Standing with B (-1/+18cg)
* 4 chip damage on block
* Low crush 11~48
* Floating state 49~51";bbr js11~48 fs49~51;DVS,FC;Awakened Black Wing;r38;;;Jin-H.f,F+1+2;jin
H.2+3;m,h,m;57;i15~16;+3;+0d;;"* Heat Smash
* Reversal Break
* Balcony Break
* Transition to attack throw after 1st hit
* Transition to CD automatically on block
* Transition to standing on block with B
* 6 chip damage on block
* Jail from 1st attack";hs rbr bbr;CD;Hellfire Trespass Slayer;r33;;;Jin-H.2+3;jin
H.2+3,4;m,h,m;50;i15~16;+9;+32a (-4);;"* Heat Smash
* Reversal Break
* Balcony Break
* 7 chip damage on block
* Jail from 1st attack";hs rbr bbr;;Hellfire Darkside Slayer;r32;;;Jin-H.2+3,4;jin
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Polar Demon Gouge;r39;;;Jin-R.df+1+2;jin
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-jin-1,2.mp4;Jin-1;jin
1,2;h, h;5, 12;i10, i10;-3;+6;;Jail from 1st attack with 4f delay;;;Left Right Combo;r21;;File:t8-p2-jin-1,2.mp4;Jin-1,2;jin
1,2,1;h, h, m;5, 12, 20;i10, ,i20~22;-16;+31a (+21);;"* Tornado
* Combo from 2nd CH with 7f delay
* Input can be delayed 9f
* Move can be delayed 4f
* Chip damage on block
* Low crush 20~49
* Floating state 50~52";trn chp js20~49 fs50~52;;Left Right > Black Wing Rondo;r37;;File:t8-p2-jin-1,2,1.mp4;Jin-1,2,1;jin
1,2,3;h, h, m;5, 12, 20;i10, ,i24~26;+0;+31d;;"* Spike
* Interrupt with i10 from 2nd block
* Input can be delayed 9f
* Move can be delayed 4f";spk;;Left Right > Axe Kick;r21;;File:t8-p2-jin-1,2,3.mp4;Jin-1,2,3;jin
1,2,4;h, h, h;5, 12, 26;i10, ,i20~22;-4;+23a (+14);;"* Balcony Break
* Combo from 3rd hit with 7f delay
* Input can be delayed 9f
* Move can be delayed 4f";bbr;;Left Right > Spinning Hook Kick;r25;;File:t8-p2-jin-1,2,4.mp4;Jin-1,2,4;jin
1,3;h, L;5, 9;i10, i16~17;-12;-1;;"* Combo from 1st hit with 4f delay
* Grounded hit can be inconsistent";;;Left Jab > Single Low;r30;;File:t8-p2-jin-1,3,4.mp4;Jin-1,3;jin
1,3,4;h, L, l;5, 9, 17;i10, ,i23;-13;+3;+29a;"* Combo from 2nd CH with 7f delay
* Input can be delayed 12f";;;Left Jab > Double Low;r32;;File:t8-p2-jin-1,3,4.mp4;Jin-1,3,4;jin
1+3+4;;;;;;;;;;"<div class=""dotlist"">

* State of Zanshin
* Mental Alertness
</div>";r46;;File:t8-p2-jin-1+3+4.mp4;Jin-1+3+4;jin
2;h;9;i10;+0;+9;;;;;Right Jab;r19;;File:t8-p2-jin-2,1,4.mp4;Jin-2;jin
2,1;h, m;9, 9;i10, i16~17;-3;+6;;"* Jail from 1st attack with 2f delay
* Same animation as df+1";;;Double Thrust;r20;;File:t8-p2-jin-2,1,4.mp4;Jin-2,1;jin
2,1,4;h, m, m;9, 9, 18;i10, ,i18~20;-10;+3;+16a (+7);"* Balcony Break on CH
* Combo from 2nd CH with 8f delay
* Input can be delayed 10f
* Forces tech backroll on CH";;;Double Thrust > Roundhouse;r26;;File:t8-p2-jin-2,1,4.mp4;Jin-2,1,4;jin
2,1,4~4;h, m, l;9, 9, 20;i10, ,i20~21;-12;+16a;;Interrupt with i16 from 2nd block;;;Double Thrust > Low Trick Kick;r28;;File:t8-p2-jin-2,1,4t4.mp4;Jin-2,1,4~4;jin
2,4;h, h;9, 20;i10, i24~27;-13;+7;;"* Balcony Break
* Combo from 1st hit with 2f delay
* Enter ZEN -6, +14g r26 with F";bbr;ZEN;Switchblade;r29;;File:t8-p2-jin-2,4.mp4;Jin-2,4;jin
3;h;17;i14;-7;+4;;;;;;;;File:t8-p2-jin-3,1,4.mp4;Jin-3;jin
3,1;h, h;17, 7;i14, i20;-1;+7;;"* Combo from 1st hit
* Enter ZEN +4 +12 r15 with F";;ZEN;;r20;;File:t8-p2-jin-3,1,4.mp4;Jin-3,1;jin
3,1,4;h, h, l;17, 7, 18;i14, ,i18;-13;+3;+29a;"* Combo from 2nd CH with 9f delay
* Input can be delayed 14f
* Move can be delayed 12f";;;Kishin Rekko;r32;;File:t8-p2-jin-3,1,4.mp4;Jin-3,1,4;jin
4;h;15;i13~14;-9;+10g;+13c;"* Homing
* Balcony Break";hom bbr;;High Right Roundhouse;r32;;File:t8-p2-jin-4.mp4;Jin-4;jin
4~3;M;27;i24~34;-11~-2;+2a~+12a;;"* Spike
* Low crush 12~31
* Floating state 32~";spk js12~31 fs32~;FUFT;Spinning Flare Kick;r28 FUFT;;File:t8-p2-jin-4t3.mp4;Jin-4~3;jin
1+2;m,m,m;4,4,16;i13 i8 i12;-14;+12a (+3);;"* Balcony Break
* Heat Engager

* Heat Dash +5, +43d (+35)";bbr he;;Median Line Destruction;r33;;File:t8-p2-jin-1+2.mp4;Jin-1+2;jin
f+3;m;12;i14;-16;-5;;;;;Left Sidekick;r35;;File:t8-p2-jin-f+3,1.mp4;Jin-f+3;jin
f+3,1;m, m;12, 17;i14, i22;-12;+4;;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Combo from 1st hit with 8F delay
* Interrupt with 3F from 1st block
* Move can be delayed by 7F
* Input can be delayed by 8F
* Balcony break on airborne hit";he;;Tanden Nidan-uchi;r31;;File:t8-p2-jin-f+3,1.mp4;Jin-f+3,1;jin
f+3,3;m, h;12, 14;i14, i20;-8;+8;;"* Combo from 1st hit with 8F delay
* Interrupt with 1F from 1st block
* Move can be delayed by 7F
* Input can be delayed by 8F
* Enter ZEN -7 +9 r26 with F
* Transition to Special Move backdash with B";;ZEN,Special;Left Sidekick > Stinger;r27;;File:t8-p2-jin-f+3,3.mp4;Jin-f+3,3;jin
f+4;m;21;i16-17;-8;+4;+42a;"* Enter ZEN -1 +11 +49a r26 with F
* Balcony break on airborne hit";;ZEN;Front Thrust Kick;r32;;File:t8-p2-jin-f+4.mp4;Jin-f+4;jin
