Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
Power crush 7~16";hb pc7~16;;Jun-2+3;Heat Burst;r30;;
H.GEN.1,1+2;L,M;14,35;i20~21 i26~41;-14;+25a (+7);;"* Reversal Break
* Balcony Break
* Jail from 1st attack
* Restores 6 recoverable (3 on block)
* Chip damage (2,7) on block
* Consumes 450f of heat timer
High crush 11~21";bbr chp cs11~21;;Jun-H.GEN.1,1+2;Yomotsu Mihashira;r25;;
H.f+1+2,P;h;0;i12;;+40g;;"* Sabaki, parries mid or high punches or kicks
Parry state 5~";ps5~;MIA;Jun-H.f+1+2,P;;r30 MIA;;
H.2+3;m,m;20,30;i13 i32~75;-6~+37g;+21a~+64a (-5~+38);;"* Heat Smash
* Balcony Break
* Restores 32 recoverable on hit (16 on block)
* 10 Chip damage on block";hs bbr;;Jun-H.2+3;Yomotsu Ooyumi;r1;;
R.df+1+2;m,t;55+;i20;-15;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
Power crush 8~";pc8~;;Jun-R.df+1+2;Amatsu Izanami;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jun-1;Jab;r19;;
1,1;h, m;5, 15;i10, i25;-1;+8;+13;"* Combo from 1st hit with 1f delay
* Restores 2 health and 2 recoverable on hit";;IZU;Jun-1,1;Suikei > Izumo Smash;r28 IZU;;File:t8-p2-jun-1,1.mp4
1,2;h, h;5, 8;i10, i16;-3;+6;;"* Jail from 1st attack with 2f delay
* Combo from 1st hit with 2f delay
* Enter SS +1 +10g r16 with u or d";;SS;Jun-1,2;Spear Step;r24;;File:t8-p2-jun-1,2.mp4
1,2,2;h, h, h;5, 8, 12;i10, ,i16~17;+4;+11;+20c;"* Homing
* Combo from 2nd hit
* Jail from 2nd block with 1f delay
* Restores 2 health on hit";hom;IZU;Jun-1,2,2;Spear Step > Izumo Strike;r39 IZU;;File:t8-p2-jun-1,2,2.mp4
1,2,4;h, h, m;5, 8, 16;i10, ,i27~28;-12;+5;+15a (+6);"* Balcony Break (airborne)
* Combo from 2nd CH with 3f delay
* Input can be delayed 9f";;;Jun-1,2,4;Spear Step > Spin Kick;r34;;File:t8-p2-jun-1,2,4.mp4
1,3;h, L;5, 12;i10, i23;-12;+2;+6c;* Combo from 1st CH with 2f delay;;;Jun-1,3;Suiren Leg Scythe;r31;;File:t8-p2-jun-1,3.mp4
2;h;7;i12;-4;+7;;;;;Jun-2;Right Jab;r23;;
2,1;h, m;7, 9;i12, i21;-6;+7;;"* Elbow
* Combo from 1st hit with 9f delay
* Input can be delayed 10f";elb;;Jun-2,1;;r25;;
2,1,4;h, m, m;7, 9, 12;i12, ,i10;-12;-1;;"* Knee
* Combo from 1st hit";kne;;Jun-2,1,4;;r31;;
2,1,4,1;h, m, m, m;7, 9, 12, 30;i12, ,i30;-9;+10a (+1);+42a (-5);"* Balcony Break
* Combo from 3rd CH
* Input can be delayed 10f
* Chip damage (9) on block
* Deals 6 damage to self (4 recoverable)
* Unparryable by traditional parries, Asuka, Nina, etc";bbr chp;;Jun-2,1,4,1;Byakuren Tsukinuki;r34;;File:t8-p2-jun-2,1,4,1.mp4
2,1,4,3;h, m, m, h;7, 9, 12, 21;i12, ,i25;-9;+13a (+4);;"* Balcony Break
* Combo from 3rd CH with 5f delay
* Input can be delayed 10f";bbr;;Jun-2,1,4,3;Byakuren Tamasudare;r37;;File:t8-p2-jun-2,1,4,3.mp4
2,1,1+2;h, m, h;7, 9, 21;i12, ,i22;+2;+48d (+10);;"* Balcony Break
* Elbow
* Combo from 2nd CH with 9f delay";bbr elb;;Jun-2,1,1+2;Byakuren Misogi;r26;;File:t8-p2-jun-2,1,1+2.mp4
3;m;20;i14~15;-13;+18a (+1);;Balcony Break;bbr;;Jun-3;Shion;r31;;File:Jun-23.mp4
4;h;17;i12;-9;+7;+32d;;;;Jun-4;Magic Four;r28;;
1+2;m;26;i13;-12;+28a;;"* Balcony Break
* Heat Engager

* Heat Dash +5, +43d (+35)";bbr he;;Jun-1+2;Shunkei;r34;;File:t8-p2-jun-1+2.mp4
1+4;SL,h;5,8;i14 i17;-3;-3;+4;"* Jail from 1st attack
* CH advantage listed is for the 2nd hit";;;Jun-1+4;;r21;;
1+4,2;SL,h, h;5,8, 10;i14 i17, i19;-2;+9;;Combo from 2nd CH;;;Jun-1+4,2;;r21;;
1+4,2,4;SL,h, h, m;5,8, 10, 23;i14 i17, ,i24;-15;+11a (+2);;Combo from 3rd CH;;;Jun-1+4,2,4;White Heron Dance;r34;;File:t8-p2-jun-1+4,2,4.mp4
1+4,2,d+4;SL,h, h, L;5,8, 10, 15;i14 i17, ,i24~25;-23~-22;+27a;;"Combo from 3rd CH
,High crush 10~38";cs10~38;;Jun-1+4,2,d+4;White Heron Lower Dance;r30;;File:t8-p2-jun-1+4,2,d+4.mp4
1+4,3;SL,h, m;5,8, 15;i14 i17, i24~25;-11~-10;+1~+2;;Combo from 2nd CH;;;Jun-1+4,3;;r29;;
1+4,3,1;SL,h, m, m;5,8, 15, 20;i14 i17, ,i33~34;-13~-12;+17a (+10);;;;;Jun-1+4,3,1;White Heron Sun Palm;r32;;File:t8-p2-jun-1+4,3,1.mp4
1+4,3,4;SL,h, m, L;5,8, 15, 17;i14 i17, ,i25~26;-13~-12;+4c~+5c;+26a;Combo from 3rd CH;;;Jun-1+4,3,4;White Heron Moon Kick;r31;;File:t8-p2-jun-1+4,3,4.mp4
3+4;m,M,M;6,18,20;i23~24 i30~31 i16;-6;+26a (+8);;"* Spike
* 3rd hit available only as combo from 2nd hit
* Can recover in r22 FC with D on whiff or block
* Deals 12 damage to self (8 recoverable)
Low crush 5~33 fs34~36";spk js5~33 fs34~36;;Jun-3+4;Ryuuntsui - Misogi;r24;;File:t8-p2-jun-3+4.mp4
f+1;m;15;i20;+0;+9;+14;* Restores 2 health and 2 recoverable on hit;;IZU;Jun-f+1;Izumo Smash;r28 IZU;;File:t8-p2-jun-f+1.mp4
f+2;M;20;i17~18;-18;+33a (+23);;Cancel to r26 FC with D;;FC;Jun-f+2;Demon Slayer;r36;;File:t8-p2-jun-f+2.mp4
f+2,1+2;M, M;20, 20;i17~18, i29~32;-9;+32a (+17);;"* Heat Engager

* Heat Dash +5, +42a (+27)

* Balcony Break
* Jail from 1st attack
* Chip damage (8) on block
* Deals 18 damage to self (12 recoverable)
* Available only on hit or block";he bbr chp;;Jun-f+2,1+2;Ame-no-Habakiri;r30;;File:t8-p2-jun-f+2,1+2.mp4
f+3;m;13;i16;-9;+7;;"* Enter SS -16 +14g r21 with u_d
* r21 when attacking after SS
* r35 when blocking after SS";;SS;Jun-f+3;;r28;;
f+3,2;m, h;13, 17;i16, i20~21;+6;+11;+20c;"* Homing
* Combo from 1st hit with 5f delay
* Restores 2 health on hit";hom;IZU;Jun-f+3,2;Kanbashira > Izumo Strike;r39 IZU;;File:t8-p2-jun-f+3,2.mp4
