Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Kazuya-2+3;kazuya
H.2+3;L,m,th;9,14 (20),17 (34);i18, i27;-14;+0d;;"* Heat Smash
* Balcony Break
* 8 chip damage";hs bbr;;Omega Crash;r35;;;Kazuya-H.2+3;kazuya
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Demonic Catastrophe;r39;;;Kazuya-R.df+1+2;kazuya
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-kazuya-1,1,2.mp4;Kazuya-1;kazuya
1,1;h, h;5, 6;i10, i15;-1;+6;;* Jail from 1st attack with 3f delay;;;;r34;;File:t8-p2-kazuya-1,1,2.mp4;Kazuya-1,1;kazuya
1,1,2;h, h, m;5, 6, 14;i10, ,i13;-17;+20a (+15);;"* Balcony Break (airborne)
* Combo from 1st hit
* Combo form 2nd hit with 11f delay
* Move can be delayed 11f";;;Flash Punch Combo;r36;;File:t8-p2-kazuya-1,1,2.mp4;Kazuya-1,1,2;kazuya
DVK.1,1,2,D;h, h, m, t;5, 6, 14, 8;i10, ,i30?,i5?,i5?,i5?;;+0d;;"* Consumes 120F? of remaining Heat time
* Opponent recovers FUFT
* Available only on 3rd standing/crouching hit";;;Devil Inferno;;;File:t8-p2-kazuya-1,1,2,dvk.d.mp4;Kazuya-1,1,2,DVK.D;kazuya
DVK.1,1,2,F;h, h, m, t;5, 6, 14, 8;i10, ,i30?,i5?,i5?,i5?;;+5d BT;;"* Consumes 120F? of remaining Heat time
* Opponent recovers FDFT
* Available only on 3rd standing/crouching hit";;BT;Devil Break;r10? BT;;File:t8-p2-kazuya-1,1,2,dvk.f.mp4;Kazuya-1,1,2,DVK.F;kazuya
1,2;h, h;5, 8;i10, i10;-3;+8;;"* Jail from 1st attack with 4f delay
* Move can be delayed 4f";;;One Two Strike;r32;;File:t8-p2-kazuya-1,2.mp4;Kazuya-1,2;kazuya
1,2,2;h, h, h;5, 8, 12;i10, ,i17;-12;+4;;"* Combo from 1st hit
* Combo from 2nd hit with 2f delay
* Input can be delayed 2f
* Move cannot be delayed";;;Back Fist Combo;r31;;File:t8-p2-kazuya-1,2,2.mp4;Kazuya-1,2,2;kazuya
1,2,2~3;h, h, m;5, 8, 23;i10, ,i23;-9;+6;;Interrupt with i21 from 2nd block;;;Twin Fang Shattered Spine;r31;;File:t8-p2-kazuya-1,2,2t3.mp4;Kazuya-1,2,2~3;kazuya
1,2,4;h, h, L;5, 8, 18;i10, ,i23~24;-14c;-3;+0c;"* Combo from 2nd CH with 7f delay
* Move can be delayed 7f";;;Twin Fang Stature Smash;r32;;File:t8-p2-kazuya-1,2,4,3.mp4;Kazuya-1,2,4;kazuya
1,2,4,3;h, h, L, m;5, 8, 18, 25;i10, ,i32;-2;+24a (+15);+69a;"* Balcony Break
* Combo from 3rd CH
* Move can be delayed 11f";bbr;;Twin Fang Double Kick;r21;;File:t8-p2-kazuya-1,2,4,3.mp4;Kazuya-1,2,4,3;kazuya
2;h;12;i12;-3;+8;;;;;Right Jab;r22;;File:t8-p2-kazuya-2,2.mp4;Kazuya-2;kazuya
2,2;h, m;12, 24;i12, i24~25;-8;+7;+50a;"* Balcony Break (airborne)
* Combo from 1st CH";;;Double Back Fist;r29;;File:t8-p2-kazuya-2,2.mp4;Kazuya-2,2;kazuya
3;h;12;i14;-8;+4;;;;;Face Kick;r26;;File:t8-p2-kazuya-3,1,4.mp4;Kazuya-3;kazuya
3,1;h, h;12, 10;i14, i19;-1;+7;;"* Combo from 1st hit
* Transition to CD r25 with df (+2 +10)
** r24 forward dash with df,n,f,n,f
** Cannot buffer attack inputs or sidewalks during forward dash transition";;CD;Face Kick to Jab;r20;;File:t8-p2-kazuya-3,1,4.mp4;Kazuya-3,1;kazuya
3,1,4;h, h, m;12, 10, 17;i14, ,i21~22;-6;+8;+40d (+32);"* Knee
* Combo from 2nd CH with 6f delay
* Move can be delayed 14f";kne;;Agony Spear;r23;;File:t8-p2-kazuya-3,1,4.mp4;Kazuya-3,1,4;kazuya
4;h;18;i12;-9;+2;+27d;Balcony Break (CH);;;Roundhouse;r28;;File:t8-p2-kazuya-4.mp4;Kazuya-4;kazuya
4~3;m,M;18,17;i31~33 i2~4;-11a;-1a;;"* Floor Break
* +21a on hit if the 1st hit whiffs
* Low crush 10~37
* Floating state 38~40";fbr js10~37 fs38~40;FUFT;Demon Scissors;r28 FUFT;;File:t8-p2-kazuya-4t3.mp4;Kazuya-4~3;kazuya
1+2;m,m;5,20;i12 i15;-13;+13a;;Balcony Break;bbr;;Acute Pain;r32;;File:t8-p2-kazuya-1+2.mp4;Kazuya-1+2;kazuya
f+2;m;23;i20;-12;+13a(+4);;"* Tornado
* Balcony Break
* Reversal break and -8 on block if an attack is absorbed
* 9 chip damage on block after absorbing an attack in power crush state
* Power crush 7~19";trn bbr pc7~19;;Soul Thrust;;;File:t8-p2-kazuya-f+2.mp4;Kazuya-f+2;kazuya
f+3;m;22;i17;-13;+5;+54a(+23);Balcony Break on air hit;;;Oni Front Kick;;;File:t8-p2-kazuya-f+3.mp4;Kazuya-f+3;kazuya
f+4;m;20;i19~20;+4c;+7c;+31d;Spike;spk;;Right Splits Kick;;;File:t8-p2-kazuya-f+4.mp4;Kazuya-f+4;kazuya
f+1+2;m;20;i25;-9;+11a(+2);;"* Balcony Break
* Parries high and mid punches
* 25 damage, +38d (+17) on successful parry
* Parry state 3?~10?";bbr ps3?~10?;;Glorious Demon God Fist;;;File:t8-p2-kazuya-f+1+2.mp4;Kazuya-f+1+2;kazuya
df+1;m;11;i15~16;-7;+9;;;;;Entrails Smash;26;;File:t8-p2-kazuya-df+1,2.mp4;Kazuya-df+1;kazuya
df+1,2;m, h;11, 20;i15~16, i15;+0c;+9g;;"* Heat Engager

* Heat Dash +67a (+50a) on hit, +5 on block

* 6 chip damage on block
* Combo from 1st hit with 5F delay
* Move cannot be delayed
* Input can be delayed by 5F";he;;Slaughter Hook;;;File:t8-p2-kazuya-df+1,2.mp4;Kazuya-df+1,2;kazuya
df+1,4;m, h;11, 20;i15~16, i16;-11;+42a;;"* Balcony Break
* Combo from 1st hit with 5F delay
* Move cannot be delayed
* Input can be delayed by 5F";bbr;;Slaughter High Kick;;;File:t8-p2-kazuya-df+1,4.mp4;Kazuya-df+1,4;kazuya
df+1,df+2;m, m;11, 22;i15~16, i22;-8;+18c;+32a(+22);"* Tornado
* Balcony Break
* Combo from 1st hit with 5F delay
* Move can be delayed by 2F
* Input can be delayed by 5F";trn bbr;;Slaughter Uppercut;;;File:t8-p2-kazuya-df+1,df+2.mp4;Kazuya-df+1,df+2;kazuya
df+2;m;22;i14;-12;+5;+59a;"* Homing
* Balcony Break on air hit
* Crumple stun +13F after CH";hom;;Abolishing Fist;32;;File:t8-p2-kazuya-df+2.mp4;Kazuya-df+2;kazuya
df+3;m;13;i18;-7;+9;;Knee;kne;;Impaling Knee;;;File:t8-p2-kazuya-df+3,2,1.mp4;Kazuya-df+3;kazuya
df+3,1;m, h;13, 17;i18, ;-7;+15g;+13c;"* Elbow
* Combo from 1st hit with 8F delay";elb;;Impaling Knee Elbow Slash;;;;Kazuya-df+3,1;kazuya
df+3,2;m, m;13, 15;i18, ;-11;+5;;* Combo from 1st hit with 10F delay;;;;;;File:t8-p2-kazuya-df+3,2,1.mp4;Kazuya-df+3,2;kazuya
