Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
Power crush 7~16";hb pc7~16;;King-2+3;Heat Burst;r30;;
H.2+3;m,t;20,40;i17,i21~22;+12 JGR;+0d;;"* Heat Smash
* Floor Break
* Shifts to JGR on block (without heat).
* Hold b to cancel shift, becomes +7 on block.
* Hits OTG
* 5 chip damage";hs fbr;;King-H.2+3;Ultimo Jaguar;r35?;;
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
Power crush 8~";rbr pc8~;;King-R.df+1+2;Anger Of The Beast;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;King-1;Jab;r19;;
1,2;h, h;5, 15;i10, i10~12;-3;+8;;"* Combo from 1st hit with 6F delay
* Jail from 1st block with 5F delay";;;King-1,2;Palm Strike;r21;;File:t8-p2-king-1,2.mp4
1,2,1;h, h, m;5, 15, 10;i10, ,i24~25;-4;+5s;+10s;"* Forces standing on hit.
* Move can be delayed by 9F
* Starter of 10 Strings, 3rd~5th hits are combo.";;;King-1,2,1;Palm Strike Uppercut;r19;;File:t8-p2-king-1,2,1.mp4
1,2,1,2+4;h, h, m, t;5, 15, 10, 40;i10, ,i26~28;;+0d;;* Throw break 2.;;;King-1,2,1,2+4;Palm Strike Uppercut > Suplex;r26;;File:t8-p2-king-1,2,1,2+4.mp4
1,2,1,d+2+4;h, h, m, t(c);5, 15, 10, 35;i10, ,i28~30;;+1d;;"* Floor Break
* Crouch throw, cannot throw break.
* Opponent recovers in FDFA.";fbr;;King-1,2,1,d+2+4;Palm Strike Uppercut > V Driver;r25;;File:t8-p2-king-1,2,1,d+2+4.mp4
1,2,2+4;h, h, t;5, 15, 30;i10, ,i30;;+1d;;* Throw break 2.;;;King-1,2,2+4;Palm Strike > Head Jammer;;;File:t8-p2-king-1,2,2+4.mp4
1,2,d+2+4;h, h, t(c);5, 15, 35;i10, ,i27;;+1d;;"* Floor Break
* Crouch throw, cannot throw break.
* Opponent recovers in FDFA.";fbr;;King-1,2,d+2+4;Palm Strike > V Driver;;;File:t8-p2-king-1,2,d+2+4.mp4
2;h;10;i10;+1;+7;;;;;King-2;Right Jab;r18;;
2,1;h, m;10, 15;i10, i23~24;-3;+8;;"* Forces standing on hit.
* Combo from 1st hit.";;;King-2,1;Right Jab > Uppercut;r21;;File:t8-p2-king-2,1.mp4
3;h;17;i15~16;-9;+2;;;;;King-3;Left Kick;r27;;
