Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Kuma-2+3;kuma
H.df+2+3;sm;20;i15~16;0;+39 (+29);;"* Uses 180F of remaining heat time
* H.f,n,d,df+2 to power up (23dmg)
* High crush 6~12";cs6~12;;Wind Bear Fist;r24;;;Kuma-H.df+2+3;kuma
H.df+2+3*;sm;26;i25~26;+5;+45 (+35);;"* Reversal Break
* Uses 180F of remaining heat time
* 10 chip damage on block
* H.f,n,d,df+2* to power up (30dmg; 12 chip damage on block)
* High crush 6~22";rbr cs6~22;;Fresh Wind Bear Fist;r24;;;Kuma-H.df+2+3*;kuma
H.2+3;M,M;51;i13~15, i45;0;+33a (+23);;"* Heat Smash
* Balcony Break
* 10 chip damage
* Transition to attack throw on 1st hit
* +20a (+10) 45dmg on 2nd hit if 1st hit misses";hs bbr;;Salmon Fishing Cast;r35?;;;Kuma-H.2+3;kuma
R.df+1+2;M,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Type 38 Eradication Weapon: Aramaki;r39;;;Kuma-R.df+1+2;kuma
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-kuma-1,1,1.mp4;Kuma-1;kuma
1,1;h, m;5, 8;i10, i22~23;-15;-4c;;"* Combo from 1st hit CH with 2F delay
* Move can be delayed by 3F";;;;;;File:t8-p2-kuma-1,1,1.mp4;Kuma-1,1;kuma
1,1,1;h, m, m;5, 8, 14;i10, ,i22~23;-16;+69a (+23);;"* Tornado
* Combo from 2nd hit
* Combo from 1st CH";trn;;G-Clef Cannon;;;File:t8-p2-kuma-1,1,1.mp4;Kuma-1,1,1;kuma
1,2;h, h;5, 25;i10, i22~24;-5;+11 (+2);;"* Balcony Break
* Jail from 1st hit
* Combo from 1st CH with 3F delay
* 10 chip damage on block";bbr;;Angry Lumberjack;;;File:t8-p2-kuma-1,2.mp4;Kuma-1,2;kuma
1+3+4;sp;;;;;;;;;You're Welcome;;;File:t8-p2-kuma-1+3+4.mp4;Kuma-1+3+4;kuma
2;h;10;i10;-1;+6;;;;;;;;File:t8-p2-kuma-2,1,2.mp4;Kuma-2;kuma
2,1;h, m;10, 11;i10, i16;-3;+2;;"* Combo from 1st hit with 2F delay
* +2c on crouching hit
* Panda: Reduced vertical hitbox (does not hit as high)";;;;;;File:t8-p2-kuma-2,1,2.mp4;Kuma-2,1;kuma
2,1,2;h, m, m;10, 11, 22;i10, ,i33~34;-14;+31a (+21);;;;FC;Bear Combo Middle;FC;;File:t8-p2-kuma-2,1,2.mp4;Kuma-2,1,2;kuma
2,1,3;h, m, l;10, 11, 13;i10, ,i18;-13;-2;;* Combo from 2nd CH;;;Bear Combo Low;;;File:t8-p2-kuma-2,1,3.mp4;Kuma-2,1,3;kuma
3;h;25;i18;-5;+21a (+11);;* Balcony Break;bbr;;;;;;Kuma-3;kuma
4;h;20;i14;-6;+5;+30a;* Balcony Break on CH;;;;;;;Kuma-4;kuma
1+2;m;25;i13~14;-13;+18g;;"* Balcony Break
* Heat Engager

* Heat Dash +5, +43d (+35)

* Forces crouch on hit";bbr he;;Demon Bear Breath;r31;;File:t8-p2-kuma-1+2.mp4;Kuma-1+2;kuma
3+4;sp;;;;;;"* Alternate input: FDFA.3+4
* Can low parry in HBS with F
* Transition to HBS
* Transition to r10 FC with input ub_u_uf
* Transition to r15 FC with DB
* Remains in stance indefinitely
* Can move in stance with F or B";;HBS,FC,FC,HBS;Hunting;r15 HBS;;;Kuma-3+4;kuma
3+4;sp;;;;;;"* Alternate input: FDFA.3+4
* Transition to HBS
* High crush 4~";cs4~;HBS,HBS;Hunting;r15 HBS;;;Kuma-3+4;kuma
f+2;h;11;i12;-13;+3;;;;;;r32;;File:t8-p2-kuma-f+2,1.mp4;Kuma-f+2;kuma
f+2,1;h, h;11, 20;i12, i20;-5;+36a (+10);;"* Balcony Break
* Combo from 1st hit with 9F delay
* Move can be delayed by 13F";bbr;;Wild Lumberjack;r30;;File:t8-p2-kuma-f+2,1.mp4;Kuma-f+2,1;kuma
f+3;h;30;i20;-5;+21a (+11);;* Balcony Break;bbr;;;r29;;;Kuma-f+3;kuma
f+4;h;22;i15;-6;+5;+30a;* Balcony Break on CH;;;;r25;;;Kuma-f+4;kuma
f+1+2;m;16;i18;-15;+18a;;Pseudo-homing?;;;;r38;;File:t8-p2-kuma-f+1+2,1+2.mp4;Kuma-f+1+2;kuma
f+1+2,1+2;m, M;16, 20;i18, i30~31;-14;+65a (+49);;"* Tornado
* Combo from 1st hit with 2F delay
* Interrupt with i8 from 1st block
* Grounded hit on off-axis hit against large body size characters?";trn;;Bear Claw Cross;r37;;File:t8-p2-kuma-f+1+2,1+2.mp4;Kuma-f+1+2,1+2;kuma
f+3+4;L;20;i28~30;-23;+6a;;"* Unparryable (bug?)
* High crush 6~70";cs6~70;FC;Shape-Up Kick;r40 FC;;File:t8-p2-kuma-f+3+4.mp4;Kuma-f+3+4;kuma
f+3+4,1+2;L, M;20, 30 (24);i28~30, i50~i60;-16;-13a;;"* Hip
* Interrupt with i31 from 1st block
* 24 damage from 1st hit with grounded scaling
* High crush 0~75";hip cs0~75;;Shape-Up Hip;r43;;File:t8-p2-kuma-f+3+4,1+2.mp4;Kuma-f+3+4,1+2;kuma
df+1;m;6;i15~16;-6;+2;;;;;;;;File:t8-p2-kuma-df+1,2,1+2.mp4;Kuma-df+1;kuma
df+1,2;m, m;6, 9;i15~16, i22~23;-11;-2;;* Combo from 1st CH;;;;;;File:t8-p2-kuma-df+1,2,1+2.mp4;Kuma-df+1,2;kuma
df+1,2,1+2;m, m, M;6, 9, 20;i15~16, ,i25~26;-14c;+17d;;"* Combo from 2nd hit with 9F delay
* Combo from 1st CH
* Move can be delayed by 8F
* Input can be delayed by 10F";;;Grizzly Rampage;;;File:t8-p2-kuma-df+1,2,1+2.mp4;Kuma-df+1,2,1+2;kuma
df+2;m;10;i15~16;-9;+2;;;;;;;;File:t8-p2-kuma-df+2,1.mp4;Kuma-df+2;kuma
df+2,1;m, m;10, 12;i15~16, i20~21;-16;+35a (+25);;"* Combo from 1st hit with 4F delay
* Input can be delayed by 4F
* Move cannot be delayed";;;Kuma Musou;;;File:t8-p2-kuma-df+2,1.mp4;Kuma-df+2,1;kuma
df+3;m;13;i16;-9;+2;;* +2c on crouching hit;;;;;;File:t8-p2-kuma-df+3,2.mp4;Kuma-df+3;kuma
df+3,2;m, h;13, 24;i16, i27~28;-5;+22a;;"* Balcony Break on airborne hit
* Combo from 1st hit
* 9 chip damage on block";;;Honey Trap;;;File:t8-p2-kuma-df+3,2.mp4;Kuma-df+3,2;kuma
df+4;m;15;i12;-4;+7;;;;;;;;;Kuma-df+4;kuma
d+1;sl;5;i10;-5;+6;;"* Transition to r24 with f
* +6c on crouching hit
* High crush 4~";cs4~;FC;Crouch Jab;r24 FC;;;Kuma-d+1;kuma
d+2;sl;8;i11;-4;+7;;"* +7c on crouching hit
* High crush 4~";cs4~;FC;Crouch Straight;r23 FC;;;Kuma-d+2;kuma
d+3;L;12;i20;-17;-6;;"* -6c on crouching hit
* High crush 4~";cs4~;FC;Crouch Spin Kick;r36 FC;;;Kuma-d+3;kuma
d+4;l;10;i16;-15;-4;;"* -4c on crouching hit
* High crush 4~";cs4~;FC;Crouch Shin Kick;r34 FC;;;Kuma-d+4;kuma
d+1+2;M;23;i14~15;-15;+13d (+3);;"* Balcony Break
* Hip
* 27 damage on clean hit";bbr hip;;Hip Smash;;;File:t8-p2-kuma-d+1+2.mp4;Kuma-d+1+2;kuma
d+3+4;sp;;;;;;"* Transition to SIT
* Transition to ROL with input f";;SIT,ROL,SIT;Bear Sit;SIT;;;Kuma-d+3+4;kuma
d+3+4;sp;;;;;;"* Alternative input: db+3+4
* Transition to ROL with input SIT.F
* Transition to California Roll with input SIT.B
* Low crush 6~12
* Floating state 13~15
* High crush 16~67";js6~12 fs13~15 cs16~67;ROL,California Roll,SIT;Bear Sit;r15 SIT;;;Kuma-d+3+4;kuma
db+1;h;11;i14~15;-10;+4;+9;;;;;;;File:t8-p2-kuma-db+1,2ss.mp4;Kuma-db+1;kuma
db+1,2;h, M;11, 20;i14~15, i22~23;-13;+4;+13c;"* Spike
* Combo from 1st hit
* Hold 2 to power up, up to 2 charge levels
* Transition to HBS with input D or 3+4";spk;HBS;Double Wild Slap;;;;Kuma-db+1,2;kuma
db+1,2*;h, M;11, 20;i14~15, i33~34;-12;+13c;+42a;"* Spike
* 8 chip damage on block
* Heat skips to db+1,2** charge with i34~35 startup
* Transition to HBS with D or 3+4";spk;HBS;Double Wild Slap;;;;Kuma-db+1,2*;kuma
db+1,2**;h, M;11, 30;i14~15, i47~48;+3;+42a;;"* Spike
* Reversal Break
* 12 chip damage on block
* Startup shortened during Heat: i34~35 startup (partially consumes Heat time)
* Transition to HBS with D or 3+4";spk rbr;HBS;Fresh Wild Slap;;;File:t8-p2-kuma-db+1,2ss.mp4;Kuma-db+1,2**;kuma
db+2;L;10;i18;-15;-1;;"* Transition to HBS with D or 3+4 (-17/-3)
* High crush 6~51";cs6~51;HBS,FC;Bear Lariat;FC;;File:t8-p2-kuma-db+2.mp4;Kuma-db+2;kuma
db+3;l;12;i18;-12;+1;;;;;Bear Pump in Pedal;;;File:t8-p2-kuma-db+3.mp4;Kuma-db+3;kuma
db+4;l;20;i21~22;-23;+6;+74a (+38);"* Tornado
* Panda: Very slight decrease in vertical hitbox height (does not hit as high)
* High crush 6~51";trn cs6~51;FC;Spinning Kuma;FC;;File:t8-p2-kuma-db+4.mp4;Kuma-db+4;kuma
H.db+4,1;l, m;20, 14;i21~22, i28~31;;+10a (+3);;"* On hit only
* Combos from 1st hit
* Partially consumes remaining Heat time
* Low crush";js;;Spinning Kuma Uppercut;;;File:t8-p2-kuma-db+4,h.1.mp4;Kuma-db+4,H.1;kuma
db+1+2;m,m;4,4;i14~15;-9;+2~3;;;;;;;;File:t8-p2-kuma-db+1+2,1+2,2.mp4;Kuma-db+1+2;kuma
db+1+2,1+2;m,m, m,m;4,4, 4,4;i14~15, i15~16;-11;0;;;;;;;;File:t8-p2-kuma-db+1+2,1+2,2.mp4;Kuma-db+1+2,1+2;kuma
db+1+2,1+2,2;m,m, m,m, m;4,4, 4,4, 18;i14~15, ,i20~21;-15;+22a (+12);;;;;Drum Roll;;;File:t8-p2-kuma-db+1+2,1+2,2.mp4;Kuma-db+1+2,1+2,2;kuma
db+2+3;L;30;i32~34;-12;+39a;;"* Balcony Break on airborne hit
* Hold 2+3 to power up, up to 2 charge levels and deal chip damage on block";;;Salmon Hunter;;;;Kuma-db+2+3;kuma
db+2+3*;L;40;i45~47;-12;+39a;;"* Balcony Break on airborne hit
* 12 chip damage on block";;;Salmon Hunter;;;;Kuma-db+2+3*;kuma
db+2+3**;L;60;i60~62;-4;+43a;;"* Balcony Break on airborne hit
* 18 chip damage on block";;;Fresh Salmon Hunter;;;File:t8-p2-kuma-db+2+3ss.mp4;Kuma-db+2+3**;kuma
b+1;M;24;i22~23;-13;+13a;;"* Balcony Break
* Transition to -13 HBS with input D or 3+4
* 9 chip damage on block
* 12 chip damage on block after absorbing an attack in power crush state
* -3 on block after absorbing an attack in power crush state
* Power crush 7~21";bbr pc7~21;HBS;Bear Slash;;;File:t8-p2-kuma-b+1.mp4;Kuma-b+1;kuma
b+2;m;12;i15;-9;+2;;;;;;r28;;File:t8-p2-kuma-b+2,1,1+2.mp4;Kuma-b+2;kuma
b+2,1;m, h;12, 14;i15, i23;-3;+8;;"* Transition to HBS with input D or 3+4 (-4/+7)
* Transition to ROL with input F (-14/-3)
** Adds i28~31 SM projectile 5dmg attack during Heat (Consumes 120F of remaining Heat time)
*** +14~+17 or -6~-3 HBS or +1~+4 FC on block 
*** +20~+23 or +0~+3 HBS or +7~+10 FC on hit";;HBS,ROL;;r22;;File:t8-p2-kuma-b+2,1,1+2.mp4;Kuma-b+2,1;kuma
b+2,1,1+2;m, h, m;12, 14, 20;i15, ,i26;-11;+15a (+6);;"* Balcony Break
* Combo from 2nd CH with 4F delay
* Move can be delayed by 10F
* Panda: Shorter vertical hitbox (does not hit as high)";bbr;;Howling Bear;r30;;File:t8-p2-kuma-b+2,1,1+2.mp4;Kuma-b+2,1,1+2;kuma
b+2,2;m, m;12, 15;i15, i25;-10;+6;;"* Combo from 1st CH with 5F delay
* Move can be delayed by 13F";;;;r30;;File:t8-p2-kuma-b+2,2,1.mp4;Kuma-b+2,2;kuma
b+2,2,1;m, m, m;12, 15, 25;i15, ,i35~39;-15;+25a (+15);;"* Tornado
* Combo from 2nd CH with 1F delay
* Move can be delayed by 15F
* Low crush 38~58
* Floating state 59~61";trn js38~58 fs59~61;;Salmon Massacre;r35;;File:t8-p2-kuma-b+2,2,1.mp4;Kuma-b+2,2,1;kuma
b+1+2;h,m;10,20;i18~19 i12~13;-8;+13d;;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Homing
* 12 chip damage
* Transition to HBS r36 with input D or 3+4 (does not shift when using Heat Dash)";he bbr hom;HBS;Bear X;r36;;File:t8-p2-kuma-b+1+2.mp4;Kuma-b+1+2;kuma
b+1+4;m!;25;i60~62;;+16a/+21a HBS;;* Transition to HBS with input D or 3+4;;HBS;Deadly Claw;;;File:t8-p2-kuma-b+1+4.mp4;Kuma-b+1+4;kuma
b+1+4,f,f;SM;40;i55~i130;-20~+55;+42a~+117a;;"* Projectile
* Hold F to extend attack
* Recovers in FUFT on hit or block
* If attack is extended to where you roll past the opponent, recovers in FUFA
* Floating state 55~147?";fs55~147?;;Rolling Bear;;;File:t8-p2-kuma-b+1,f,f.mp4;Kuma-b+1+4,f,f;kuma
b+3+4;m;20;i22~23;-28;+61a;;"* Alternate input: ws3+4
* Tornado";trn;;High Jinks;;;File:t8-p2-kuma-b+3+4.mp4;Kuma-b+3+4;kuma
ub+1+2;l;25;i31~32;-17;+12a;;"* Cancel to r22 HBS with D or 3+4 at frame 21
* Low crush 6~27
* Floating state 28~30";js6~27 fs28~30;HBS;Bear Skip;;;File:t8-p2-kuma-ub+1+2.mp4;Kuma-ub+1+2;kuma
u+1+2;m;24;i18~23;-8f;+6;+8a;"* Transition to HBS with D or 3+4 (-7/+7/+9a)
* Low crush 17~33
* Floating state 34~36";js17~33 fs34~36;HBS;Big Bear Attack;;;File:t8-p2-kuma-u+1+2.mp4;Kuma-u+1+2;kuma
u+3+4;m;21;i34~39;+10;+20;;"* Transition to SIT (cannot cancel)
* Low crush 8~36
* Floating state 37~39
* High crush 51~";js8~36 fs37~39 cs51~;SIT,SIT;Pancake Press;r11? SIT;;File:t8-p2-kuma-u+3+4.mp4;Kuma-u+3+4;kuma
uf+1;m;20;i26~28;-6;+22a;;"* Alternate input: ub+1 or u+1
* 8 chip damage on block
* Low crush 9~30
* Low crush 31~33";js9~30 js31~33;FC;Hornet Sweep;r29 FC;;File:t8-p2-kuma-uf+1.mp4;Kuma-uf+1;kuma
uf+2;m;20;i28~30;-6;+30a;+65a (+45);"* Balcony Break
* Homing
* Strong Aerial Tailspin
* Alternate input: ub+2 or u+2";bbr hom;;Ultra Kuma;r32;;File:t8-p2-kuma-uf+2.mp4;Kuma-uf+2;kuma
uf+3;m;13;i16~17;-13;+30a (+20);;"* Panda: Very slightly increased vertical hitbox height (hits higher)
* Low crush 9~32
* Floating state 33~35";js9~32 fs33~35;;;;;File:t8-p2-kuma-uf+3,4,1+2.mp4;Kuma-uf+3;kuma
