Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Lars-2+3;lars
H.DEN.3+4;L,SM;11,10;i22~23, i9;-14;+21d;;"* 2 chip damage on block
* 2nd hit only occurs on 1st hit
* Recovers ?F faster on hit
* Transition to r19 SEN with input F (-7/+34d)
* Consumes 300F of remaining heat time";;SEN;Stack Up Insurgence;r25;;;Lars-H.DEN.3+4;lars
H.LEN.1;L,t;20,15;i16~17;-12c;+5d;;"* Consumes 300F of remaining Heat time
* 6 chip damage on block
* Side switch on hit throw
* Opponent is left FUFA
* High crush 1~50";cs1~50;FC;Blue Jet;FC;;File:t8-p2-lars-h.len.1.mp4;Lars-H.LEN.1;lars
H.LEN.2;m;20;i16~17;-9;+65a (+49);;"* Tornado
* Elbow
* Consumes 240F of remaining Heat time
* 9 chip damage on block
* High crush 1~15
* Low crush 16~34";trn elb cs1~15 js16~34;;Rising Force (Heat);;;;Lars-H.LEN.2;lars
H.SS.2;m,SM;20,10;i16~17, i8;+6c;+27d;;"* 6 chip damage on block
* Consumes 270F of remaining heat time";;;Shockwave Insurgence;r27;;;Lars-H.SS.2;lars
H.f+3+4;sm;5;i18~24;+5;+10;;"* Transition to SEN
* Uses 300F of remaining heat time
* Only deals recoverable damage";;SEN,SEN;Rebellion;r16 SEN;;;Lars-H.f+3+4;lars
H.2+3;m,M;55;i18~19, i38~41;+12c;+0 / +81a;;"* Heat Smash
* Spike
* Transition to 30dmg attack throw on 1st hit (+0)
* +81a 25dmg 2nd hit on 1st block or whiff
* Transition to r30 DEN on block or whiff (+12c/+81a)
* Transition to r37 standing on block (+10c/+79a) or whiff with input B
* 7 chip damage on block";hs spk;DEN,DEN;Thunderbird Descent;r30 DEN;;;Lars-H.2+3;lars
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Zeus Unlimited;r39;;;Lars-df+1+2;lars
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-lars-1,1,1.mp4;Lars-1;lars
1,1;h, m;5, 8;i10, i18~19;-8;+0;;"* Combo from 1st CH with 3f delay
* Jail from 1st block";;;;r29;;File:t8-p2-lars-1,1,1.mp4;Lars-1,1;lars
1,1,1;h, m, m;5, 8, 20;i10, ,i25~26;-12;+17a;;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Spike
* Combo from 2nd hit with 4f delay
* Combo from 1st CH with 4f delay
* Move can be delayed 4f";he bbr spk;;Delta Slicer;r32;;File:t8-p2-lars-1,1,1.mp4;Lars-1,1,1;lars
