Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Law-2+3;law
H.1+2;;;;-8~-7;+30a;+66a (+50);"* Tornado
* Weapon
* Consumes 240F remaining Heat Time on block or whiff
* Alternate input DSS.1+2";trn wpn;;;;;;Law-H.1+2;law
H.uf+2;h;21;i19~20;+4;+21d;;"* Weapon
* Strong Aerial Tailspin
* Balcony Break
* Consumes 120F of remaining Heat Time
* 4 chip damage";wpn bbr;;Gale Claw;;;;Law-H.uf+2;law
H.2+3;m,t;24,4,5,5,5,7 (50);i14;+11g;+5;;"* Heat Smash
* Balcony Break
* Transitions to DSS on block
* 8 chip damage on block";hs bbr;;Heavenly Dragon;;;;Law-H.2+3;law
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Fate of the Dragon;r39;;;Law-R.df+1+2;law
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-law-1,1,1.mp4;Law-1;law
1,1;h, h;5, 5;i10, i18;-8;-6;+6;* CH frames also apply to combo from 1st CH;;;;r24;;File:t8-p2-law-1,1,1.mp4;Law-1,1;law
1,1,1;h, h, m;5, 5, 20;i10, ,i20;-12;+15c;;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Combos from 1st or 2nd hit CH
* Balcony Break
* Forces tech backroll on hit";he bbr;;Furious Rush;;;File:t8-p2-law-1,1,1.mp4;Law-1,1,1;law
1,1,2;h, h, h;5, 5, 12;i10, ,i17;-6;+6;;"* Transition to DSS with F
** (-6 oB, +6 oH)";;DSS;Knuckle Barrage Combo;r24;;File:t8-p2-law-1,1,2.mp4;Law-1,1,2;law
1,2;h, h;5, 8;i10, i12;-3;+6;+6;"* Jails from 1st attack
* Combos from 1st hit";;;Left Right Combo;;;File:t8-p2-law-1,2.mp4;Law-1,2;law
