Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Lee-2+3;lee
H.df+3+4;m;35;i16~17;+2;+26a;+26a;"* Balcony Break
* 7 chip damage on block
* Consumes 300F of remaining Heat Time
* Has good left sidestep tracking
* Transition to +2, +26a MS with F";bbr;MS;Crimson Howl;;;;Lee-H.df+3+4;lee
H.d+1+2;m;25;i18;+4;+21a (+11);;"* Balcony Break
* 6 chip damage on block
* Consumes 240F of remaining Heat Time
* Has good right sidestep tracking
* Transition to +6, +23a (+13) HMS with 3+4";bbr;HMS;Phantom Rose;;;File:t8-p2-lee-h.d+1+2.mp4;Lee-H.d+1+2;lee
H.2+3;l,t;40;i20;-14;+0d;;"* Heat Smash
* Balcony Break";hs bbr;;Paradigm Breaker;;;;Lee-H.2+3;lee
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;The Marvelous Rose;r39;;;Lee-R.df+1+2;lee
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-lee-1,2.mp4;Lee-1;lee
1,2;h, h;5, 9;i10, i12;-3;+7;;"* Transition to r30 -2 +8 MS with F 
* Jail from 1st attack with 4F delay
* Combo from 1st hit with 4F delay";;MS;Left Right Combo;;;File:t8-p2-lee-1,2.mp4;Lee-1,2;lee
1,2,2;h, h, m;5, 9, 14;i10, ,i20~21;-13;-2;;"* Move can be delayed 5F
* Input can be delayed 7F
* Combo from 2nd CH with 7F delay";;;;;;File:t8-p2-lee-1,2,2,3.mp4;Lee-1,2,2;lee
1,2,2,3;h, h, m, h;5, 9, 14, 23;i10, ,i21;-3;+17a (+8);;"* Balcony Break
* Combo from 3rd hit with 9F delay
* Transition to r25 -9, +11a (+2a) HMS with 4
* Move can be delayed 13F
* Input can be delayed 18F";bbr;HMS;Left Right Combo > Revolution Zwei;;;File:t8-p2-lee-1,2,2,3.mp4;Lee-1,2,2,3;lee
1,2,4;h, h, m;5, 9, 10;i10, ,i18;-12;-1;+58a;"* Jail from 1st attack
* Combo from 2nd hit
* Transition to -14 -2 HMS with 3
* Consumes 60F of remaining Heat time without perfect input";;HMS;Left Right Mid Kick;;;File:t8-p2-lee-1,2,4.mp4;Lee-1,2,4;lee
1,2:4;h, h, m;5, 9, 12;i10, ,i18;-12;+5;+58a;"* Jail from 1st attack
* Combo from 2nd hit with 1f delay
* Input 4 during frames 10-13 of 1,2
* Consumes 60F of remaining Heat time without perfect input
* Move cannot be delayed
* Transition to r44 -14 +3 HMS with 3";;HMS;Left Right Mid Kick;;;File:t8-p2-lee-1,2,4.mp4;Lee-1,2:4;lee
1,3;h, h;5, 5;i10, i16;-11;+0;;"* Combo from 1st hit with 4F delay
* Move can be delayed by 4F";;;;;;;Lee-1,3;lee
1,3:3;h, h, m;5, 5, 4;i10, ,i9;-11;+0;;"* Input 3 during frames 13-16 of previous hit
* Jail from 1st attack
* Combo from 1st hit";;;;;;;Lee-1,3:3;lee
1,3:3:3;h, h, m, h;5, 5, 4, 14;i10, ,i21;-17;+14;;"* Combo from 1st hit
* Input 3 during frames 8-9? of previous hit
* Timestop on hit
* Consumes 240F of remaining Heat time without perfect input
* 5 chip damage";;;[[Acid Rain]];;;File:t8-p2-lee-1,3c3c3.mp4;Lee-1,3:3:3;lee
