Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;12 (12);i16~17;+1~+2;+2c;;"* Heat Burst
Power crush";hb pc;;Leo-2+3;Heat Burst;;;
H.2+3;m,m,h;14,13,23 (50);i16~17;+8~+9;+5a;;"* Heat Smash
* Balcony Break
* Enter CD +16g with df on block
* 14 chip damage on block";hs bbr;CD;Leo-H.2+3;Ultimate Feng Huo Lun Kick;;;
R.df+1+2;m,t;55+;i20;-15;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
Power crush 8~";pc8~;;Leo-R.df+1+2;Transcendent Blow;r39;;
1;h;5;i10;+1;+8;;;;;Leo-1;Jab;;;
1,2;h, h;5, 10;i10, i12;-3;+8;;"* Jail from 1st attack
* Enter KNK -9 +2 with b";;KNK;Leo-1,2;He Zi Shou;;;File:t8-p2-leo-1,2.mp4
1,2,1;h, h, h;5, 10, 16;i10, ,i20~21;-5~-4;+6;+9;Combo from 2nd CH;;;Leo-1,2,1;;;;
1,2,1,1;h, h, h, m;5, 10, 16, 21;i10, ,i18;-13;+12a (+3);;"*
Balcony Break
* Combo from 3rd Hit";bbr;;Leo-1,2,1,1;Liang Yi Zhou;;;File:t8-p2-leo-1,2,1,1.mp4
1,2,1,4;h, h, h, h;5, 10, 16, 30;i10, ,i21~23;-6~-4;+32a (+6);;"*
Balcony Break
* Combo from 3rd Hit";bbr;;Leo-1,2,1,4;Wai Bai Tui;;;File:t8-p2-leo-1,2,1,4.mp4
1,2,4;h, h, L;5, 10, 15;i10, ,i24;-13;+3;+8d;Combo from 2nd CH;;;Leo-1,2,4;Ye Chui;;;File:t8-p2-leo-1,2,4.mp4
1,4;h, h;5, 17;i10, i16;-5;+11;;* Jail from 1st attack;;KNK;Leo-1,4;Lian Tan Jin Ji Du Li;KNK;;File:t8-p2-leo-1,4.mp4
2;h;9;i11;-1;+5;;;;;Leo-2;Right Jab;;;
2,1;h, h;9, 12;i11, i16~17;-7~-6;+4;;"* Jail from 1st block
* Combo from 1st hit";;;Leo-2,1;Xiang Long Shi Chong Tian Zhang;;;File:t8-p2-leo-2,1.mp4
2,2;h, m;9, 20;i11, i22;-12;+6;;Combo from 1st Hit;;;Leo-2,2;Xiang Long Shi Ling Zhou;;;File:t8-p2-leo-2,2.mp4
3;h;15;i14;-8;+4;;;;;Leo-3;;;;
3,2;h, h;15, 10;i14, i19;-2;+9;;"* Combo from 1st hit
* Enter BOK -6 +5 with d";;BOK;Leo-3,2;;;;
3,2,3;h, h, m;15, 10, 23;i14, ,i23~24;-7~-6;+13a (+4);;"*
Tornado
*
Balcony Break
* Combo from 2nd CH
* Cancel to -15 -4 with B";trn bbr;;Leo-3,2,3;Wu Dang Xuan Feng Jiao;;;File:t8-p2-leo-3,2,3.mp4
3,2,4;h, h, m;15, 10, 14;i14, ,i22~23;+9~+10;+15g;+19;* Combo from 2nd CH;;KNK;Leo-3,2,4;Wu Dang Jin Ji Du Li;KNK;;File:t8-p2-leo-3,2,4.mp4
4;h;17;i12;-7;+6;+31a;;;;Leo-4;;;;
1+2;m;25;i25;-12;+11a (+2);;"* Balcony Break
* Chip damage on block
Power crush 7~";bbr chp pc7~;;Leo-1+2;Dual Thunder Fists;;;File:t8-p2-leo-1+2.mp4
f+2;h;14;i14~16;0~+2;+6;;;;;Leo-f+2;;;;
f+2,2;h, m;14, 21;i14~16, i23~24;-12~-11;+8;+25d;Combo from 1st hit;;;Leo-f+2,2;Heng Da Er Lang Dan Shan;;;File:t8-p2-leo-f+2,2.mp4
f+2,4;h, h;14, 16;i14~16, i22~23;-1~0;+7;;"* Jail from 1st attack
* Enter CD -1 +7 with df";;CD;Leo-f+2,4;Heng Da Bai Tui;;;File:t8-p2-leo-f+2,4.mp4
LTG.f+2,4,3;h, h, M;14, 16, 20;i14~16, ,i32~35;+1c~+4c;+16d;;"* Balcony Break
* Spike
* Combo from 1st hit
* Enter BOK +4c +19d with d
* 8 chip damage on block
* 9 chip damage on block in heat
Low crush 16~";bbr spk js16~;BOK;Leo-f+2,4,LTG.3;Jue Zhao Heng Da Bai Tui;;;File:t8-p2-leo-f+2,4,ltg.3.mp4
f+3;h;23;i20~21;0~+1;+4;+27a;* Enter BOK +2 +6 +29a with d;;BOK;Leo-f+3;Bai Tui;;;File:t8-p2-leo-f+3.mp4
f+4;m;14;i17~18;+9~+10;+15g;+19;"* Stance moves may be delayed by 11F
* Enter CD -5 +1 +5 with df";;CD,KNK;Leo-f+4;Jin Ji Du Li;KNK;;
f+1+2;m;24;i17~18;-14~-13;+10a (+1);+56a;* Balcony Break;bbr;;Leo-f+1+2;Bei Zhe Kao;;;File:t8-p2-leo-f+1+2.mp4
