Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Leroy-2+3;leroy
H.b+1+2;;20;;-9;+35a (+27);;"* Balcony Break
* Consumes 210F of remaining Heat time
* Crumple stun +14F after CH";bbr;;Outcast Dark Deluge;;;;Leroy-H.b+1+2;leroy
H.2+3;m;50 (25);i15, i25, i4, i4, i4, i3, i5, i10~11;+6;+0 / +5;;"* Heat Smash
* Balcony Break
* Alternate input: H.HRM.2+3
* Also possible after Twin Dragon Gate is successful
* Transition to HRM on block
* Transition to attack throw on 1st hit
* 12 chip damage";hs bbr;HRM,HRM;Twin Dragon Thunderclap;r28 HRM;;;Leroy-H.2+3;leroy
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Dark Dragon Commandment;r39;;;Leroy-R.df+1+2;leroy
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-leroy-1,1,1+2,1.mp4;Leroy-1;leroy
1,1;h, m;5, 7;i10, i18~19;-9~-8;+2~+3;;"* Jail from 1st block with no delay
* Combo from 1st CH with 3F delay";;;;r25;;File:t8-p2-leroy-1,1,1+2,1.mp4;Leroy-1,1;leroy
1,1,1+2;h, m, h;5, 7, 12;i10, ,i19~20;-9~-8;-2~-1;;"* Power up during Heat (partially uses remaining Heat time)
* Combo from 2nd hit";;;;r30;;File:t8-p2-leroy-1,1,1+2,1.mp4;Leroy-1,1,1+2;leroy
1,1,1+2,1;h, m, h, m;5, 7, 12, 15;i10, ,i23~24;-16~-15;+20a(+15)~+21a(+17);;Combo from 3rd hit;;;Chain Punch: Sheath;r65;;File:t8-p2-leroy-1,1,1+2,1.mp4;Leroy-1,1,1+2,1;leroy
1,2;h, h;5, 9;i10, i12;-3;+7;;Jails;;;Front Palm;r23;;File:t8-p2-leroy-1,2.mp4;Leroy-1,2;leroy
1,2,1;h, h, h;5, 9, 17;i10, ,i27~28;-6~-5;+8~+9;;"* Strong Attack Reversal
* Follow-up after successful parry with input 1 or 2
* Delayable
* Combo from 2nd hit CH
* Parry state 10~24";ps10~24;;Front Palm Pulsing Fist;;;File:t8-p2-leroy-1,2,1.mp4;Leroy-1,2,1;leroy
1,2,3;h, h, h;5, 9, 21;i10, ,i23~24;-6~-5;+20a(+11)~+21a(+13);;"* Balcony Break
* Combo from 2nd hit CH
* Low crush";bbr js;;Front Palm Xuan Feng Jiao;;;File:t8-p2-leroy-1,2,3.mp4;Leroy-1,2,3;leroy
1,2,4;h, h, m;5, 9, 11;i10, ,i16;-9;+3;;"* Transition to HRM
* Combo from 1st hit
* Jail from 1st block";;HRM,HRM;Front Palm Snap Kick;HRM;;File:t8-p2-leroy-1,2,4.mp4;Leroy-1,2,4;leroy
1+3+4;sp;;;;;;"* Strong Attack Reversal
* Follow-up upon successful reversal with input 1 or 2 to Chain Punch: Branch
* Parry state 20~100";ps20~100;;Taunt;;;File:t8-p2-leroy-1+3+4.mp4;Leroy-1+3+4;leroy
