Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;12;i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b
* 3 chip damage on block
* Partially uses Heat
* Power crush 7~62";hb pc7~62;;Heat Burst;r30;;;Lidia-2+3;lidia
H.1+2;m;25;i31;+1;+37a (+29);;"* Reversal Break
* Balcony Break
* Cancel with b,b or f,f
* Transition to HAE on hit or block only
* Cancel HAE transition with B
* Partially uses remaining Heat time
* Hold for 20~30 frames";rbr bbr;HAE;Heian Shodan Seikenzuki > Heaven and Earth;r33;;File:t8-p2-lidia-h.1+2.mp4;Lidia-H.1+2;lidia
H.1+2*;m;35;i42~64;+6g;+37a (+29);;"* Reversal Break
* Balcony Break
* Cancel with b,b or f,f
* Transition to HAE on hit or block only
* Cancel HAE transition with B
* Partially uses remaining Heat time
* Hold for 31~54 frames";rbr bbr;HAE;Heian Shodan Seikenzuki (Slight Hold) > Heaven and Earth;r33;;;Lidia-H.1+2*;lidia
H.1+2**;m;55;i65;+10g;+63a;;"* Reversal Break
* Balcony Break
* Cancel with b,b or f,f
* Transition to HAE on hit or block only
* Cancel HAE transition with B
* Partially uses remaining Heat time
* Hold for 55 frames";rbr bbr;HAE;Heian Shodan Seikenzuki: Digress > Heaven and Earth;r35;;;Lidia-H.1+2**;lidia
H.CAT.U;;;;;;;"* Increases Heaven and Earth level
* Parries all highs or mids
* Transition to +12g? HAE on successful parry
* Parry state 5~39";ps5~39;HAE,HAE;Cat Stance > Heaven and Earth;r25 HAE;;File:t8-p2-lidia-h.cat.u.mp4;Lidia-H.CAT.U;lidia
H.HRS.U;;;;;;;"* Increases Heaven and Earth level
* Parries all highs or mids
* Transition to +12g? HAE on successful parry
* Parry state 5~39";ps5~39;HAE,HAE;Horse Stance > Heaven and Earth;r25 HAE;;File:t8-p2-lidia-h.hrs.u.mp4;Lidia-H.HRS.U;lidia
H.WLF.1;m;24;i22;+6g;+38a (+30);;"* Balcony Break
* Tornado
* Cancel with b,b or f,f on frames 10~18
* Transition to HAE on hit or block only
* Cancel HAE transition with B";bbr trn;HAE;Bassai-zuki > Heaven and Earth;r34;;File:t8-p2-lidia-h.wlf.1.mp4;Lidia-H.WLF.1;lidia
H.WLF.1*;m;34;i36;+10g;+66;;"* Tornado
* Cancel with b,b or f,f on frames 10~18
* Transition to HAE on hit or block only
* Cancel HAE transition with B
* Balcony break on airborne hit";trn;HAE;Bassai-zuki (Hold) > Heaven and Earth;r34;;;Lidia-H.WLF.1*;lidia
H.WLF.U;;;;;;;"* Increases Heaven and Earth level
* Parries all highs or mids
* Transition to +12g? HAE on successful parry
* Parry state 5~39";ps5~39;HAE,HAE;Stalking Wolf Stance > Heaven and Earth;r25 HAE;;File:t8-p2-lidia-h.wlf.u.mp4;Lidia-H.WLF.U;lidia
H.f,F+2;m;22;i13;+5;+17;;"* Reversal Break
* Transition to HRS on hit or block only
* Partially uses remaining Heat time
* Input H.f,f,F+2 to power up";rbr;HRS;Lightning Seikenzuki;r33;;;Lidia-H.f,F+2;lidia
