Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;t8-p2-miary-zo-2+3.mp4;Miary Zo-2+3;miary-zo
H.b+3+4;;;;;;;"* Transition to WAL
* d+3+4 foreground jump, u+3+4 background jump (r60 js9~34 fs35~37)
* Partially consumes remaining Heat Time";;WAL,WAL;Zanahary Mihira;WAL;;t8-p2-miary-zo-h.b+3+4.mp4;Miary Zo-H.b+3+4;miary-zo
H.2+3;m,th;52;i17~18;+6;-5d;;"* Heat Smash
* Floor Break
* Transition to BAO +6 r24 automatically on block only
Cancel BAO transition -13 -6 +23a (+13) r36 with B
* 6 chip damage on block
* Low crush";hs fbr js;BAO;Fitahin-d Ratovantany;;;t8-p2-miary-zo-h.2+3.mp4;Miary Zo-H.2+3;miary-zo
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Hazon'n Andriamanitry ny Hay-ady;r39;;t8-p2-miary-zo-r.df+1+2.mp4;Miary Zo-R.df+1+2;miary-zo
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;t8-p2-miary-zo-1.mp4;Miary Zo-1;miary-zo
1,1;h, h;5, 5;i10, i16;-4;+3;;"* Jail from 1st attack with 2f delay
* Combo from 1st hit with 4f delay
* Move can be delayed 4f";;;;r22;;t8-p2-miary-zo-1,1.mp4;Miary Zo-1,1;miary-zo
1,1,2;h, h, h,h;5, 5, 4,8;i10, ,i15~16 i11~12;-11;+2;;"* Balcony Break (airborne)
* Wall Crush +16g on hit


* Hit vs BT +13d
* Combo from 1st hit
* Combo from 2nd hit with 7f delay
* Input can be delayed 7f
* Move can be delayed 4f
* Enter MOR -8 +5 r28 with F on hit or block only";wc;MOR;Mandihy ny Aye-aye;r31;;t8-p2-miary-zo-1,1,2.mp4;Miary Zo-1,1,2;miary-zo
1,2;h, h;5, 6;i10, i13;-3;+8;;"* Jail from 1st attack with 4f delay
* Move can be delayed 4f";;;One Two Punch;r22;;t8-p2-miary-zo-1,2.mp4;Miary Zo-1,2;miary-zo
1,2,2;h, h, h;5, 6, 20;i10, ,i28~30;-7;+14d;+67a (+51);"* Tornado
* Balcony Break
* Weapon
* Combo from 1st CH
* Chip damage on block
* Instant Tornado on CH
* Hit vs BT +11d";trn bbr wpn chp;;Lefon'hery;r32;;t8-p2-miary-zo-1,2,2.mp4;Miary Zo-1,2,2;miary-zo
1,3;h, m;5, 10;i10, i20;-6;+0;;"* Combo from 1st hit with 4f delay
* Move can be delayed 4f
* +0c on crouching hit
* Links to 10-hit strings";;;Gidro Roa;r30;;t8-p2-miary-zo-1,3.mp4;Miary Zo-1,3;miary-zo
1+3+4;;;;;;;"* Low crush 13~123
* Floating state 124~126";js13~123 fs124~126;;Taunt;r130;;t8-p2-miary-zo-1+3+4.mp4;Miary Zo-1+3+4;miary-zo
2;h;10;i11;-2;+9;;;;;Right Jab;r21;;t8-p2-miary-zo-2.mp4;Miary Zo-2;miary-zo
2,2;h, h;10, 20;i11, i28~30;-7;+14d;+67a (+51);"* Tornado
* Balcony Break
* Weapon
* Combo from 1st hit with 2f delay
* Move can be delayed 2f
* Chip damage on block
* Instant Tornado on CH
* Hit vs BT +11d";trn bbr wpn chp;;Lefon'aina;r32;;t8-p2-miary-zo-2,2.mp4;Miary Zo-2,2;miary-zo
3;m;12;i13~14;-9;+5;;;;;;r30;;t8-p2-miary-zo-3.mp4;Miary Zo-3;miary-zo
3,1;m, m;12, 10;i13~14, i18~19;-10;+1;;"* Jail from 1st attack
* Enter MOR -7 +4 r25 with F";;MOR;;r28;;t8-p2-miary-zo-3,1.mp4;Miary Zo-3,1;miary-zo
