Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Recovery state;Image;Video;Wavu id;Character id
H.b+1+2;m,m,h,h,h,h;5,20,2,2,3,3;i16, i8~10, i28, i35, i42, i49;0;+33a (+7);;"* Balcony Break
* Weapon
* Removes Recoverable Health
* Combo from 1st hit only if the second hit connects on i8
* 2nd hit available only as combo from 1st
* If the second hit connects on i9~10, frame advantage on hit will be -16~-15
* Transition to FC on hit
* Jails
* Consumes 240F of remaining Heat time
* 15 chip damage on block";bbr wpn chp:15;FC;Shockwave Palm > Kiss Shot Penetrator;32;;;;Nina-H.b+1+2;nina
H.2+3;m,h,h,h,h;20,9,12,9,12;i16 i28 i35 i42 i49;+14;+43a (+10);;"* Heat Smash
* Jails";hs;FC;Bullet Assassination (Far);32;FC;;;Nina-H.2+3;nina
H.2+3;m,h,h,h,h,m;20,30;i16 i28 i35 i42 i49 i90~91;+5~+6;-2d;;"* Heat Smash
* Spike
* Transition to attack throw on hit
* Enter CD r30 with F on block (+7)
* 10 chip damage on block
* Jails";hs spk chp:10;CD;Bullet Assassination (Close);32;;;;Nina-H.2+3;nina
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Death by Degrees;39;;;;Nina-R.df+1+2;nina
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;19;;;File:t8-p2-nina-1,2.mp4;Nina-1;nina
1,2;h, h;5, 10;i10, i10;-3;+8;;"* Jail from 1st attack with 8f delay
* Enter SS +0 +11 t15 r9 with D_U";;SS;Left Right Combo;22;;;File:t8-p2-nina-1,2.mp4;Nina-1,2;nina
1,2,1;h, h, h;5, 10, 17;i10, ,i26~27;-3;+2;;"* Combo from 2nd CH with 4f delay
* Interrupt with i6 from 1st block
* Input can be delayed 6f";intr:6;;;32;;;File:t8-p2-nina-1,2,1,1+2.mp4;Nina-1,2,1;nina
1,2,1,1+2;h, h, h, h,h,h;5, 10, 17, 6,6,6;i10, ,i25 i32 i39;-9;+8c;;"* Balcony Break
* Weapon
* Jail from 3rd block
* Combo from 2nd CH with 4F? delay
* 12 chip damage on block
* Power up in Heat
* Forces tech backroll on hit
* Move cannot be delayed
* Input can be delayed by 4F";bbr wpn chp:12;;Biting Kiss Shot;40;;;File:t8-p2-nina-1,2,1,1+2.mp4;Nina-1,2,1,1+2;nina
H.1,2,1,1+2;h, h, h, h,h,h,h,h;5, 10, 17, 6,6,6,[5],[5];i10, ,i25,i6,i6,i5,i5;-2;+29a (+3);;"* Balcony Break
* Weapon
* Jail from 3rd attack
* Combo from 2nd CH with 4F? delay
* 13 chip damage on block
* Consumes 180F of remaining Heat time
* Move cannot be delayed
* Input can be delayed by 4F";bbr wpn chp:13;;Biting Kiss Shot;37;;;;Nina-1,2,1,H.1+2;nina
1,2,4;h, h, h;5, 10, 22;i10, ,i22;-6;+20a (+11);+49a;"* Balcony Break
* Combo from 2nd CH with 8f delay
* Interrupt with i2 from 1st block
* Input can be delayed 10f";bbr intr:2;;Bermuda Triangle;30;;;File:t8-p2-nina-1,2,4.mp4;Nina-1,2,4;nina
1,2,1+2;h, h, m;5, 10, 22;i10, ,i23;-14;+17a (+8);+36d (+28);"* Balcony Break
* Combo from 2nd CH with 7f delay
* Input can be delayed 10f
* Interrupt with i3 from 2nd block
* Recovers 6F faster on hit (r28 t71)";bbr intr:3;;Double Explosion;34;;;File:t8-p2-nina-1,2,1+2.mp4;Nina-1,2,1+2;nina
1,4;h, h;5, 17;i10, i17~18;-4;+1;+50a;"* Combo from 1st hit
* Move cannot be interrupted
* Move can be delayed 2f";;;PK Combo;28;;;File:t8-p2-nina-1,4,1.mp4;Nina-1,4;nina
1,4,1;h, h, m;5, 17, 21;i10, ,i25~26;-11;+15g;+67a (+47a);"* Balcony Break
* Interrupt with i1 from 2nd block";bbr intr:1;;PK Combo > Assassin's Blade;27;;;File:t8-p2-nina-1,4,1.mp4;Nina-1,4,1;nina
2;h;10;i10;+1;+7;;;;;Right Jab;18;;;File:t8-p2-nina-2,3.mp4;Nina-2;nina
