Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;5;i10;+1;+8;;
1+2;m;20;i14;-9;+15a;;Heat Engager
1,2;h,h;5,12;,i12;-3;+7;;"
* Jail from 1st attack with 2f delay"
1+2+3+4;;;;;;;"
* CH state for 5 seconds
* Can't block for 5 seconds"
1,2,3+4;h,h;5,12;;-4;+6;;Alternate input: 1,2~D
1+2+3+4,b,f,1+2;sp,m!;-,60;,i59~61;;+21a (+11);;Balcony break
1,2,4;h,h,m;5,12,20;,i23~25;-14~-12;+15a (-2);;"
* 
Tornado
* 
Balcony break
* Combo from 1st CH"
1+3;t;35;i12~14;-6;+0d;;Throw break 1 or 2
2;h;9;i10;-1;+8;;
2+3;m;12;i16;+1;+2c;;"
* 
Heat Burst
* Cancel to r45 with b,b"
2,3;h,l;9,10;,i22;-13;-2;;Combo from 1st hit
2+4;t;35;i12~14;-3;+0d;;"
* Throw break 1 or 2
* Side switch"
2,4;h,h;9,16;,i18~19;-8~-7;+8~+9;;"
* Combo from 1st hit
* Cancel to r31 with B"
3;m;10;,i14~15;-8~-7;+3~+4;;
3,3;m,h;10,16;,i17~18;-8~-7;+5~+6;;"
* Jail from 1st attack"
3,3,4;m,h,h;10,16,20;,i26~27;-9;+39a (-19);+66a (+50);"
* 
Balcony break
* Combo from 2nd CH"
3,3,4~B;m,h,h;10,16,20;;-16~-15;-3~-2;;
3+4;;;;;;;Alternate input: d+3+4 or FC.3+4
3~4;m,M;10,16;i25~26 i31~36;-9~-4;+19a;;Spike
3~4,F;m,M;10,16;;-39~-36;-8;;Will phase through opponent up-close
4;h;16;i12~13;-7~-6;+3~+4;;
4,1;h,h;16,13;,i19~20;-3~-2;+7~+8;;"
* Jail from 1st attack"
4~3;m,m;8,10;i16 i29~30;-16~-15;+31a (+21);;Recovery listed is for the second hit
4~3,1;m,m,l;8,10,15;,i34~35;-13~-2;+4~+5;;Can be delayed
4~3,3;m,m,h;8,10,18;,i24~27;-3~+0;+14a;;"
* 
Balcony break
* Can be delayed"
4~3,4;m,m,m;8,10,20;,i33~34;-14~-13;+15a;;"
* 
Balcony break
* Can be delayed"
b+1;h;21;i16~17;+7c~+8c;+10c~+11c;;"
* 
Spike
* 
Elbow
* Deals chip damage on block
* Transitions to r26 SZN on hit or block only"
b+1+2;m;25;i28~30;-15~-13;+20a (+10);;"
* 
Balcony break
* Backswing blow"
b+1+3;;;;;;;"
* Parries all attacks
* Alternate input: b+2+4"
b+1+3,P;;;;;-31;;"
* Deals recoverable self-damage on a successful parry
* Raven will teleport back a safe distance
* Alternate input: BT.b+1+3 or BT.b+2+4"
b+2;h;12;i15~17;-14~-12;-3~-1;;
b+2,2;h,m;12,17;,i22;-3;+6;+8;"
* 
Elbow
* Combo from 1st hit
* Input can be delayed 13f"
b+2,2,1+2;h,m,L;12,17,20;,i20~21;-30~-29;+3d;;"
* Combo from 2nd CH"
b+2,2,3;h,m,M;12,17,20;i21~22;-19~-18;+12a (-5);+26a (+16);"
* 
Balcony break
* Combo from 2nd CH
* Grounded hit can be inconsistent"
b+2,4;h,h;12,17;,i24~25;-7~-6;+4~+5;;"
* Combo from 1st hit with 4f delay
* Input can be delayed 13f"
b+2,4,2;h,h,sm;12,17,21;,i19~20;-14~-13;+24a (+9);;"
* 
Tornado
* Combo from 2nd CH
* Available only on hit or block"
b+3;M;23;i27~29;+4~+6;+15a;;"
* 
Spike
* Chip damage on block"
b+3+4;;;;;;;
b+4;m;13;i14~15;-9~-8;-1~+0;;Knee
b+4,4;m,m;13,20;,i17~19;-8~-6;+6c~+8c;;"
* 
Spike
* Combo from 1st hit"
b+4,B+4;m,M;13,24;,i37~42;+1c~+6c;+2c~+7c;+12a;Spike
b+4,B+4~3;m,M,L;13,24,11;,i20;-11;+0;;
b+4,B+4~3,3+4;m,M,L,m;13,24,11,15;,i26~30;-25~-21;+6a;;"
* Combo from 2nd hit with 4f delay
* Input can be delayed 7f"
Back throw;t;50;;;-4d;;"
* 
Floor break
* Unbreakable"
(Back to wall).b,b,UB;m;21;i40~43;+6~+9;+28a (+19);;Balcony break
b,B+2;m,h;15,21;i17~18 i30~31;-10~-9;+5~+6;;"
* 
Balcony break
* Jail from 1st attack
* Parries high or low punches or kicks"
b,B+2,P;m,h,t;15,21,35;,i15~25;-8~+2;+0d;;
BT.1;h;7;i8;-1~+0;+5~+6;;
BT.1+2;m;23;i15~16;-13;+30a (+22);;"
* 
Balcony break
* Frame advantage is -7 if an attack is absorbed
* Chip damage on block if an attack is absorbed"
BT.1,4;h,h;7,23;,i16~17;-8~-7;+40a (-18);+67a (+51);"
* 
Balcony break
* Combo from 1st hit"
BT.2;h;13;i10;+0;+7;;
BT.2,1;h,h;13,10;,i14;-3;+3;;"
* Combo from 1st hit
* Can transition to r36 BT with B"
BT.2,1~F;h,h;13,10;;+1;+7;;
BT.2,2;h,m;13,15;,i21~22;-9~-8;+2~+3;;Combo from 1st CH
BT.2,2,1;h,m,sm;13,15,21;,i18~19;-14~-13;+2a (-7);;"
* 
Balcony break
* Combo from 2nd hit
* Combo from 1st CH
* Power up during Heat"
BT.2,2,3+4;h,m;13,15;;-7~-6;+8~+9;;Alternate input: BT.2,2~D
BT.3;h;10;i10;-11;+0;;
BT.3+4;m,m;5,20;i15 i34~35;-20~-19;+43a (+39);;Second kick's frame advantage on hit: +34a (+24)
BT.3,4;h,m;10,17;,i28~30;+0~+2;+1~+3;+11g~+13g;"
* Combo from 1st hit with 2f delay
* Input can be delayed 6f
* Move can be delayed 5f
* Forces crouch on CH"
BT.3,4,3;h,m,M;10,17,22;,i27~30;-6~-3;+18a;;Same move as df+(4,4),3
BT.3,4,4;h,m,M;10,17,21;,i32~34;-9~-8;+5a;;"
* 
Spike
* Combo from 2nd CH"
BT.3,4,4,F;h,m,M;10,17,21;;-36;;;Will phase through opponent up-close
BT.4;m;21;i19~20;-5~-4;+44a (-14);;"
* 
Heat Engager
* 
Balcony break"
BT.b+2;m;17;i16~17;-2~-1;+6~+7;;
BT.b+2,3;m,m,m;17,5,20;,i20 i39~40;-20~-19;+42a (+38);;"
* Combo from 1st CH
* Second kick's frame advantage on hit: +34a (+24)"
BT.b+2,4;m,h;17,13;,i17~18;-9~-8;+2~+3;;Jail from 1st attack with 3f delay
BT.b+3;h;22;i18~19;+4~+5;+41a;;"
* 
Homing
* 
Balcony break
* Chip damage on block"
BT.b+3+4;;;;;;;Can block mid or high attacks after 6f
BT.d+1;sl;5;i10;-3;+6;;Alternate input: BT.d+2
