Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Raven-2+3;raven
H.2+3;m,t;20,35;i18~20;+14g;+3a;;"* Heat Smash
* Balcony Break
* Transition to r20 SZN on block
* 9 chip damage on block";hs bbr;SZN;Pandemonium;r43;;;Raven-H.2+3;raven
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Wild Hunt X-ecutor;r39;;;Raven-R.df+1+2;raven
1;h;5;i10;+1;+8;;;;;Jab;r17;;File:t8-p2-raven-1,2.mp4;Raven-1;raven
1,2;h, h;5, 12;i10, i12;-3;+7;;"* Jail from 1st attack with 2f delay
* Transition to r22 SZN with 3+4 or D (-4/+6)";;SZN;Left Right Combo;r21;;File:t8-p2-raven-1,2.mp4;Raven-1,2;raven
1,2,4;h, h, M;5, 12, 20;i10, ,i23~25;-14~-12;+15a (-2);;"* Tornado
* Balcony Break
* Combo from 1st or 2nd CH
* Interrupt with i4
* Low crush 23~42
* Floating state 43~45";trn bbr js23~42 fs43~45;BT;Left Right Combo > Black Hole;r33 BT;;File:t8-p2-raven-1,2,4.mp4;Raven-1,2,4;raven
2;h;9;i10;-1;+8;;;;;Right Jab;r20;;File:t8-p2-raven-2,3.mp4;Raven-2;raven
2,3;h, l;9, 10;i10, i22;-13;-2;;"* Combo from 1st hit
* Interrupt with i4
* High crush 6~";cs6~;;PDK Combo;r32;;File:t8-p2-raven-2,3.mp4;Raven-2,3;raven
2,4;h, h;9, 16;i10, i18~19;-8~-7;+8;;"* Wall Crush +16g on hit, +18g on hit when transitioning into CD


* Transition to +8 BT on hit with B
* Transition to +8 FC on hit with D
* Transition to +10 CD on hit with F";wc;BT,FC,CD;PK Combo;;;File:t8-p2-raven-2,4.mp4;Raven-2,4;raven
3;m;10;,i14~15;-8~-7;+3~+4;;;;;;r26;;File:t8-p2-raven-3,3,4.mp4;Raven-3;raven
3,3;m, h;10, 16;,i14~15, i17~18;-8~-7;+5~+6;;"* Combo from 1st hit
* Jail from 1st block";;;;r26;;File:t8-p2-raven-3,3,4.mp4;Raven-3,3;raven
3,3,4;m, h, h;10, 16, 20;,i14~15, ,i26~27;-9;+13c;+66a (+50);"* Balcony Break
* Combo from 2nd CH
* Interrupt with i8
* Cancel to r18 BT at -16~-15/-3~-2 with B
* Forces tech backroll on hit";bbr;BT;Valkyrie Lance Combo;r33;;File:t8-p2-raven-3,3,4.mp4;Raven-3,3,4;raven
3~4;m,M;10,16;i25~26 i31~36;-9~-4;+19a;;Spike;spk;BT;Chariot;r26 BT;;File:t8-p2-raven-3t4.mp4;Raven-3~4;raven
3~4,F;m,M;10,16;i25~26 i31~36, ;-39~-36;-8;;"Will phase through opponent up-close
* Low crush 13~41
* Floating state 42~44";js13~41 fs42~44;;Chariot to Blind Roll;r55;;;Raven-3~4,F;raven
4;h;16;i12~13;-7~-6;+3~+4;;;;;High Kick;r26;;File:t8-p2-raven-4,1.mp4;Raven-4;raven
