Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Wavu id;Name;Recovery;Image;Video
2+3;m;12;i16;+1;+2c;;"* Heat Burst
* Alternate input: R1
* Cancel to r45 with b,b
* 3 chip damage on block
* Partially uses Heat
* Unparryable
* Ignores regular power crush armor
Power crush 7~62";hb pc7~62;Reina-2+3;Heat Burst;r30 HEAT;File:Reina-2+3_Heat_Burst.jpg;File:Reina-Heat Burst.mp4
H.WRA.2+3;l,m,m,m;12,6,6,20;i18~19;-17;+0;;"* Heat Smash
* Spike
* Alternate input: H.WRA.R1
* Jails if any hit is blocked
* Transitions to attack throw on 1st hit for a total of 40 dmg
* +4a (-5) if any hit after the 1st connects";hs spk;Reina-H.WRA.2+3;Divine Wrath of Annihilation;r44;File:Reina-H.WRA.2+3.jpg;File:Reina-H.WRA.2+3.mp4
H.d+1+2;;;;;;;"* Automatically parries limb-based, non-airborne mids and highs
* Deals 40 damage on successful parry
* +1d on successful parry
Parry state 20~60";ps20~60;Reina-H.WRA;Charging Hard;;;File:Reina-H.d+1+2.mp4
H.2+3;m,m;20,25;i21;+8;+0d;;"* Heat Smash
* Balcony Break
* Alternate input: H.R1
* Jails from 1st block
* Transitions to attack throw on 1st hit for a total of 50 dmg
* Transitions to r53 WRA on 2nd block, whiff or hit
* +19d WRA if only second hit connects (25 dmg)";hs bbr;Reina-H.2+3;Divine Dominance of Annihilation;r80 WRA;File:Reina-H.2+3.jpg;File:Reina-H.2+3.mp4
R.df+1+2;m;55;i20;-15;+0d;;"* Erases opponent's recoverable health on hit
* Alternate input: R2
* 150% Scaling at 1HP - 82dmg";;Reina-R.df+1+2;Sacred Dismantle Spark;;;File:Reina-R.df+1+2.mp4
1;h;5;i10;+1;+8;;;;Reina-1;;r19;File:Reina-1.jpg;File:Reina-1.mp4
1,1;h,h;5,6;,i15;-1;+8;;Jail from 1st attack with 2f delay;;Reina-1,1;;r19;File:Reina-1,1.jpg;File:Reina-1,1.mp4
1,1,2;h,h,m;5,6,12;,i13;-17;"* +11 SEN
* +2 (cancel)";;"* Cancel transition with input B
* Hit-confirmable from 1st hit
* Combo from 1st hit with 11f delay
* Wall crush on hit, +23g minimum";wc;Reina-1,1,2;Flash Punch Combo;r38;File:Reina-1,1,2.jpg;File:Reina-1,1,2.mp4
1,2;h,h;5,8;,i10;-3;+8;;Jail from 1st attack with 4f delay;;Reina-1,2;One Two Strike;r22;;File:Reina-1,2.mp4
1,2,2;h,h,h;5,8,14;,i17;-14;+0;;"* Jail from 2nd attack with 2f delay
* Input can be delayed 3f
* Move can be delayed 2f";;Reina-1,2,2;Back Fist Combo;r33;;File:Reina-1,2,2.mp4
