Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;t8-p2-shaheen-2+3.mp4;Shaheen-2+3;shaheen
H.D*,u+2;h;35;i17~18;+13;+63a (+47);;"* Balcony Break
* Tornado
* Guard break
* Consumes 450F of remaining Heat Time
* Read more
* Low crush";bbr trn js;;Al-Ghul Master;;;t8-p2-shaheen-h.dx,u+2.mp4;Shaheen-H.D*,u+2;shaheen
H.f+1+2;m;15,25 (17);i16~17;+4c SNK;+27d (-8);;"* Floor Break
* Spike
* 32 damage with scaling from 1st hit
* Transition to SNK on hit or block
* Consumes 450F of remaining Heat time
* Low crush 28~";fbr spk js28~;SNK;Rumh al-Dawla;;;t8-p2-shaheen-h.f+1+2.mp4;Shaheen-H.f+1+2;shaheen
H.2+3;L,t;40;i20~21;-14;+24a (+14);;"* Balcony Break
* Heat Smash
* Transition to attack throw on 1st hit
* 8 chip damage on block";bbr hs;;Rumh al-Muzaffar;;;t8-p2-shaheen-h.2+3.mp4;Shaheen-H.2+3;shaheen
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Najm Alshamal;r39;;t8-p2-shaheen-r.df+1+2.mp4;Shaheen-R.df+1+2;shaheen
1;h;5;i10;+1;+8;;;;;;;;t8-p2-shaheen-1.mp4;Shaheen-1;shaheen
1,2;h, h;5, 9;i10, i12;-3;+8;;;;;Spica;;;t8-p2-shaheen-1,2.mp4;Shaheen-1,2;shaheen
1,2,2;h, h, m;5, 9, 17;i10, ,i20~21;-11;+3;+58a;"* Combo from 1st CH with 10F delay
* Combo from 2nd CH with 10F delay
* Move can be delayed by 10F
* Input can be delayed by 12F
* Cancel to SNK (-13/-2) with DF";;SNK;Spica Gut Punch;;;File:t8-p2-shaheen-1,2,2.mp4;Shaheen-1,2,2;shaheen
1,2,3;h, h, h;5, 9, 18;i10, ,i20;-8;+3;;"* Transition to -1, +10 SNK with DF
* Combo from 1st CH with 7F delay
* Move can be delayed by 5F
* Input can be delayed by 7F";;SNK;Spica Blinding Sands;;;File:t8-p2-shaheen-1,2,3.mp4;Shaheen-1,2,3;shaheen
1,2,4;h, h, m;5, 9, 20;i10, ,i24~26;-13;+33a (+18);;"* Tornado
* Combo from 1st or 2nd CH with 2F delay
* Move cannot be delayed
* Input can be delayed by 2F";trn;;Spica Wheel Spin;;;File:t8-p2-shaheen-1,2,4.mp4;Shaheen-1,2,4;shaheen
2;h;10;i10;+0;+6;;;;;;;;t8-p2-shaheen-2.mp4;Shaheen-2;shaheen
2,1;h, m;10, 7;i10, i17~18;-4;+2;;* Combo from 1st hit;;;Cut In;;;File:t8-p2-shaheen-2,1.mp4;Shaheen-2,1;shaheen
2,3;h, h;10, 13;i10, i20;-8;+3;;"* Transition to -1, +10 SNK with DF
* Combo from 1st hit with 2F delay
* Move cannot be delayed
* Input can be delayed by 2F";;SNK;Porrima Blinding Sands;;;File:t8-p2-shaheen-2,3.mp4;Shaheen-2,3;shaheen
3;h;18;i14;-8;+3;;* Transition to -1, +10 SNK with DF;;SNK;Blinding Sands;;;File:t8-p2-shaheen-3.mp4;Shaheen-3;shaheen
4;h;16;i13;-10;+1;+1s;;;;Hallux Kick;;;t8-p2-shaheen-4.mp4;Shaheen-4;shaheen
4,1;h, h;16, 14;i13, i18;-5;+5;;"* +31a (+24) from 1st CH
* Combo from 1st hit";;;Hallux Kick > Algenib;;;File:t8-p2-shaheen-4,1.mp4;Shaheen-4,1;shaheen
4,3;h, h;16, 21;i13, i31;-1;+26a (+17);+71a (51);* Balcony Break;bbr;;Hallux Kick > High Slashing Kick;;;File:t8-p2-shaheen-4,3.mp4;Shaheen-4,3;shaheen
4,4;h, m;16, 25;i13, i24~25;-13;+20d;;"* Aerial combo from 1st CH
* When combo from 1st CH: 
Floor Break";fbr;;Hallux Kick > Ra'd;;;File:t8-p2-shaheen-4,4.mp4;Shaheen-4,4;shaheen
3+4;m;20;i18~20;-9;+19a (+2);;"* Tornado
* Balcony Break";trn bbr;;Wheel Spin;;;File:t8-p2-shaheen-3+4.mp4;Shaheen-3+4;shaheen
f+2;h;10;i12;-8;-2;;;;;;;;t8-p2-shaheen-f+2.mp4;Shaheen-f+2;shaheen
f+2,3;h, h;10, 23;i12, i18;-12;+21a (+16);;"* Tornado
* Combo from 1st hit with 7F delay
* Move can be delayed by 9F
* Input can be delayed by 10F";trn;;Silent Sting;;;File:t8-p2-shaheen-f+2,3.mp4;Shaheen-f+2,3;shaheen
f+2,4;h, L;10, 16;i12, i22~23;-13;+2;+29a;"* Combo from 1st hit with 3F delay
* Transition to -11, +4, +31a SNK with DF
* Move can be delayed by 10F
* Input can be delayed by 11F";;SNK;;;;t8-p2-shaheen-f+2,4.mp4;Shaheen-f+2,4;shaheen
f+2,4,4;h, L, h;10, 16, 21;i12, ,i26~27;-7;+10g;+14c;"* Strong Aerial Tailspin
* Balcony Break
* Aerial combo from 2nd CH";bbr;;Silent Flow;;;File:t8-p2-shaheen-f+2,4,4.mp4;Shaheen-f+2,4,4;shaheen
f+3;m;17;i20;-5;+6;+13c;"* Good right sidestep tracking
* Transition to SNK (-3/+8/+15c) with DF
* Low crush 13~";js13~;SNK;Crescent Moon;r29;;File:t8-p2-shaheen-f+3.mp4;Shaheen-f+3;shaheen
f+4;h;24;i15~16;+0;+13g;;"* Balcony Break
* Homing
* 7 chip damage on block";bbr hom;;Piercing Talon;;;File:t8-p2-shaheen-f+4.mp4;Shaheen-f+4;shaheen
f+3+4;M,M;20;i22~23;+3c;+11c;;"* 6 chip damage on block
* Transitions to SNK
* Floor Break";fbr;SNK;Skyline;SNK;;File:t8-p2-shaheen-f+3+4.mp4;Shaheen-f+3+4;shaheen
df+1;m;12;i13~14;-1;+5;;Tracks SSR/SWR completely;;;;r19;;t8-p2-shaheen-df+1.mp4;Shaheen-df+1;shaheen
df+2;m;13;i15~16;-7;+34a (+24);;"* Only launches standing opponents 
* +4s on hit against crouching opponents
* Launches crouching on CH";;;Rising Falcon;r25;;File:t8-p2-shaheen-df+2.mp4;Shaheen-df+2;shaheen
df+3;m;20;i17;-13;+21d;;* Homing;hom;;Whirlwind Kick;r34;;File:t8-p2-shaheen-df+3.mp4;Shaheen-df+3;shaheen
df+4;m;13;i14;-7;+0;;;;;;;;t8-p2-shaheen-df+4.mp4;Shaheen-df+4;shaheen
df+4,1;m, m;13, 10;i14, i22~23;-9;+2;;"* Transition to -2, +9 SNK with DF
* Combo from 1st hit";;SNK;;;;t8-p2-shaheen-df+4,1.mp4;Shaheen-df+4,1;shaheen
df+4,1,3;m, m, m;13, 10, 28;i14, ,i27~28;-13;+19a (+9);;"* Balcony Break
* Combo from 2nd CH with 3F delay
* Move can be delayed by 10F
* Input can be delayed by 11F
* Low crush";bbr js;;Al-Faras;;;File:t8-p2-shaheen-df+4,1,3.mp4;Shaheen-df+4,1,3;shaheen
df+4,3;m, h;13, 23;i14, i23~24;-4;+23a (+14);;"* Balcony Break
* Combo from 1st hit";bbr;;Al-Fard al-Shuja;;;File:t8-p2-shaheen-df+4,3.mp4;Shaheen-df+4,3;shaheen
df+3+4;sp;;;;;;"* Transitions to SNK
* Transition to r1? FC with SNK.DB";;FC,SNK;Stealth Step;r15 SNK;;t8-p2-shaheen-df+3+4.mp4;Shaheen-df+3+4;shaheen
