Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Steve-2+3;steve
H.EXD.1+3;h (th);;i18;;;;"*
Homing
* Unbreakable
* Transition to TFA";hom;TFA;Two-Faced (TFA);r26;;;Steve-H.EXD.1+3;steve
H.LNH.P;m,t;15;;;;;"* Parries high and mid punches and kicks?
* Active after LNH is actionable 
* Transition to TFA after successful parry
* Throws received are unbreakable
* Parry state 25~95?";ps25~95?;TFA;Two-Faced;;;;Steve-H.LNH.P;steve
H.df+3+4;sp;;;;;;"* Transition to r13 EXD
* r25? EXD FC cancel?
* Partially uses remaining heat time
* Auto low parry effect
* High crush 1~
* Parry state 1~";cs1~ ps1~;EXD;;;;;Steve-H.df+3+4;steve
H.2+3;m,th;10,4,2,3,3,3,25;i16;+8 LNH;+0;;"* Heat Smash
* Floor Break
* Spike
* Can cancel transition to LNH on block with B at -9
* 7 chip damage on block
* Alternate input: H.FLK.2+3 or H.PAB.2+3";hs fbr spk;LNH;Bretwalda;;;;Steve-H.2+3;steve
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Dear Land of Hope;r39;;;Steve-R.df+1+2;steve
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-steve-1,1.mp4;Steve-1;steve
1,1;h, h;5, 7;i10, i15;-3;+3;;"* Combo from 1st hit with 4F delay
* Jails from 1st block with 2F delay
* Move can be delayed by 4F
* Transition to LWV with 3 (-6/+0)
* Transition to RWV with 4 (-6/+0)
* Transition to SWY with b+3_4 (-6/+0)
* Transition to r20? DCK with f+3_4 (-2/+4)
** r22? DCK FC cancel?";;LWV,RWV,SWY,DCK;Double Jab;r22;;File:t8-p2-steve-1,1.mp4;Steve-1,1;steve
1,1,2;h, h, h;5, 7, 13;i10, ,i13-14;-7;+4;;"* Combo from 1st hit with 3F delay
* Jail from 1st block with 3F delay
* Move can be delayed by 3F
* Transition to LWV with 3 (-5/+6)
* Transition to RWV with 4 (-5/+6)
* Transition to SWY with b+3_4 (-5/+6)
* Transition to r20? DCK with f+3_4 (-3/+8)
** r22? DCK FC cancel?";;LWV,RWV,SWY,DCK;Lightning Combo;r25;;File:t8-p2-steve-1,1,2.mp4;Steve-1,1,2;steve
1,1,d+1;h, h, m;5, 7, 15;i10, ,i25;-6;+0;+5;"* Transition to r18? FLK with b (+0/+6/+11)
** r18? FLK FC cancel?
* Move can be delayed by 3F";;FLK;Double Jab > Body Blow;;;File:t8-p2-steve-1,1,d+1.mp4;Steve-1,1,d+1;steve
1,2;h, h;5, 10;i10, i10;-3;+8;;"* Combo from 1st hit
* Jail from 1st block
* Transition to LWV with 3 (-4/+7)
* Transition to RWV with 4 (-4/+7)
* Transition to SWY with b+3_4 (-4/+7)
* Transition to r20? DCK with f+3_4 (-2/+9)
** r22? DCK FC cancel?";;LWV,RWV,SWY,DCK;Left Right;;;File:t8-p2-steve-1,2.mp4;Steve-1,2;steve
1,2,1;h, h, h;5, 10, 15;i10, ,i14;-3;+3;;"* Combo from 1st CH or 2nd CH
* Jail from 1st block
* Transition to r19? PAB with f (-2/+4)
* Transition to r18? FLK with b (-1/+5)
** r18? PAB/FLK FC cancel?";;PAB,FLK;;;;File:t8-p2-steve-1,2,1,2.mp4;Steve-1,2,1;steve
1,2,1,2;h, h, h, m;5, 10, 15, 15;i10, ,i18-19;-10;+16a (+7);;"* Balcony Break
* Combo from 3rd CH
* Transition to LWV with 3 (-6/+20a (+11))
* Transition to RWV with 4 (-6/+20a (+11))
* Transition to SWY with b+3_4 (-6/+20a (+11))
* Transition to r20? DCK with f+3_4 (-4/+22a (+13))
** r22? DCK FC cancel?";bbr;LWV,RWV,SWY,DCK;British Edge Combo;;;File:t8-p2-steve-1,2,1,2.mp4;Steve-1,2,1,2;steve
1,2,1,d+2;h, h, h, l;5, 10, 15, 19;i10, ,i26-27;-12;+1c;+14d;"* Transition to r30 FC with d_db
* High crush 10~";cs10~;FC;British Edge Combo 2;r30;;File:t8-p2-steve-1,2,1,d+2.mp4;Steve-1,2,1,d+2;steve
1,d+1;h, m;5, 15;i10, i25;-6;+0;+5;"* Transition to r18? FLK with b (+0/+6/+11)
** r18? FLK FC cancel?
* Move can be delayed by 3F";;FLK;Jab > Body Blow;;;File:t8-p2-steve-1,d+1.mp4;Steve-1,d+1;steve
2;h;12;i12;-1;+5;;;;;;;;File:t8-p2-steve-2,1,2.mp4;Steve-2;steve
2,1;h, h;12, 14;i12, i19;-5;+6;;"* Combo from 1st hit
* Jail from 1st block
* Transition to r15? PAB with f (+2/+13g/+13)
* Transition to r14? FLK with b (+3/+14g/+14)
** r14? PAB/FLK FC cancel?";;PAB,FLK;;;;File:t8-p2-steve-2,1,2.mp4;Steve-2,1;steve
2,1,2;h, h, m;12, 14, 22;i12, ,i25;-11;+13a (+4);;"* Balcony Break
* Combo from 2nd CH with 3?F delay
* Move can be delayed by 10?F";bbr;;Vanguard Rush;;;File:t8-p2-steve-2,1,2.mp4;Steve-2,1,2;steve
2,2;h, m;12, 17;i12, i22-24;-14;+6;;"* Tornado
* Combo from 1st hit";trn;;Cromwell Combination;;;File:t8-p2-steve-2,2.mp4;Steve-2,2;steve
3;sp;;;;;;"* Actionable for 21F
* Transition to r15 SWY with b+3_4 after 7F with 14F delay
* Transition to r1 DCK with f+3_4 after 7F with 14F delay
* Transition to r8 RWV with d+3_4 (steps right) after 20F
* Can cancel into r1 block when transitioning from attacks that transition to LWV
* SWY transition notes:
* Transition is t45? r15 cs1~36? and actionable for 21F. 
* Can transition from SWY into LWV/RWV after 10F with 10F delay?
* Can transition from SWY into DCK after 25F
* DCK transition notes:
* Transition is t60? r15 cs1~35? and actionable for 35F. 
* Can transition from DCK into LWV/RWV after 25?F
* Can transition from DCK into SWY after 35?F";;SWY,DCK,RWV,LWV,LWV;Ducking Left;r8 LWV;;;Steve-3;steve
4;sp;;;;;;"* Actionable for 21F
* Transition to r15 SWY with b+3_4 after 7F with 14F delay
* Transition to r1 DCK with f+3_4 after 7F with 14F delay
* Transition to r8 LWV with u+3_4 (steps left) after 20F
* Can cancel into r1 block when transitioning from attacks that transition to RWV
* SWY transition notes:
* Transition is t45? r15 cs1~36? and actionable for 21F. 
* Can transition from SWY into LWV/RWV after 10F with 10F delay?
* Can transition from SWY into DCK after 25F
* DCK transition notes:
* Transition is t60? r15 cs1~35? and actionable for 35F. 
* Can transition from DCK into LWV/RWV after 25?F
* Can transition from DCK into SWY after 35?F";;SWY,DCK,LWV,RWV,RWV;Ducking Right;r8 RWV;;;Steve-4;steve
1+2;m,m;7,21;i14, i9-10;-12;+18a (+11);;"* Heat Engager

* Heat Dash +5, +43d (+35)";he;;Sonic Fang;r31?;;File:t8-p2-steve-1+2.mp4;Steve-1+2;steve
1+2+4;;;;;;;;;;Taunt;;;File:t8-p2-steve-1+2+4.mp4;Steve-1+2+4;steve
3+4;sp;;;;;;"* Transition into ALB
* Transition to r10 PAB with F after 20F
* Transition into i13 ALB.d_u with d_u after 24F";;PAB,ALB;Quick Spin;r1 ALB;;;Steve-3+4;steve
f+2;m;11;i21~22;-6;+5;;;;;;;;File:t8-p2-steve-f+2,1.mp4;Steve-f+2;steve
