Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Xiaoyu-2+3;xiaoyu
H.BT.2+3;m,m,m,m;51;i15~16;+9;+20g;;"* Heat Smash
* Spike
* Transition to HYP 2nd step
* Transition to standing with F (+3, +5)
* Chip on block [7]";hs spk chp;HYP 2nd step,HYP;Innumerable Moons;HYP;;;Xiaoyu-H.BT.2+3;xiaoyu
H.2+3;m,m,m,M;50;i15~16;+9;+0d;;"* Heat Smash
* Balcony Break
* Transition to standing with F (+5 oB)
* Transition to attack throw on hit
* Chip on block [7]
* Low crush 9~";hs bbr chp js9~;BT;Divine Shooting Star;BT;;;Xiaoyu-H.2+3;xiaoyu
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Wang's Celestial Epic;r39;;;Xiaoyu-R.df+1+2;xiaoyu
1;h;5;i10;+1;+8;;;;;;;;File:t8-p2-xiaoyu-1,2.mp4;Xiaoyu-1;xiaoyu
1,2;h, h;5, 8;i10, i11;-3;+7;;"* Combo from 1st hit with 4F delay
* Jail from 1st block with 4F delay";;;Bayonet;;;File:t8-p2-xiaoyu-1,2.mp4;Xiaoyu-1,2;xiaoyu
1,2,1;h, h, m;5, 8, 20;i10, ,i16~17;-9;+14a (+5);;"* Balcony Break
* Combo from 2nd CH with 10F delay
* Jail from 2nd block with 3F delay";bbr;;Bayonet Thruster;;;File:t8-p2-xiaoyu-1,2,1.mp4;Xiaoyu-1,2,1;xiaoyu
1,d+2;h, m;5, 10;i10, i20~23;-3;+8;+10;"* Combo from 1st hit with 5F delay
* Move can be delayed by 10F
* Transition to standing with 1,D+2 or 1,d+2,F (-4, +7, +9)
* Transition to HYP with 1,d+2~B (-2, +9, +11)";;HYP,BT;Fan Dance;BT;;File:t8-p2-xiaoyu-1,d+2.mp4;Xiaoyu-1,d+2;xiaoyu
1,d+2,1+2;h, m, m;5, 10, 24;i10, ,i29~31;-12;+17a;;* Combo from 2nd hit CH;;;Fan Dance > Birds Flock;;;File:t8-p2-xiaoyu-1,d+2,1+2.mp4;Xiaoyu-1,d+2,1+2;xiaoyu
1+3+4;;;;;;;* Low crush 8~15;js8~15;;False Salute;;;File:t8-p2-xiaoyu-1+3+4.mp4;Xiaoyu-1+3+4;xiaoyu
2;h;8;i10;-2;+6;;*;;;;;;File:t8-p2-xiaoyu-2,1.mp4;Xiaoyu-2;xiaoyu
2,1;h, m;8, 10;i10, i19;-4;+7;;"* Combo from 1st CH
* Jail from 1st block
* Transition to standing by holding any direction (-4, +7)";;BT;April Showers;BT;;File:t8-p2-xiaoyu-2,1.mp4;Xiaoyu-2,1;xiaoyu
3;h;17;i14~15;-11;+22a;;*;;;Cloud Kick;;;File:t8-p2-xiaoyu-3.mp4;Xiaoyu-3;xiaoyu
4;h;15;i11;-9;+8;+33a;* Balcony Break on CH;;;;;;;Xiaoyu-4;xiaoyu
1+2;m;24;i20~21;-7;+20a;;*;;;Birds Flock;;;File:t8-p2-xiaoyu-1+2.mp4;Xiaoyu-1+2;xiaoyu
2+3+4;;;;;;;;;;Greetings;;;File:t8-p2-xiaoyu-2+3+4.mp4;Xiaoyu-2+3+4;xiaoyu
3+4;M;23;i23~25;-1c;+3c;+19a;"* Spike
* Transition to AOP r30 with D (+0/+4c/+20a)
** AOP transition is r32 on whiff
* Low crush 10~22
* Floating state 23~25";spk js10~22 fs23~25;AOP;Crescent Moon Kick;r29;;File:t8-p2-xiaoyu-3+4.mp4;Xiaoyu-3+4;xiaoyu
f+2;m;12;i16~17;-5;+4;;;;;;;;File:t8-p2-xiaoyu-f+2,1,4.mp4;Xiaoyu-f+2;xiaoyu
f+2,1;m, h;12, 14;i16~17, i20;-6;+5;+7;"* Combo from 1st hit
* Jails from 1st block
* Transition to HYP with B (+0, +11)";;HYP;;;;File:t8-p2-xiaoyu-f+2,1,4.mp4;Xiaoyu-f+2,1;xiaoyu
f+2,1,4;m, h, m;12, 14, 20;i16~17, ,i26~27;-13;+17a (+8);+62a (+42);"* Balcony Break
* Combo from 2nd CH with 6F delay
* Move can be delayed by 10F";bbr;;Bai Yang Zhuan Wu;;;File:t8-p2-xiaoyu-f+2,1,4.mp4;Xiaoyu-f+2,1,4;xiaoyu
H.f+2,1,2;m, h, m;12, 14, 20;i16~17, ,i26~28;+6;+23d;+50a;"* Balcony Break
* Spike
* Partially uses remaining Heat time
* Combo from 1st hit with no delay
* Combo from 2nd CH with 6F delay
* Move can be delayed by 5-10F
* Transition to standing with F (+4, +21d, +47a)
* Low crush";bbr spk js;BT;Bai Yang Yan Di Po;BT;;;Xiaoyu-f+2,1,H.2;xiaoyu
f+3;M;14;i16~18;-9;+2;;"* Knee 
* Doesn't hit grounded if opponent is on-axis in FUFT";kne;;;;;File:t8-p2-xiaoyu-f+3,1,4.mp4;Xiaoyu-f+3;xiaoyu
f+3,1;M, m;14, 8;i16~18, i22~23;-3;+8;;* Combo from 1st hit;;BT;;BT;;File:t8-p2-xiaoyu-f+3,1,4.mp4;Xiaoyu-f+3,1;xiaoyu
f+3,1,4;M, m, M;14, 8, 20;i16~18, ,i26;-22;+62a (+46);;"* Tornado
* Instant Tornado
* Combo from 2nd hit CH";trn;;Talons of Fury;;;File:t8-p2-xiaoyu-f+3,1,4.mp4;Xiaoyu-f+3,1,4;xiaoyu
f+3,1,1+2;M, m, m,M;14, 8, 6,20;i16~18, ,i16~18 i5~6;-12;+7c;;"* Spike
* Combo from 2nd CH";spk;;Wings of Fury;;;File:t8-p2-xiaoyu-f+3,1,1+2.mp4;Xiaoyu-f+3,1,1+2;xiaoyu
